panel,book,n,p4a,p4b
B136,EWALL,60,2,9
B136,LOWVOL20,60,0,0
B136,TOP20,60,0,2
BSTK100,EWALL,60,4,19
BSTK100,LOWVOL20,60,0,0
BSTK100,TOP20,60,0,8
SMALL439,EWALL,60,16,0
SMALL439,LOWVOL20,60,0,0
SMALL439,TOP20,60,0,0
U56,EWALL,60,0,12
U56,LOWVOL20,60,0,0
U56,TOP20,60,0,12
