sd_basis,ladder,R_mean,R_min,R_max
S_IID,CTRL_DEGEN,0.0,0.0,0.0
S_IID,CTRL_SEED,0.01155290852632674,0.0,0.017382063454094484
S_IID,CTRL_LIVE,0.3905978652528595,0.12660329717982327,0.6085573586729568
S_BLOCK,CTRL_DEGEN,0.0,0.0,0.0
S_BLOCK,CTRL_SEED,0.013831948204799946,0.0,0.02134012462265693
S_BLOCK,CTRL_LIVE,0.4260489284485082,0.1489458289361856,0.6151854355028025
S_FOLD,CTRL_DEGEN,0.0,0.0,0.0
S_FOLD,CTRL_SEED,0.013830505324708968,0.0,0.021441259016580068
S_FOLD,CTRL_LIVE,0.4390388835053487,0.1648824827722945,0.6186051962233619
S_CROSS,CTRL_DEGEN,,,
S_CROSS,CTRL_SEED,1.0423848685617902,0.9395191860579782,1.1452505510656024
S_CROSS,CTRL_LIVE,0.978671124901951,0.9027581159618494,1.0799252778597757
