corpus,cell,metric,A,B,n_units,nphA,nphB,gap0,gap_pa,sign_share,gap_range,ratio,survives,survives_weak
A,ALL,OOS_Sharpe,D,2D,115,1,2,-0.040569804276212595,-0.04267307538175169,1.0,0.00420654221107819,9.6444543381425,True,True
A,ALL,OOS_Sharpe,D,W,115,1,5,-0.058331599382881794,-0.0789162635415862,1.0,0.041450716938136734,1.407251881069729,True,True
A,ALL,OOS_Sharpe,D,2W,115,1,10,-0.0672465952621557,-0.07674822101684597,1.0,0.05218528389143329,1.288612234093736,True,True
A,ALL,OOS_Sharpe,D,M,115,1,5,-0.134431309273234,-0.08787586147105153,1.0,0.12298495891894523,1.093071140202052,True,True
A,ALL,OOS_Sharpe,D,6W,115,1,30,-0.158256736936648,-0.0635959850789174,0.9666666666666667,0.18350011398010602,0.8624339980181442,True,True
A,ALL,OOS_Sharpe,D,Q,115,1,5,0.08288673411925307,0.06158524494823381,1.0,0.05919872779558655,1.4001438410207279,True,True
A,ALL,OOS_Sharpe,2D,W,115,2,5,-0.017761795106669198,-0.036243188159834516,1.0,0.045657259149214924,0.38902455902183986,True,True
A,ALL,OOS_Sharpe,2D,2W,115,2,10,-0.02667679098594311,-0.034075145635094284,1.0,0.05639182610251148,0.4730613074570222,True,True
A,ALL,OOS_Sharpe,2D,M,115,2,5,-0.0938615049970214,-0.04520278608929984,0.8,0.12719150113002342,0.7379542199212671,False,True
A,ALL,OOS_Sharpe,2D,6W,115,2,30,-0.1176869326604354,-0.020922909697165704,0.7,0.1877066561911842,0.6269726127376545,False,True
A,ALL,OOS_Sharpe,2D,Q,115,2,5,0.12345653839546566,0.1042583203299855,1.0,0.06340527000666474,1.947102163313692,True,True
A,ALL,OOS_Sharpe,W,2W,115,5,10,-0.008914995879273913,0.0021680425247402324,0.4,0.09363600082957002,0.09520906275675305,False,False
A,ALL,OOS_Sharpe,W,M,115,5,5,-0.0760997098903522,-0.008959597929465324,0.52,0.16443567585708196,0.46279318337520436,False,True
A,ALL,OOS_Sharpe,W,6W,115,5,30,-0.0999251375537662,0.015320278462668813,0.32666666666666666,0.22495083091824275,0.4442087950770161,False,False
A,ALL,OOS_Sharpe,W,Q,115,5,5,0.14121833350213486,0.14050150848982002,1.0,0.10064944473372328,1.403071163241288,True,True
