driver,param,rho,frozen
D_TIES,tie_q=0.9,-0.5329403759559392,True
D_TIES,tie_q=0.75,-0.483757890270588,False
D_TIES,tie_q=0.95,-0.32126054246956304,False
D_RECOV,rec_min=5.0%,0.08580272726472832,True
D_RECOV,rec_min=2.0%,-0.3592574071540242,False
D_RECOV,rec_min=10.0%,0.13070690625878928,False
D_COVER,L=21,-0.016765592607963307,False
COVER_GRADED,L=21,0.35488411800646746,False
D_COVER,L=63,0.33569260893067093,True
COVER_GRADED,L=63,0.5466314792610761,False
D_COVER,L=126,0.33234554488414697,False
COVER_GRADED,L=126,0.4116201170236497,False
