panel,book,cost,m,CAGR,Sharpe,MaxDD,pass4b,fail4b,floor_only
u56,V1u,10.0,0.1,0.006593180127431264,0.66470097990577,-0.016685401834196756,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.15,0.009867500912561722,0.6646322910719592,-0.024940823774213805,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.2,0.013126631819509793,0.6645605347970038,-0.03313851749411012,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.25,0.016370306592450534,0.6644854376304316,-0.041278859157721226,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.3,0.01959825431022355,0.664406768035576,-0.04936210778721406,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.35,0.022810187262968462,0.6643239874824777,-0.057388585150596416,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.4,0.02600579430277894,0.6642362348520954,-0.06535872751514649,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.45,0.029184852624322355,0.6641450542822477,-0.07327280966369376,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.5,0.03234706458810921,0.6640498410291096,-0.08113113669637984,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.55,0.03549213505045978,0.6639502120862991,-0.0889340002961353,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.6,0.03861978715501291,0.6638462964742631,-0.09668184472277386,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.65,0.04172965645319349,0.663736942865615,-0.10437495862980406,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.7,0.0448214737618422,0.6636225966892841,-0.11201362851763708,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.75,0.04789487703519213,0.6635024064049584,-0.11959822306034851,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.8,0.05094945120670036,0.6633752334606826,-0.1271290257176041,False,"H1,H2,OOS,CAGR",False
u56,V1u,10.0,0.85,0.05398495859940167,0.6632420598634687,-0.13460625649807734,False,"H1,H2,OOS,CAGR",False
