panel,carrier_set,n_carriers,r2_is,r2_oos,coefs
U56,TAIL,3,0.7558131473619318,0.13097517495910804,skew=-0.647(t-11.26); kurt=-0.573(t-9.98); w5=+0.169(t+2.90)
U56,TIMING,2,0.18362923802992148,0.4763690836262775,gate_share=-0.278(t-2.55); mean_gross=-0.431(t-3.95)
U56,BREADTH,2,0.46604251760756543,0.301448060028185,n_held=+409.563(t+2.52); eff_breadth=-408.913(t-2.52)
U56,ALL,7,0.7715333063734885,0.6834380336635143,skew=-0.492(t-5.19); kurt=-0.499(t-4.88); w5=-0.001(t-0.00); gate_share=-0.044(t-0.66); mean_gross=-0.203(t-1.05); n_held=-71.397(t-0.42); eff_breadth=+71.581(t+0.42)
B136,TAIL,3,0.6397568088370111,0.09811366050916737,skew=-0.801(t-11.02); kurt=-0.401(t-5.61); w5=+0.032(t+0.45)
B136,TIMING,2,0.01594265159931374,0.26088700016438604,gate_share=+0.061(t+0.53); mean_gross=-0.100(t-0.87)
B136,BREADTH,2,0.31438307712771507,0.1389263388961398,n_held=-1.410(t-0.01); eff_breadth=+1.970(t+0.01)
B136,ALL,7,0.6876879840433457,0.6039503369009753,skew=-0.732(t-8.79); kurt=-0.469(t-4.26); w5=+0.411(t+2.13); gate_share=-0.116(t-1.52); mean_gross=+0.389(t+1.98); n_held=+53.830(t+0.22); eff_breadth=-53.699(t-0.22)
SMALL,TAIL,3,0.4740878841604067,0.5240785553363126,skew=-0.872(t-8.18); kurt=+0.617(t+5.64); w5=+0.076(t+0.87)
SMALL,TIMING,2,0.002199448930438219,0.25565090978450866,gate_share=+0.008(t+0.06); mean_gross=-0.044(t-0.37)
SMALL,BREADTH,2,0.18449456678048282,0.24285275543946927,n_held=+331.353(t+1.52); eff_breadth=-330.953(t-1.51)
SMALL,ALL,7,0.6074302973933425,0.6534008965444611,skew=-0.788(t-7.86); kurt=+0.565(t+5.33); w5=+0.508(t+3.19); gate_share=-0.110(t-1.31); mean_gross=+0.275(t+2.02); n_held=+839.225(t+3.86); eff_breadth=-838.978(t-3.85)
