claim,panel,excision,value,committed,bar,survives
K1 DDWIN reaches 0.95 on U56,U56,NONE,0.953125,0.9531,agree >= 0.95,True
K2 DDWIN reaches 0.95 on B136,B136,NONE,0.9833333333333333,0.9833,agree >= 0.95,True
K2b DDWIN B136 has 0 disagreeing pairs,B136,NONE,0.0,0.0,n_disagree == 0,True
K3 U56/ROLL clears BAR-A,U56,NONE,0.984375,0.9844,BAR-A qualifies,True
K4 B136/SPYDD clears BAR-A,B136,NONE,1.0,1.0,BAR-A qualifies,True
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on U56",U56,NONE,0.9474797291501242,,0.69 <= |rho| <= 0.97,True
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on B136",B136,NONE,0.9502498198438822,,0.69 <= |rho| <= 0.97,True
K6 ex-ante agreement span stays below 1.0 (not a beta cap),all,NONE,0.9285714285714286,0.983,max agree < 1.0,True
K7 U56 POPULATION < 0 and ESTIMATOR > 0,U56,NONE,-0.0424107142857143,,pop < 0 and est > 0,True
K7 B136 POPULATION < 0 and ESTIMATOR > 0,B136,NONE,-0.05714285714285705,,pop < 0 and est > 0,True
K8 containment share on U56,U56,NONE,0.9285714285714286,0.9286,within 0.05 of committed 0.9286,True
K8 containment share on B136,B136,NONE,0.8928571428571429,0.8929,within 0.05 of committed 0.8929,True
K8 containment share on SMALL,SMALL,NONE,0.0,0.0,within 0.05 of committed 0.0000,True
K1 DDWIN reaches 0.95 on U56,U56,SPYDD,0.8482142857142857,0.9531,agree >= 0.95,False
K2 DDWIN reaches 0.95 on B136,B136,SPYDD,0.875,0.9833,agree >= 0.95,False
K2b DDWIN B136 has 0 disagreeing pairs,B136,SPYDD,12.0,0.0,n_disagree == 0,False
K3 U56/ROLL clears BAR-A,U56,SPYDD,0.9285714285714286,0.9844,BAR-A qualifies,False
K4 B136/SPYDD clears BAR-A,B136,SPYDD,0.9196428571428571,1.0,BAR-A qualifies,False
