====================================================================================================
IDEA 423 — 2026-09-08_price-the-U56-FULL-GROSS-MA-book-against-RULES-v2-on-2-dials-only_cloud
====================================================================================================
SMALL: dropped 44 tickers with max_1d_move >= 1.0 (data/small_meta.csv); 439 names + SPY remain
panel u56         56 cols  2008-01-02 .. 2026-09-04  (4699 rows)
panel broad136   136 cols  2008-01-02 .. 2026-09-04  (4699 rows)
panel small439   440 cols  2010-01-04 .. 2026-09-04  (4194 rows)

--- G1  vectorised backtester vs engine.backtest ---
  u56       g=0.750 W   max|diff| = 1.735e-17
  u56       g=1.000 M   max|diff| = 2.776e-17
  u56       g=0.500 Q   max|diff| = 4.163e-17
  broad136  g=0.750 W   max|diff| = 2.776e-17
  broad136  g=1.000 M   max|diff| = 3.816e-17
  broad136  g=0.500 Q   max|diff| = 2.082e-17
  small439  g=0.750 W   max|diff| = 5.898e-17
  small439  g=1.000 M   max|diff| = 1.284e-16
  small439  g=0.500 Q   max|diff| = 3.123e-17
  G1 worst = 1.284e-16  -> PASS

--- G2  deg_weights(0.75, band=0.03) == baseline.rules_v2_weights ---
  u56       max|dW| = 0.000e+00
  broad136  max|dW| = 0.000e+00
  small439  max|dW| = 0.000e+00

--- G3  idea 420 by-product reproduction (u56, plain MA gate, g=1.00, monthly) ---
  full 10bps  11.96% / 1.2126 / -15.49%  halves 1.249/1.179   (memo: 11.96% / 1.2126 / -15.49%, 1.249/1.179)
  OOS  10bps  12.72% / 1.2750 / -15.49%   (memo: 12.72% / 1.2750 / -15.49%)

--- benchmarks (per panel, per rung; SPY is buy-and-hold, cost-free) ---
  u56       10bps v2   full   8.66% / 1.2056 / -12.05%  halves 1.226/1.191
  u56       10bps v1   full   6.46% / 0.6647 / -13.83%  halves 0.642/0.688
  u56       10bps spy  full  15.23% / 0.8890 / -33.72%  halves 0.957/0.834
  u56       10bps v2_oos  OOS   9.53% / 1.2851 / -12.05%  halves 1.398/1.162
  u56       10bps spy_oos OOS  15.45% / 0.8820 / -33.72%  halves 0.975/0.782
  u56       25bps v2   full   8.37% / 1.1681 / -12.09%  halves 1.188/1.153
  u56       25bps v1   full   2.76% / 0.3174 / -15.63%  halves 0.286/0.346
  u56       25bps spy  full  15.23% / 0.8890 / -33.72%  halves 0.957/0.834
  u56       25bps v2_oos  OOS   9.24% / 1.2483 / -12.09%  halves 1.367/1.119
  u56       25bps spy_oos OOS  15.45% / 0.8820 / -33.72%  halves 0.975/0.782
  broad136  10bps v2   full   8.03% / 1.1058 / -12.24%  halves 1.229/0.984
  broad136  10bps v1   full   6.39% / 0.6350 / -21.19%  halves 0.756/0.532
  broad136  10bps spy  full  15.23% / 0.8890 / -33.72%  halves 0.957/0.834
  broad136  10bps v2_oos  OOS   7.98% / 1.1185 / -12.24%  halves 1.268/0.947
  broad136  10bps spy_oos OOS  15.45% / 0.8820 / -33.72%  halves 0.975/0.782
  broad136  25bps v2   full   7.70% / 1.0640 / -12.28%  halves 1.191/0.939
  broad136  25bps v1   full   1.79% / 0.2195 / -26.72%  halves 0.335/0.120
  broad136  25bps spy  full  15.23% / 0.8890 / -33.72%  halves 0.957/0.834
  broad136  25bps v2_oos  OOS   7.64% / 1.0740 / -12.28%  halves 1.231/0.891
  broad136  25bps spy_oos OOS  15.45% / 0.8820 / -33.72%  halves 0.975/0.782
  small439  10bps v2   full   3.81% / 0.5725 / -14.68%  halves 0.570/0.577
  small439  10bps v1   full   7.41% / 0.5647 / -36.12%  halves 0.743/0.404
  small439  10bps spy  full  14.13% / 0.8615 / -33.72%  halves 0.891/0.858
  small439  10bps v2_oos  OOS   3.85% / 0.5680 / -14.68%  halves 0.918/0.172
  small439  10bps spy_oos OOS  15.45% / 0.8820 / -33.72%  halves 0.975/0.782
  small439  25bps v2   full   3.38% / 0.5122 / -15.25%  halves 0.508/0.518
  small439  25bps v1   full   2.32% / 0.2302 / -45.43%  halves 0.381/0.094
  small439  25bps spy  full  14.13% / 0.8615 / -33.72%  halves 0.891/0.858
  small439  25bps v2_oos  OOS   3.40% / 0.5072 / -15.25%  halves 0.863/0.105
  small439  25bps spy_oos OOS  15.45% / 0.8820 / -33.72%  halves 0.975/0.782

====================================================================================================
THE GRID — 5 gross x 3 cadences x 3 panels x 2 rungs = 90 points, ALL reported
====================================================================================================

--- u56 @ 10 bps (band 3% fixed) ---
 gross  cad |    CAGR  Sharpe    MaxDD     H1     H2 |  IS Shp | OOS CAGR OOS Shp   OOS DD |  turn | 4a 4b
 0.500    W |   5.75%  1.2057   -8.12%  1.225  1.191 |  1.1037 |    6.32%  1.2856   -8.12% |  1.20 | .  .
 0.500    M |   5.91%  1.1752   -9.78%  1.210  1.148 |  1.1032 |    6.38%  1.2318   -9.78% |  0.83 | .  .
 0.500    Q |   5.36%  0.9999  -13.51%  1.137  0.903 |  1.0288 |    5.68%  0.9860  -13.51% |  0.56 | .  .
 0.625    W |   7.20%  1.2057  -10.10%  1.226  1.191 |  1.1040 |    7.92%  1.2854  -10.10% |  1.49 | .  .
 0.625    M |   7.41%  1.1759  -12.10%  1.211  1.149 |  1.1044 |    8.01%  1.2323  -12.10% |  1.03 | .  .
 0.625    Q |   6.70%  0.9988  -16.73%  1.138  0.901 |  1.0295 |    7.09%  0.9838  -16.73% |  0.70 | .  .
 0.750    W |   8.66%  1.2056  -12.05%  1.226  1.191 |  1.1043 |    9.53%  1.2851  -12.05% |  1.77 | .  .
 0.750    M |   8.92%  1.1767  -14.38%  1.212  1.149 |  1.1055 |    9.64%  1.2328  -14.38% |  1.24 | .  .
 0.750    Q |   8.04%  0.9976  -19.90%  1.138  0.899 |  1.0301 |    8.50%  0.9815  -19.90% |  0.84 | .  .
 0.875    W |  10.12%  1.2056  -13.99%  1.226  1.190 |  1.1045 |   11.15%  1.2848  -13.99% |  2.06 | .  .
 0.875    M |  10.44%  1.1774  -16.62%  1.213  1.150 |  1.1065 |   11.28%  1.2332  -16.62% |  1.44 | .  .
 0.875    Q |   9.38%  0.9962  -23.02%  1.139  0.897 |  1.0307 |    9.91%  0.9791  -23.02% |  0.98 | .  .
 1.000    W |  11.59%  1.2055  -15.91%  1.226  1.190 |  1.1047 |   12.78%  1.2844  -15.91% |  2.35 | .  Y
 1.000    M |  11.96%  1.1781  -18.81%  1.214  1.150 |  1.1076 |   12.93%  1.2336  -18.81% |  1.64 | .  Y
 1.000    Q |  10.71%  0.9948  -26.07%  1.139  0.895 |  1.0313 |   11.31%  0.9765  -26.07% |  1.12 | .  .

--- u56 @ 25 bps (band 3% fixed) ---
 gross  cad |    CAGR  Sharpe    MaxDD     H1     H2 |  IS Shp | OOS CAGR OOS Shp   OOS DD |  turn | 4a 4b
 0.500    W |   5.56%  1.1677   -8.14%  1.187  1.154 |  1.0647 |    6.13%  1.2484   -8.14% |  1.20 | .  .
 0.500    M |   5.78%  1.1503   -9.80%  1.184  1.123 |  1.0778 |    6.25%  1.2073   -9.80% |  0.83 | .  .
 0.500    Q |   5.28%  0.9843  -13.51%  1.120  0.888 |  1.0119 |    5.59%  0.9711  -13.51% |  0.56 | .  .
 0.625    W |   6.96%  1.1679  -10.13%  1.188  1.154 |  1.0652 |    7.68%  1.2484  -10.13% |  1.49 | .  .
 0.625    M |   7.25%  1.1512  -12.12%  1.186  1.124 |  1.0791 |    7.84%  1.2079  -12.12% |  1.03 | .  .
 0.625    Q |   6.59%  0.9832  -16.73%  1.120  0.887 |  1.0126 |    6.98%  0.9690  -16.73% |  0.70 | .  .
 0.750    W |   8.37%  1.1681  -12.09%  1.188  1.153 |  1.0657 |    9.24%  1.2483  -12.09% |  1.77 | .  .
 0.750    M |   8.72%  1.1520  -14.41%  1.187  1.125 |  1.0802 |    9.43%  1.2085  -14.41% |  1.24 | .  .
 0.750    Q |   7.91%  0.9820  -19.90%  1.121  0.885 |  1.0132 |    8.36%  0.9668  -19.90% |  0.84 | .  .
 0.875    W |   9.78%  1.1681  -14.04%  1.189  1.153 |  1.0661 |   10.81%  1.2480  -14.04% |  2.06 | .  .
 0.875    M |  10.20%  1.1528  -16.64%  1.188  1.125 |  1.0814 |   11.04%  1.2090  -16.64% |  1.44 | .  .
 0.875    Q |   9.22%  0.9807  -23.02%  1.122  0.882 |  1.0139 |    9.74%  0.9644  -23.02% |  0.98 | .  .
 1.000    W |  11.19%  1.1681  -15.96%  1.189  1.153 |  1.0664 |   12.38%  1.2477  -15.96% |  2.35 | .  Y
 1.000    M |  11.68%  1.1536  -18.84%  1.189  1.126 |  1.0825 |   12.65%  1.2095  -18.84% |  1.64 | .  Y
 1.000    Q |  10.53%  0.9793  -26.07%  1.122  0.880 |  1.0145 |   11.12%  0.9619  -26.07% |  1.12 | .  .

--- broad136 @ 10 bps (band 3% fixed) ---
 gross  cad |    CAGR  Sharpe    MaxDD     H1     H2 |  IS Shp | OOS CAGR OOS Shp   OOS DD |  turn | 4a 4b
 0.500    W |   5.34%  1.1057   -8.24%  1.228  0.985 |  1.0900 |    5.31%  1.1195   -8.24% |  1.35 | .  .
 0.500    M |   5.57%  1.0908  -10.67%  1.212  0.974 |  1.0849 |    5.54%  1.0956  -10.67% |  0.93 | .  .
 0.500    Q |   5.23%  0.9493  -14.76%  1.145  0.787 |  1.0173 |    5.14%  0.8996  -14.76% |  0.60 | .  .
 0.625    W |   6.69%  1.1058  -10.25%  1.229  0.985 |  1.0906 |    6.65%  1.1190  -10.25% |  1.68 | .  .
 0.625    M |   6.98%  1.0916  -13.21%  1.213  0.975 |  1.0863 |    6.94%  1.0960  -13.21% |  1.16 | .  .
 0.625    Q |   6.54%  0.9471  -18.33%  1.145  0.784 |  1.0177 |    6.42%  0.8959  -18.33% |  0.75 | .  .
 0.750    W |   8.03%  1.1058  -12.24%  1.229  0.984 |  1.0912 |    7.98%  1.1185  -12.24% |  2.01 | .  .
 0.750    M |   8.40%  1.0924  -15.69%  1.214  0.975 |  1.0877 |    8.35%  1.0963  -15.69% |  1.39 | .  .
 0.750    Q |   7.84%  0.9448  -21.84%  1.145  0.781 |  1.0180 |    7.69%  0.8920  -21.84% |  0.90 | .  .
 0.875    W |   9.38%  1.1058  -14.21%  1.230  0.984 |  1.0917 |    9.32%  1.1180  -14.21% |  2.34 | .  .
 0.875    M |   9.82%  1.0932  -18.12%  1.216  0.976 |  1.0891 |    9.76%  1.0966  -18.12% |  1.62 | .  .
 0.875    Q |   9.14%  0.9423  -25.31%  1.145  0.777 |  1.0184 |    8.95%  0.8879  -25.31% |  1.05 | .  .
 1.000    W |  10.72%  1.1057  -16.16%  1.230  0.983 |  1.0922 |   10.66%  1.1174  -16.16% |  2.67 | .  .
 1.000    M |  11.24%  1.0940  -20.50%  1.217  0.976 |  1.0905 |   11.17%  1.0969  -20.50% |  1.85 | .  .
 1.000    Q |  10.44%  0.9396  -28.73%  1.145  0.774 |  1.0187 |   10.21%  0.8837  -28.73% |  1.20 | .  .

--- broad136 @ 25 bps (band 3% fixed) ---
 gross  cad |    CAGR  Sharpe    MaxDD     H1     H2 |  IS Shp | OOS CAGR OOS Shp   OOS DD |  turn | 4a 4b
 0.500    W |   5.13%  1.0635   -8.27%  1.189  0.940 |  1.0508 |    5.09%  1.0745   -8.27% |  1.35 | .  .
 0.500    M |   5.42%  1.0633  -10.69%  1.186  0.945 |  1.0593 |    5.39%  1.0667  -10.69% |  0.93 | .  .
 0.500    Q |   5.14%  0.9329  -14.76%  1.128  0.771 |  1.0008 |    5.04%  0.8832  -14.76% |  0.60 | .  .
 0.625    W |   6.42%  1.0638  -10.29%  1.190  0.940 |  1.0517 |    6.37%  1.0743  -10.29% |  1.68 | .  .
 0.625    M |   6.80%  1.0643  -13.23%  1.187  0.946 |  1.0608 |    6.75%  1.0671  -13.23% |  1.16 | .  .
 0.625    Q |   6.42%  0.9308  -18.33%  1.128  0.768 |  1.0013 |    6.29%  0.8796  -18.33% |  0.75 | .  .
 0.750    W |   7.70%  1.0640  -12.28%  1.191  0.939 |  1.0525 |    7.64%  1.0740  -12.28% |  2.01 | .  .
 0.750    M |   8.17%  1.0652  -15.72%  1.189  0.947 |  1.0623 |    8.11%  1.0675  -15.72% |  1.39 | .  .
 0.750    Q |   7.70%  0.9286  -21.84%  1.128  0.765 |  1.0017 |    7.54%  0.8758  -21.84% |  0.90 | .  .
 0.875    W |   8.99%  1.0641  -14.26%  1.191  0.939 |  1.0532 |    8.92%  1.0736  -14.26% |  2.34 | .  .
 0.875    M |   9.55%  1.0661  -18.16%  1.190  0.947 |  1.0638 |    9.48%  1.0679  -18.16% |  1.62 | .  .
 0.875    Q |   8.97%  0.9262  -25.31%  1.128  0.762 |  1.0021 |    8.77%  0.8719  -25.31% |  1.05 | .  .
 1.000    W |  10.28%  1.0641  -16.21%  1.192  0.938 |  1.0538 |   10.20%  1.0732  -16.21% |  2.67 | .  .
 1.000    M |  10.93%  1.0669  -20.54%  1.191  0.948 |  1.0652 |   10.85%  1.0683  -20.54% |  1.85 | .  .
 1.000    Q |  10.24%  0.9236  -28.73%  1.128  0.758 |  1.0025 |   10.00%  0.8677  -28.73% |  1.20 | .  .

--- small439 @ 10 bps (band 3% fixed) ---
 gross  cad |    CAGR  Sharpe    MaxDD     H1     H2 |  IS Shp | OOS CAGR OOS Shp   OOS DD |  turn | 4a 4b
 0.500    W |   2.58%  0.5725   -9.99%  0.569  0.578 |  0.5790 |    2.61%  0.5688   -9.99% |  1.87 | .  .
 0.500    M |   3.12%  0.6621  -11.40%  0.719  0.614 |  0.7350 |    2.95%  0.6191  -11.40% |  1.13 | Y  .
