egrid,bar,cost,panel,set,n_books,n_verdict_const,frac_const,n_legset_const,frac_legset_const,n_pass_ever,n_pass_always,pass_rate,pass4a_rate,L4_bind_share,L4_bind_pre,L4_bind_post
END_Q,REC_FULL,0.0,U56,SHELF,7,6,0.8571428571428571,6,0.8571428571428571,7,6,0.9910714285714286,0.0,0.0,0.0,0.0
END_Q,REC_FULL,0.0,U56,GRID,18,11,0.6111111111111112,11,0.6111111111111112,15,8,0.6944444444444444,0.0,0.05555555555555555,0.2222222222222222,0.0
END_Q,REC_FULL,0.0,U56,ALL,25,17,0.68,17,0.68,22,14,0.7775,0.0,0.04,0.16,0.0
END_Q,REC_FULL,0.0,B136,SHELF,2,2,1.0,2,1.0,2,2,1.0,0.0,0.0,0.0,0.0
END_Q,REC_FULL,0.0,B136,GRID,18,11,0.6111111111111112,11,0.6111111111111112,14,7,0.6631944444444444,0.0,0.027777777777777776,0.1111111111111111,0.0
END_Q,REC_FULL,0.0,B136,ALL,20,13,0.65,13,0.65,16,9,0.696875,0.0,0.025,0.1,0.0
END_Q,REC_FULL,0.0,BOTH,SHELF,9,8,0.8888888888888888,8,0.8888888888888888,9,8,0.9930555555555556,0.0,0.0,0.0,0.0
END_Q,REC_FULL,0.0,BOTH,GRID,36,22,0.6111111111111112,22,0.6111111111111112,29,15,0.6788194444444444,0.0,0.041666666666666664,0.16666666666666666,0.0
END_Q,REC_FULL,0.0,BOTH,ALL,45,30,0.6666666666666666,30,0.6666666666666666,38,23,0.7416666666666667,0.0,0.03333333333333333,0.13333333333333333,0.0
END_Q,REC_FULL,10.0,U56,SHELF,7,4,0.5714285714285714,4,0.5714285714285714,7,4,0.9732142857142857,0.0,0.0,0.0,0.0
END_Q,REC_FULL,10.0,U56,GRID,18,10,0.5555555555555556,8,0.4444444444444444,14,6,0.6354166666666666,0.0,0.05555555555555555,0.2222222222222222,0.0
END_Q,REC_FULL,10.0,U56,ALL,25,14,0.56,12,0.48,21,10,0.73,0.0,0.04,0.16,0.0
END_Q,REC_FULL,10.0,B136,SHELF,2,1,0.5,1,0.5,2,1,0.96875,0.0,0.0,0.0,0.0
