panel,q,c,narrow_days,ann_eff_on_narrow_pp,book_pp_yr,book_pp_yr_ex22,ann_eff_narrow_ex22_pp,off_state_pp_yr,pos_years,episodes,pos_episodes,pos_episodes_ex22,dSharpe,dMaxDD_pp,dOOS_Sharpe
U56,0.1,0.25,283,15.85945503475901,0.9613659235357964,0.7523077958795267,23.883822809159895,-0.05310934558743984,6/7,11,7/11,6/7,-0.010209273167454125,-9.263527239624448,0.012735066928466932
U56,0.1,0.35,283,7.473473139063376,0.43485034983817006,0.16505100923327723,5.882352678948823,-0.04443989302774283,5/7,11,6/11,5/7,-0.019393618607939755,-7.323783949229423,0.021468445444519535
U56,0.1,0.5,283,4.238766412615158,0.2377587155467262,0.3408198859545971,11.021910319640055,-0.034687188753169514,5/7,11,7/11,5/7,-0.019754459232756094,-4.065936348546084,0.0019855128987162907
U56,0.1,0.75,283,-2.572828508849079,-0.17874032804987344,-0.1941998365646816,-5.582855395486893,-0.015716517855894695,3/7,11,6/11,4/7,-0.026306997563855905,0.0,-0.005952186742088195
U56,0.2,0.25,623,13.772344360205135,1.8371199846476303,0.7820358156137898,9.40163938146484,-0.11142424647719315,7/11,19,11/19,9/17,0.01999047713521973,-8.621528998538642,0.05049133165506614
U56,0.2,0.35,623,6.486997937259203,0.8298581227420128,-0.018662659570338754,0.6622914538198861,-0.09372628617942608,5/11,19,9/19,8/17,-0.013005603711273794,-6.308187932563514,0.05145644338603561
U56,0.2,0.5,623,5.04849486141614,0.6503122955857449,0.391051924531874,4.8115527173676025,-0.0677348057015549,7/11,19,10/19,8/17,-0.0032716300079376204,-4.136671874117881,0.0419398279657226
U56,0.2,0.75,623,-1.096211166401319,-0.17677070263546454,-0.2044195615334313,-1.94797163040564,-0.026662891072013965,7/11,19,10/19,9/17,-0.037433835294600426,-0.29069429274094505,-0.020286336101117408
U56,0.3,0.25,977,9.404156719027364,1.8791741512622022,0.9425101545754122,6.491358184149493,-0.2444272261804796,9/13,32,20/32,19/30,-0.015745917656357022,-8.621528998538587,0.016515698361429187
U56,0.3,0.35,977,5.082589778095488,0.9574796215340341,0.12673480102322743,1.6702278977242586,-0.20665458498258693,7/13,32,18/32,17/30,-0.029474224452657127,-6.308187932563502,0.028942016639732726
