,,,diff,diff,diff,diff,resolved,resolved,resolved,resolved,z,z,z,z
estimator,,,E1_medabs,E2_meanabs,E3_absmean,E4_absmed,E1_medabs,E2_meanabs,E3_absmean,E4_absmed,E1_medabs,E2_meanabs,E3_absmean,E4_absmed
kind,rung,S,,,,,,,,,,,,
RAND,0,5,-0.0034728836929924234,-0.002281351657431027,0.0012287728903314149,0.0007921704014463571,1.0,0.0,0.0,0.0,-2.2789882436066513,-1.9238580809444317,0.6845398705485105,0.4456884348227292
RAND,0,10,-0.002053331566501476,-0.0015677722444867002,0.0018315942638499117,0.0022960306263732633,0.0,0.0,0.0,0.0,-1.958464427905433,-1.7239596379976274,1.6090467998153477,1.538517703686186
RAND,0,20,-0.0007129121016841156,6.906110557218167e-05,0.0032526231518534955,0.002104258434200257,0.0,0.0,1.0,1.0,-1.008836191616838,0.10312019509500008,3.2897544667209173,2.3183834306881472
RAND,0,40,0.0007050653514317773,2.103943173850306e-05,0.0023990144077784556,0.0015118923609130919,0.0,0.0,1.0,1.0,1.2997776551915972,0.043910091961606446,3.9581041774374013,2.3506844249360412
RAND,10,5,0.24236143051351405,0.2697620248868589,0.30962987209142306,0.2730174176521261,1.0,1.0,1.0,1.0,44.71585727893179,58.03043796196365,56.43358891128128,45.34941486573675
RAND,10,10,0.2488344196792747,0.28366746372194146,0.3123571445449052,0.2703601386620195,1.0,1.0,1.0,1.0,50.505708667910056,63.71160173437389,62.68677837581721,51.87166150429138
RAND,10,20,0.25809077850592677,0.29288637261802103,0.3147708569860578,0.2747046203414646,1.0,1.0,1.0,1.0,50.2071906613954,66.8546679206784,68.51803271853092,51.93246847151612
RAND,10,40,0.2625743487840045,0.2997138411616153,0.31495731751575307,0.27327099132497773,1.0,1.0,1.0,1.0,44.63612763719601,68.47243507663069,69.06791164349146,45.73067436329125
RAND,25,5,0.6508074180231476,0.7433402246784638,0.7829229499187452,0.6804480711809638,1.0,1.0,1.0,1.0,48.295057325264864,67.3647893578672,66.94245302276076,49.23829726601803
RAND,25,10,0.6599138156448823,0.7563993400122281,0.7850317183849437,0.6815911165386351,1.0,1.0,1.0,1.0,50.81400682260453,68.86919908502435,68.92468923558187,51.36153364448201
RAND,25,20,0.6720855959577118,0.7655183486465699,0.787124332768393,0.6883378713200548,1.0,1.0,1.0,1.0,48.24653464891652,69.88286046800906,70.48039922714717,48.87334825394373
RAND,25,40,0.6726303422215654,0.7723148753258476,0.7874859674832765,0.682993175769408,1.0,1.0,1.0,1.0,40.46179597341581,70.27820792320895,70.57611981564895,40.88031206125109
SM_DOM,0,5,-0.004240133152932923,-0.005959072559845943,0.0025441533368512357,0.0013122324280437359,1.0,1.0,0.0,0.0,-2.4930821347913983,-4.914341585771034,1.6264250383338974,0.8107518500147131
SM_DOM,0,10,-0.0024296435458418253,-0.004049705028422074,0.002590802932921591,0.002579843291213746,1.0,1.0,1.0,1.0,-2.13171060950842,-4.798631692466108,2.537538263796969,2.1270801599847484
SM_DOM,0,20,-0.002102945219676078,-0.002191675447950285,0.004073498934748198,0.0033039692725140846,1.0,1.0,1.0,1.0,-3.0606519088723014,-3.4351188122074916,4.481985002435537,3.551718985282872
SM_DOM,0,40,-0.0009212001365378475,-0.0016972837823707645,0.003859433054468343,0.0022299835627535014,0.0,1.0,1.0,1.0,-1.7657721925827352,-3.7871997568998554,6.916087235807182,3.88897566342268
SM_DOM,10,5,-0.0046807958234312275,-0.005611199885531035,0.0025225473658617064,0.0013875191947078647,1.0,1.0,0.0,0.0,-2.681708194427325,-4.667746980133675,1.6220683465557753,0.8148218925055247
SM_DOM,10,10,-0.0022512267234880423,-0.003969517543182918,0.0024924131495810617,0.002482577878297282,1.0,1.0,1.0,0.0,-2.2159778697020065,-4.710893308065502,2.425782547564672,1.925407355293446
SM_DOM,10,20,-0.0018600298985816388,-0.002068975839014591,0.003961518393187499,0.0033331413903486262,1.0,1.0,1.0,1.0,-2.7392511715700953,-3.2442737266231876,4.367074962384891,3.696451850031772
SM_DOM,10,40,-0.0005616651185889054,-0.0015605316233489753,0.0036837845284921956,0.002734604887572878,0.0,1.0,1.0,1.0,-1.253160548416793,-3.4646749629654856,6.523031976481114,4.39419555684535
