panel,form,bps,pick,IS,OOS_pick,OOS_base,OOS_best,regret,beats_base,beats_v2,pick_4b,base_4b
B136,EWALL,0,VOLTGT_t0.12,1.2459756716022885,1.1986082223248107,1.1094375225693065,1.254083739332284,0.05547551700747322,True,True,True,False
B136,EWALL,10,VOLTGT_t0.12,1.2320127428850913,1.1827128669563152,1.1022031339130582,1.2279396375474452,0.045226770591130006,True,True,True,False
B136,EWALL,25,VOLTGT_t0.15,1.213837641381516,1.1525435858356488,1.0913501695849346,1.1886632356488873,0.036119649813238563,True,True,True,False
B136,MAEW,0,CADENCE_M,1.132033626328283,1.175648175838633,1.1751116022896517,1.1839036151670954,0.0082554393284624,True,True,False,False
B136,MAEW,10,CADENCE_M,1.1128506113961332,1.1523520140846002,1.1257193251059632,1.1523520140846002,0.0,True,True,False,False
B136,MAEW,25,CADENCE_M,1.083990598758222,1.1172808870307518,1.051525708836833,1.1172808870307518,0.0,True,True,False,False
B136,RULESV2,0,VOLTGT_t0.12,1.1256676123261111,1.164129745939702,1.1481353293632495,1.164129745939702,0.0,True,True,False,False
B136,RULESV2,10,VOLTGT_t0.15,1.0990411068255865,1.1317797008756927,1.1185082795688426,1.133101173451975,0.0013214725762822344,True,True,False,False
B136,RULESV2,25,CADENCE_M,1.062304383531473,1.0675362385627567,1.0740236940215924,1.0866700392938526,0.01913380073109594,False,False,False,False
B136,TOP10,0,CADENCE_Q,1.3832681446062978,0.8192662955317463,0.8876491398135304,1.049085289022087,0.22981899349034063,False,False,False,False
B136,TOP10,10,CADENCE_Q,1.3596003013797084,0.7953262313036547,0.7830912652526079,1.004735821049976,0.2094095897463213,True,False,False,False
B136,TOP10,25,CADENCE_Q,1.323725729299509,0.759217945012401,0.6258704447320358,0.9378592263309203,0.1786412813185193,True,False,False,False
B136,TOP20,0,CADENCE_M,1.2828875801033321,1.048088073064253,0.9907714255507482,1.048088073064253,0.0,True,False,False,True
B136,TOP20,10,CADENCE_M,1.2386787755380104,1.006515564536546,0.8919165372280256,1.006515564536546,0.0,True,False,False,False
B136,TOP20,25,CADENCE_M,1.1719607859553292,0.9438624203901402,0.7433679864583754,0.9438624203901402,0.0,True,False,False,False
B136,TOP3,0,CADENCE_Q,1.4295079765729246,0.9279569088479055,0.6817638205091057,1.2353247751753507,0.30736786632744517,True,False,False,False
B136,TOP3,10,CADENCE_Q,1.4097329428091905,0.907824813736298,0.5760999130793343,1.1928824843508357,0.2850576706145377,True,False,False,False
B136,TOP3,25,CADENCE_Q,1.3797737685984823,0.8774576099655833,0.4173305884856388,1.1287779619278842,0.25132035196230085,True,False,False,False
SMALL439,EWALL,0,BREADTH_B0.40_c1.00,0.9290019476593827,0.57671257426277,0.6473182186991797,0.672706367260861,0.09599379299809097,False,False,False,False
SMALL439,EWALL,10,BREADTH_B0.40_c1.00,0.9053123899749655,0.5413123080588492,0.6366624355474834,0.65069572487683,0.1093834168179808,False,False,False,False
SMALL439,EWALL,25,BREADTH_B0.40_c1.00,0.869674786827579,0.48807164253480895,0.6206770724346838,0.6413292573526875,0.15325761481787858,False,False,False,False
SMALL439,MAEW,0,CADENCE_M,0.742062619492972,0.6124875900946192,0.6031258904393559,0.6124875900946192,0.0,True,True,False,False
SMALL439,MAEW,10,CADENCE_M,0.7171120289507844,0.5877918062419493,0.5504275280301449,0.5877918062419493,0.0,True,True,False,False
