arm,pass4a_v2,pass4a_v1,pass4b,failing,margin_H1,margin_H2,margin_OOS,margin_DD,margin_CAGR
"A_IS      (IS-Sharpe argmax k, per cell)",False,False,False,H2|OOS|DD,0.0632216878155033,-0.021837619021313093,-0.02370642791939237,-0.023811160236363177,0.011489618741063273
"A_EXACT   (k = +0.10, the unsmoothed crossing)",False,False,False,H1|H2|OOS|DD,-0.09099582707960141,-0.03681135541402414,-0.03580940559650758,-0.026914131814636505,0.008047317037079754
"A_HM3     (k = +0.50, idea 439's headline window)",False,False,False,H1|H2|OOS|DD,-0.15605664470220848,-0.05701356363017385,-0.06337030062313853,-0.03048488976015115,0.006260121724979056
"A_HM5     (k = +1.00, the widest window)",False,False,False,H1|H2|OOS|DD,-0.2089768111294349,-0.0672574629718421,-0.0851652364417077,-0.03151917530948964,0.003096336129474825
"A_ZERO    (k =  0.00, no vol scaler — the control)",False,False,False,H1|H2|OOS|DD,-0.0989938421473161,-0.0822931420154348,-0.07664074260912912,-0.02359720375764815,0.001066043640979869
"A_LIVE    (k = -0.50, RULES v1's live scaler)",False,False,False,H1|H2|OOS|DD|CAGR,-0.17268857609297683,-0.3003077377400263,-0.2861697223045364,-0.0041752092451940725,-0.04154705518589305
