stat,K,panel,family,thr,depth,bps,dSharpe,band_mean,band_sd,band_rng,margin_ref,flips
MAX,20,BROAD136,BUDGET,0.05,half,10,0.04333910725396495,0.057461788172144,0.00513875604726249,0.01643711905053491,-0.014122680918179052,False
MAX,20,BROAD136,BUDGET,0.05,half,25,0.09506986413478313,0.1058481163337635,0.004634095568185756,0.015328441545375271,-0.010778252198980362,False
MAX,20,BROAD136,BUDGET,0.05,skip,10,-0.007147121351681829,0.22117235650239908,0.07429649183062119,0.2929409393579564,-0.21402523515071725,False
MAX,20,BROAD136,BUDGET,0.05,skip,25,0.13488965887285143,0.3316687587995495,0.05379681873741757,0.20645011553196668,-0.19677909992669806,False
MAX,20,BROAD136,BUDGET,0.1,half,10,0.025503676449835533,0.059964926224105694,0.006983463643830732,0.024496989948533998,-0.03446124977427016,False
MAX,20,BROAD136,BUDGET,0.1,half,25,0.07539181517360305,0.10474595471212944,0.006995780445560381,0.025107802758478126,-0.02935413953852639,False
MAX,20,BROAD136,BUDGET,0.1,skip,10,0.009128794167337584,0.20906341126015793,0.04276488987457388,0.16294683911365582,-0.19993461709282034,False
MAX,20,BROAD136,BUDGET,0.1,skip,25,0.13380895392668601,0.3245330586417541,0.042495844454769754,0.1634440168610447,-0.19072410471506807,False
MAX,20,BROAD136,BUDGET,0.2,half,10,0.013115520709434336,0.05390478566458835,0.008675593225281471,0.03823173247486655,-0.04078926495515402,False
MAX,20,BROAD136,BUDGET,0.2,half,25,0.053573707270202386,0.08585316407804489,0.009507877210390725,0.044773254587378464,-0.0322794568078425,False
MAX,20,BROAD136,BUDGET,0.2,skip,10,-0.03391514365775361,0.12589429129821533,0.021279820132550784,0.0677113111748946,-0.09197914764046172,False
MAX,20,BROAD136,BUDGET,0.2,skip,25,0.05513372116955506,0.19735433949778455,0.022483659694639967,0.06887887107352186,-0.1422206183282295,False
MAX,20,BROAD136,BUDGET,0.3,half,10,-0.008118614373006539,0.029935447626190197,0.00697822320249631,0.026265244724992365,-0.02181683325318366,False
MAX,20,BROAD136,BUDGET,0.3,half,25,0.007659582169338819,0.035898297332551066,0.0070164748905179545,0.030367404584750513,-0.028238715163212247,False
MAX,20,BROAD136,BUDGET,0.3,skip,10,-0.02642874000613671,0.06597816141478528,0.016460410241384327,0.05703885356747607,-0.039549421408648575,False
MAX,20,BROAD136,BUDGET,0.3,skip,25,0.006209474779794388,0.07378306763316518,0.013527778978397017,0.05531193440363735,-0.06757359285337079,False
MAX,20,BROAD136,BUDGET,0.5,half,10,-0.02222793066005746,0.02027141777898665,0.008894209234932102,0.027448329856241793,0.0019565128810708106,True
