arm,char,direction,none_S,dm_S,residx_S,ratio_S,anchor,d_residx_none,d_residx_dm,residx_below_anchor,none_below_anchor
EWall,breadth,+,0.9330115873576128,0.2804904410912066,0.2804904410912066,0.9330115873576128,0.6572426538692143,-0.6525211462664062,0.0,True,False
EWall,breadth,-,0.1153180733493333,0.7855254948948452,0.7855254948948452,0.1153180733493333,0.6572426538692143,0.6702074215455119,0.0,False,True
EWall,disp,+,0.6788300100482391,0.7682724831365769,0.6788300100482391,0.6788300100482391,0.6572426538692143,0.0,-0.08944247308833786,False,False
EWall,disp,-,0.971946206670566,-0.0439173246992801,-0.0439173246992801,0.971946206670566,0.6572426538692143,-1.015863531369846,0.0,True,False
EWall,corr,+,0.9330115873576128,0.6258195848755351,0.6258195848755351,0.9330115873576128,0.6572426538692143,-0.3071920024820777,0.0,True,False
EWall,corr,-,0.0821494714150806,0.6405120616954454,0.6405120616954454,0.1153180733493333,0.6572426538692143,0.5583625902803648,0.0,True,True
EWall,evol,+,0.0879049965949239,0.0879049965949239,0.0879049965949239,0.7500560502602225,0.6572426538692143,0.0,0.0,True,True
EWall,evol,-,0.89715569130727,0.2400293521874442,0.5163957135318624,0.8179340675254172,0.6572426538692143,-0.3807599777754076,0.2763663613444182,True,False
top10,breadth,+,0.7625141500025743,0.4954430083103582,0.4954430083103582,0.7625141500025743,0.6450631404689786,-0.2670711416922161,0.0,True,False
top10,breadth,-,0.1811532330833968,0.6851920966839923,0.6851920966839923,0.1811532330833968,0.6450631404689786,0.5040388636005955,0.0,False,True
top10,disp,+,0.8092190840484961,0.7994648857072264,0.3494066444133376,0.0463445661567396,0.6450631404689786,-0.4598124396351585,-0.4500582412938888,True,False
top10,disp,-,0.6862752119189414,0.1243875068366021,0.1243875068366021,0.6862752119189414,0.6450631404689786,-0.5618877050823392,0.0,True,False
top10,corr,+,0.7625141500025743,0.7529394049661513,0.7529394049661513,0.6862752119189414,0.6450631404689786,-0.009574745036422971,0.0,False,False
top10,corr,-,0.0463445661567396,0.5909901343523715,0.5909901343523715,0.3711554333296727,0.6450631404689786,0.5446455681956319,0.0,True,True
top10,evol,+,0.076159503408342,0.076159503408342,0.076159503408342,0.1811532330833968,0.6450631404689786,0.0,0.0,True,True
top10,evol,-,0.7252143419767779,0.2593743585502207,0.2034212197949173,1.0538719837840869,0.6450631404689786,-0.5217931221818606,-0.05595313875530336,True,False
top20,breadth,+,0.8388428496024039,0.532049364725153,0.933828336762996,0.8388428496024039,0.6860258605456052,0.09498548716059219,0.4017789720378431,False,False
top20,breadth,-,0.0562376728056625,0.9875063661290726,0.9215696579731492,0.0562376728056625,0.6860258605456052,0.8653319851674867,-0.06593670815592345,False,True
top20,disp,+,0.596958571098268,0.8959847350287663,0.2852101976209272,0.1167127734369376,0.6860258605456052,-0.3117483734773408,-0.610774537407839,True,True
top20,disp,-,1.011996108638403,0.0435341047742796,0.0435341047742796,1.011996108638403,0.6860258605456052,-0.9684620038641234,0.0,True,False
top20,corr,+,0.8388428496024039,0.837772258099365,0.837772258099365,1.011996108638403,0.6860258605456052,-0.001070591503038898,0.0,False,False
top20,corr,-,-0.0114904892940176,0.7191573804130713,0.790040956969572,0.3571455943651092,0.6860258605456052,0.8015314462635896,0.07088357655650068,False,True
top20,evol,+,0.1458816477762982,0.1458816477762982,0.0562376728056625,0.2648305777800658,0.6860258605456052,-0.0896439749706357,-0.0896439749706357,True,True
top20,evol,-,0.8217341677682207,0.261458047798805,0.3482837958278991,0.971213436336523,0.6860258605456052,-0.47345037194032163,0.0868257480290941,True,False
