ladder,k,P_exact,T_095,T_090,T_080,T_060
N,6,0.002777777777777778,0.002777777777777778,0.016666666666666666,0.058333333333333334,0.24166666666666667
H,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.4166666666666667
GROSS,10,5.511463844797178e-07,0.00011666666666666667,0.0007833333333333334,0.007,0.07201666666666667
CADENCE,2,1.0,1.0,1.0,1.0,1.0
