dial,column,rung,files,col_files,share,bar,in_frozen_menu
n,n,5,201,572,0.3513986013986014,0.0,True
n,n,5,201,572,0.3513986013986014,0.01,True
n,n,5,201,572,0.3513986013986014,0.02,True
n,n,5,201,572,0.3513986013986014,0.05,True
n,n,5,201,572,0.3513986013986014,0.1,True
n,n,5,201,572,0.3513986013986014,0.25,True
n,n,5,201,572,0.3513986013986014,0.5,False
n,n,10,210,572,0.36713286713286714,0.0,True
n,n,10,210,572,0.36713286713286714,0.01,True
n,n,10,210,572,0.36713286713286714,0.02,True
n,n,10,210,572,0.36713286713286714,0.05,True
n,n,10,210,572,0.36713286713286714,0.1,True
n,n,10,210,572,0.36713286713286714,0.25,True
n,n,10,210,572,0.36713286713286714,0.5,False
n,n,15,46,572,0.08041958041958042,0.0,True
n,n,15,46,572,0.08041958041958042,0.01,True
n,n,15,46,572,0.08041958041958042,0.02,True
n,n,15,46,572,0.08041958041958042,0.05,True
n,n,15,46,572,0.08041958041958042,0.1,False
n,n,15,46,572,0.08041958041958042,0.25,False
n,n,15,46,572,0.08041958041958042,0.5,False
n,n,20,286,572,0.5,0.0,True
n,n,20,286,572,0.5,0.01,True
n,n,20,286,572,0.5,0.02,True
n,n,20,286,572,0.5,0.05,True
n,n,20,286,572,0.5,0.1,True
n,n,20,286,572,0.5,0.25,True
n,n,20,286,572,0.5,0.5,True
n,n,30,94,572,0.16433566433566432,0.0,True
n,n,30,94,572,0.16433566433566432,0.01,True
n,n,30,94,572,0.16433566433566432,0.02,True
n,n,30,94,572,0.16433566433566432,0.05,True
n,n,30,94,572,0.16433566433566432,0.1,True
n,n,30,94,572,0.16433566433566432,0.25,False
n,n,30,94,572,0.16433566433566432,0.5,False
n,n,40,157,572,0.2744755244755245,0.0,True
n,n,40,157,572,0.2744755244755245,0.01,True
n,n,40,157,572,0.2744755244755245,0.02,True
n,n,40,157,572,0.2744755244755245,0.05,True
n,n,40,157,572,0.2744755244755245,0.1,True
n,n,40,157,572,0.2744755244755245,0.25,True
n,n,40,157,572,0.2744755244755245,0.5,False
gross,gross,0.5,123,407,0.3022113022113022,0.0,True
gross,gross,0.5,123,407,0.3022113022113022,0.01,True
gross,gross,0.5,123,407,0.3022113022113022,0.02,True
gross,gross,0.5,123,407,0.3022113022113022,0.05,True
