panel,clause,g_star,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,L2_OOS_Sharpe,L2_OOS_CAGR,L2_OOS_MaxDD,dOOS_Sharpe,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,keep4b,fail4b,keep4a,fail4a,degen
U56,GROSS,1.0,1.1115841688138406,0.1847475084124901,1.1353154978950242,-0.2917897943136253,1.1353154978950242,0.18474750841248966,-0.2917897943136253,0.0,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,0,DD,0,H1+H2+DD,STATIC-GROSS
U56,MAGATE,1.0,1.0552140650364803,0.12195567927206197,1.2622563588664235,-0.15838542115080978,1.277398048962149,0.12193597719897808,-0.17137796366546876,-0.015141690095725524,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,1,,0,H1+H2+DD,SELECTION
U56,BAND,1.0,1.1047437219516025,0.12778020192494255,1.2843749349270628,-0.15910990262743996,1.2125336843485897,0.12078618359112303,-0.1649452029251105,0.07184125057847313,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,1,,0,H2+DD,SELECTION
U56,VOLCAP,1.0,0.9699549719726234,0.15137726938123675,1.111869358729112,-0.20880282084818402,1.1116323217065376,0.16603114337324154,-0.24316405766836102,0.0002370370225743823,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,0,DD,0,H1+H2+DD,SELECTION
U56,TOPN,0.85,0.9765506574476149,0.16399361311071692,1.1309157292306653,-0.20602120234853738,1.1118895903020138,0.12851922932800375,-0.1789415844684078,0.01902613892865146,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,0,DD,0,H1+H2+DD,SELECTION
U56,VOLSCALE,1.0,0.9414273040898989,0.1432630349748103,0.9918750858208188,-0.22794312631141544,1.1311647838931471,0.19318443210161784,-0.23978882127992074,-0.13928969807232827,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,0,DD,0,H1+H2+DD,SELECTION
U56,BREADTH,1.0,1.0248424351272498,0.16136142040337864,1.4004088640543766,-0.12719753492220232,1.4004088640543766,0.16136142040337864,-0.12719753492220232,0.0,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,1,,0,H1+DD,TIMING-ONLY
U56,RESPREAD,1.0,1.1047437219516025,0.12778020192494255,1.2843749349270628,-0.15910990262743996,1.284374934927063,0.12778020192494255,-0.15910990262743951,-2.220446049250313e-16,1.285084214786162,0.09534814633523103,-0.12054943679771168,0.8820107985559464,0.15450717694493377,-0.33717235283398306,1,,0,H2+DD,TIMING-ONLY
B136,GROSS,1.0,1.1480533223119422,0.1859417191021322,1.1006608842805254,-0.3272180741700377,1.1006608842805243,0.18594171910213264,-0.3272180741700388,1.1102230246251565e-15,1.1185194523434903,0.07983563828811135,-0.12240985403190019,0.8820244198368288,0.1545044425578177,-0.3371595330739301,0,DD,0,DD,STATIC-GROSS
B136,MAGATE,1.0,1.0566120124398404,0.10514427375766777,1.1250874821151426,-0.16630686129757155,1.1626391006184105,0.10956444986447655,-0.17896973412486838,-0.037551618503267825,1.1185194523434903,0.07983563828811135,-0.12240985403190019,0.8820244198368288,0.1545044425578177,-0.3371595330739301,0,CAGR,0,H1+DD,SELECTION
B136,BAND,1.0,1.0927413254606884,0.10658866355686825,1.117423140295007,-0.16157983013208954,1.1008598437657715,0.10514492284222388,-0.16652255033703478,0.016563296529235494,1.1185194523434903,0.07983563828811135,-0.12240985403190019,0.8820244198368288,0.1545044425578177,-0.3371595330739301,1,,0,H2+DD,SELECTION
