panel,freq,gross,levered,leg,margin_at_10bps,exact_breakeven_bps,status,analytic_slope_per_bp,analytic_breakeven_bps,analytic_error_bps,ann_turnover
U56,W,0.25,False,L_H1,0.26915127377169246,113.5528564453125,crosses,-0.0027213052315406797,108.90521307648801,-4.64764336882449,0.6062768598393591
U56,W,0.25,False,L_H2,0.35530943078826516,148.4039306640625,crosses,-0.0024340889274696324,155.97224726609664,7.568316602034145,0.6062768598393591
U56,W,0.25,False,L_OOS,0.4025875725695135,169.2108154296875,crosses,-0.0025154286842105256,170.04730131948335,0.8364858897958527,0.6062768598393591
U56,W,0.25,False,L_DD,0.16131194234771135,,alive_beyond_400,,,,0.6062768598393591
U56,W,0.25,False,L_CAGR,-0.07747780022282091,,dead_at_zero,-6.062768598393591e-05,,,0.6062768598393591
U56,W,0.25,False,L_DD_OOS,0.16131194234771146,,alive_beyond_400,,,,0.6062768598393591
U56,W,0.25,False,L_CAGR_OOS,-0.07583882641888415,,dead_at_zero,-6.101256140466087e-05,,,0.6062768598393591
U56,W,0.25,False,L4a_H1,-0.0014512480274286865,,dead_at_zero,0.005239392780961164,,,0.6062768598393591
U56,W,0.25,False,L4a_H2,0.0010667356481905976,27.0050048828125,crosses,0.004686408495081473,,,0.6062768598393591
U56,W,0.25,False,L4a_DD,0.07955782114303822,,alive_beyond_400,,,,0.6062768598393591
U56,W,0.375,False,L_H1,0.2695547416435592,114.5477294921875,crosses,-0.0026998702843346743,109.83988608918862,-4.707843402998876,0.9022961093018053
U56,W,0.375,False,L_H2,0.35509256165586156,149.4049072265625,crosses,-0.0024142018597143717,157.084867914845,7.679960688282506,0.9022961093018053
U56,W,0.375,False,L_OOS,0.4024012662521331,170.4010009765625,crosses,-0.0024953484287831926,171.26055247857957,0.8595515020170694,0.9022961093018053
U56,W,0.375,False,L_DD,0.14111884860255824,,alive_beyond_400,,,,0.9022961093018053
U56,W,0.375,False,L_CAGR,-0.06313627897884411,,dead_at_zero,-9.022961093018053e-05,,,0.9022961093018053
U56,W,0.375,False,L_DD_OOS,0.14111884860255813,,alive_beyond_400,,,,0.9022961093018053
U56,W,0.375,False,L_CAGR_OOS,-0.06011598940742843,,dead_at_zero,-9.08176044716145e-05,,,0.9022961093018053
U56,W,0.375,False,L4a_H1,-0.0010477801555619504,,dead_at_zero,0.0026070027769089493,,,0.9022961093018053
U56,W,0.375,False,L4a_H2,0.0008498665157870011,29.8309326171875,crosses,0.0023311604964181077,,,0.9022961093018053
U56,W,0.375,False,L4a_DD,0.05936472739788512,,alive_beyond_400,,,,0.9022961093018053
