ticker,sic2
ACCO,27
ACDC,13
ACH,50
ACU,34
ACVA,73
ADTN,36
ADV,73
AEBI,35
AESI,13
AGEN,28
AHCO,80
AIN,22
AIOT,36
AIRS,80
AKBA,28
ALLT,35
ALNT,38
ALOT,UNK
ALTG,50
ALTO,28
AMN,73
AMPH,28
ANGO,38
ANIK,38
AORT,38
AOSL,36
APEI,82
APOG,32
ARDX,28
ARRY,36
ASLE,50
ASMB,28
ASTE,35
ATEN,35
ATNI,48
AUDC,36
AVO,07
AZTA,35
BALY,70
BBCP,17
BDL,58
BGS,20
BJRI,58
BL,73
BLMN,58
BLZE,73
BRBR,20
BW,34
BWMN,87
BXC,50
BZH,15
CARS,73
CBRL,58
CCO,73
CCSI,73
CDRE,38
CERS,38
CERT,73
CGNT,73
CLB,13
CLFD,36
CLMB,50
CLVT,73
CLW,26
CMCO,35
CMP,14
CMRC,73
CNMD,38
CODI,25
COLL,28
COOK,36
COUR,73
CPRI,31
CRAI,81
CRI,23
CRMD,28
CRON,28
CRSR,35
CRTO,73
CSTL,80
CSV,72
CTEV,73
CTKB,38
CTRN,56
CTS,36
CURI,78
CVEO,70
CVGI,37
CWCO,49
CXDO,48
CYH,80
CYRX,28
DAKT,39
DCH,37
DFIN,73
DHX,73
DLX,27
DMC,01
DSGR,50
DSX,44
DXC,73
EAF,36
EBF,27
EBS,28
ECVT,28
EFOR,73
EGHT,73
EGY,13
ELA,59
EMBC,38
EOLS,28
EPAC,35
EPC,28
EPM,13
ESEA,44
ESP,36
ETD,25
ETON,28
EVCM,73
EVH,87
EVI,72
EVTC,73
EYE,38
FC,87
FEIM,38
FET,35
FLNG,44
FLO,20
FLXS,25
FOSL,38
FTK,28
FVRR,73
FWRG,58
GASS,44
GBX,37
GCO,56
GDYN,73
GENI,79
GHM,35
GIC,50
GILT,36
GLP,51
GNK,44
GO,54
GOGO,48
GPRE,28
GRNT,13
GRPN,73
GSL,44
GTM,73
GWRS,49
HCKT,87
HE,49
HLF,51
HLIT,36
HLLY,37
HLMN,34
HLX,13
HNRG,49
HNST,59
HPK,13
HSHP,44
HSTM,73
HTLD,42
HUN,28
HZO,55
IBEX,73
ICFI,87
ICHR,UNK
IDN,73
IDR,10
III,UNK
IMCR,28
IMMR,35
INFU,38
INGN,38
INMD,38
INNV,80
INOD,73
INSE,73
INSG,36
INSP,38
INVA,28
IRMD,38
IRWD,28
ITRN,50
JACK,58
JAKK,39
JBI,34
JBLU,45
JELD,24
JFB,15
JILL,23
KE,36
KFRC,73
KIDS,38
KLC,83
KOP,24
KRNT,35
KRO,28
KROS,28
KRT,30
KVHI,48
LCUT,34
LE,56
LEGH,24
LFMD,80
LGIH,15
LMAT,38
LMB,17
LNN,35
LOVE,57
LQDT,73
LTRX,35
LWAY,20
LXFR,28
LXU,28
LYTS,36
LZ,73
LZB,25
MAMA,20
MATV,26
MATW,33
MBC,25
MCFT,37
MDXG,38
MEC,34
MED,20
MEI,36
MG,87
MGPI,51
MITK,35
MLAB,38
MLKN,25
MNKD,28
MNRO,75
MPAA,37
MPTI,36
MRAM,36
MSEX,49
MTRX,17
MTW,35
MUX,10
MX,36
MYE,30
NABL,73
NAGE,28
NAT,44
NATH,58
NATR,28
NBR,13
NGS,13
NGVC,54
NNBR,35
NPCE,38
NPK,34
NPKI,73
NRC,87
NRP,12
NSP,73
NSSC,36
NTGR,35
NUS,51
NUTX,73
NVAX,28
NVEC,36
NVGS,44
NX,33
NXH,59
OEC,28
OESX,36
OFIX,38
OI,32
OIS,35
OLN,UNK
OMCL,35
OMDA,80
ONT,87
OPK,28
OPTU,48
OPTX,38
ORN,16
OSPN,73
OSS,35
OWLT,38
OXM,23
PACK,26
PANL,44
PAR,35
PCRX,28
PCYO,UNK
PD,73
PDEX,38
PERI,73
PHR,73
PLAB,36
PLAY,58
PLOW,35
PLPC,UNK
PLTK,73
PMTS,27
PNTG,80
PRG,73
PRGS,73
PRKS,79
PRTH,73
PSFE,73
PSIX,35
PUMP,13
PZZA,58
QNST,73
RAIL,37
RBBN,73
RDCM,35
RDVT,73
RDWR,73
REAL,59
REPX,13
RGP,73
RGR,34
RICK,58
RIGL,28
RJET,45
RLGT,47
ROCK,33
RPD,73
RRGB,58
RYAM,26
RYZ,50
SBH,59
SCL,28
SCSC,50
SD,13
SFL,44
