panel,family,points,p4a,p4b,both
B136,BREADTH,24,0,0,0
B136,MOM,24,0,0,0
B136,TREND,24,0,4,0
B136,VOL,24,0,3,0
SMALL484,BREADTH,24,0,0,0
SMALL484,MOM,24,0,0,0
SMALL484,TREND,24,0,0,0
SMALL484,VOL,24,0,0,0
U56,BREADTH,24,0,0,0
U56,MOM,24,0,0,0
U56,TREND,24,0,4,0
U56,VOL,24,0,3,0
