panel,family,thr,depth,bps,inert,behav,dup_printed,dSharpe
BROAD136,DDCTL,0.03,0.5,10,False,False,False,-0.14619289430144045
BROAD136,DDCTL,0.03,1.0,10,False,False,False,-0.4986263797123899
BROAD136,DDCTL,0.06,0.5,10,False,False,False,-0.09313187485596652
BROAD136,DDCTL,0.06,1.0,10,False,False,False,-0.2870224957498334
BROAD136,DDCTL,0.1,0.5,10,False,False,False,-0.04646262524064515
BROAD136,DDCTL,0.1,1.0,10,False,False,False,-0.1256313969835895
BROAD136,DDCTL,0.15,0.5,10,False,False,False,-0.004932242111463037
BROAD136,DDCTL,0.15,1.0,10,False,False,False,-0.012292332395303918
BROAD136,DDCTL,0.25,0.5,10,True,True,True,0.0
BROAD136,DDCTL,0.25,1.0,10,True,True,True,0.0
BROAD136,BUDGET,0.05,skip,10,False,False,False,-0.007147121351681829
BROAD136,BUDGET,0.05,half,10,False,False,False,0.04333910725396495
BROAD136,BUDGET,0.1,skip,10,False,False,False,0.009128794167337584
BROAD136,BUDGET,0.1,half,10,False,False,False,0.025503676449835533
BROAD136,BUDGET,0.2,skip,10,False,False,False,-0.03391514365775361
BROAD136,BUDGET,0.2,half,10,False,False,False,0.013115520709434336
BROAD136,BUDGET,0.3,skip,10,False,False,False,-0.02642874000613671
BROAD136,BUDGET,0.3,half,10,False,False,False,-0.008118614373006539
BROAD136,BUDGET,0.5,skip,10,False,False,False,-0.04753939638353677
BROAD136,BUDGET,0.5,half,10,False,False,False,-0.02222793066005746
BROAD136,SLEEVE,50.0,0.5,10,False,False,False,-0.07050937441039806
BROAD136,SLEEVE,50.0,1.0,10,False,False,False,-0.3036620437831692
BROAD136,SLEEVE,100.0,0.5,10,False,False,False,0.0016821634289365672
BROAD136,SLEEVE,100.0,1.0,10,False,False,False,-0.12238852273433365
BROAD136,SLEEVE,200.0,0.5,10,False,False,False,0.019045496149649566
BROAD136,SLEEVE,200.0,1.0,10,False,False,False,-0.05800258127148383
BROAD136,SLEEVE,300.0,0.5,10,False,False,False,-0.011487749489025534
BROAD136,SLEEVE,300.0,1.0,10,False,False,False,-0.08145656027678216
BROAD136,SLEEVE,400.0,0.5,10,False,False,False,0.020546393801555762
BROAD136,SLEEVE,400.0,1.0,10,False,False,False,0.006717703684986587
BROAD136,DDCTL,0.03,0.5,25,False,False,False,-0.17062613223488643
BROAD136,DDCTL,0.03,1.0,25,False,False,False,-0.5285760682402791
BROAD136,DDCTL,0.06,0.5,25,False,False,False,-0.10741588211757513
BROAD136,DDCTL,0.06,1.0,25,False,False,False,-0.3041450599773823
BROAD136,DDCTL,0.1,0.5,25,False,False,False,-0.05481672247684055
BROAD136,DDCTL,0.1,1.0,25,False,False,False,-0.13806015554428575
BROAD136,DDCTL,0.15,0.5,25,False,False,False,-0.00543269024432691
BROAD136,DDCTL,0.15,1.0,25,False,False,False,-0.012943236447483852
BROAD136,DDCTL,0.25,0.5,25,True,True,True,0.0
BROAD136,DDCTL,0.25,1.0,25,True,True,True,0.0
BROAD136,BUDGET,0.05,skip,25,False,False,False,0.13488965887285143
BROAD136,BUDGET,0.05,half,25,False,False,False,0.09506986413478313
BROAD136,BUDGET,0.1,skip,25,False,False,False,0.13380895392668601
BROAD136,BUDGET,0.1,half,25,False,False,False,0.07539181517360305
BROAD136,BUDGET,0.2,skip,25,False,False,False,0.05513372116955506
BROAD136,BUDGET,0.2,half,25,False,False,False,0.053573707270202386
BROAD136,BUDGET,0.3,skip,25,False,False,False,0.006209474779794388
BROAD136,BUDGET,0.3,half,25,False,False,False,0.007659582169338819
BROAD136,BUDGET,0.5,skip,25,False,False,False,-0.03877107630364829
BROAD136,BUDGET,0.5,half,25,False,False,False,-0.018486557649558644
BROAD136,SLEEVE,50.0,0.5,25,False,False,False,-0.14505375184709457
BROAD136,SLEEVE,50.0,1.0,25,False,False,False,-0.43296713571575735
BROAD136,SLEEVE,100.0,0.5,25,False,False,False,-0.036754935342486195
BROAD136,SLEEVE,100.0,1.0,25,False,False,False,-0.18157197300724182
BROAD136,SLEEVE,200.0,0.5,25,False,False,False,-0.006605048769284916
BROAD136,SLEEVE,200.0,1.0,25,False,False,False,-0.09471645427597575
BROAD136,SLEEVE,300.0,0.5,25,False,False,False,-0.024999108618356858
BROAD136,SLEEVE,300.0,1.0,25,False,False,False,-0.0995992857694954
BROAD136,SLEEVE,400.0,0.5,25,False,False,False,0.012377842728123034
BROAD136,SLEEVE,400.0,1.0,25,False,False,False,-0.004871155120671933
SMALL439,DDCTL,0.03,0.5,10,False,False,False,-0.18588709290725636
SMALL439,DDCTL,0.03,1.0,10,False,False,False,-0.6194880815719874
SMALL439,DDCTL,0.06,0.5,10,False,False,False,-0.19825180494563538
SMALL439,DDCTL,0.06,1.0,10,False,False,False,-0.5161892320330382
SMALL439,DDCTL,0.1,0.5,10,False,False,False,-0.17477775857047118
SMALL439,DDCTL,0.1,1.0,10,False,False,False,-0.39365838223853383
SMALL439,DDCTL,0.15,0.5,10,False,False,False,-0.0886350893747968
SMALL439,DDCTL,0.15,1.0,10,False,False,False,-0.18699672825259728
SMALL439,DDCTL,0.25,0.5,10,True,True,True,0.0
SMALL439,DDCTL,0.25,1.0,10,True,True,True,0.0
SMALL439,BUDGET,0.05,skip,10,False,False,False,-0.46383905998962277
