L,n_blocks,share_flip,median_gap,max_gap,min_gap,panel,subwin
5,999,0.003003003003003003,-0.10846054361405344,0.03069710327566899,-0.26473427500320934,U56,ISH1_HALF
10,994,0.0030181086519114686,-0.10882693837399265,0.08526442388162303,-0.30131214203165735,U56,ISH1_HALF
21,983,0.015259409969481181,-0.11006784338346909,0.1371649602460162,-0.3262449005008293,U56,ISH1_HALF
43,961,0.031217481789802288,-0.10336082743759223,0.2289307367528281,-0.24930073908163697,U56,ISH1_HALF
60,944,0.05826271186440678,-0.10066626933280609,0.1773173554823883,-0.2637764478343328,U56,ISH1_HALF
5,999,1.0,0.12912093156275706,0.2665419700808259,0.003966752155290187,B136,ISH1_HALF
10,994,0.9989939637826962,0.12791064509351857,0.32235998299276525,-0.04253752371099395,B136,ISH1_HALF
21,983,0.9949135300101729,0.1272189395247092,0.33080828610898827,-0.051719479361728826,B136,ISH1_HALF
43,961,1.0,0.12646897269210877,0.4157545363460215,0.03349456616078683,B136,ISH1_HALF
60,944,1.0,0.12820505207331834,0.3903374332746648,0.03506317053329422,B136,ISH1_HALF
5,747,0.5943775100401606,0.007944489234641305,0.11160902318194954,-0.08915303027253874,SMALL,ISH1_HALF
10,742,0.568733153638814,0.007939986839968771,0.13564097611291082,-0.11587886626801924,SMALL,ISH1_HALF
21,731,0.5444596443228454,0.006110605991448637,0.1562641890764941,-0.13610994083627292,SMALL,ISH1_HALF
43,709,0.5458392101551481,0.010382469658558047,0.20029976423146612,-0.2103157210221871,SMALL,ISH1_HALF
60,692,0.5216763005780347,0.0044553233786499,0.2428627991007637,-0.2253359471830132,SMALL,ISH1_HALF
