panel,window,gross,cagr_free,r_unlev,r_v2,r_4b
U56,FULL,0.75,0.08618880526313721,,,
U56,FULL,1.0,0.1153191786231531,,inf,inf
U56,FULL,1.25,0.1445830420647647,0.7893643379211426,inf,inf
U56,FULL,1.5,0.17393368636909368,0.31703996658325195,0.48081541061401367,0.3691267967224121
U56,FULL,1.75,0.20332710561753964,0.2396378517150879,0.3231186866760254,0.2661871910095215
U56,FULL,2.0,0.2327208002877561,0.20919370651245117,0.264493465423584,0.22678136825561523
U56,OOS,0.75,0.09455896847608769,,,
U56,OOS,1.0,0.12670148748914545,,inf,inf
U56,OOS,1.25,0.15908283822140867,0.8597941398620605,inf,inf
U56,OOS,1.5,0.19165137722522307,0.3351750373840332,0.5082173347473145,0.4406008720397949
U56,OOS,1.75,0.22435973440498014,0.25504350662231445,0.34382009506225586,0.3091301918029785
U56,OOS,2.0,0.25715910048767254,0.22309637069702148,0.2820115089416504,0.2589898109436035
B136,FULL,0.75,0.07958992027840184,,,
B136,FULL,1.0,0.10627284809226034,,inf,inf
B136,FULL,1.25,0.13296223174691724,0.6865620613098145,inf,0.6973042488098145
B136,FULL,1.5,0.15961153105724946,0.3012871742248535,0.45746564865112305,0.30367422103881836
B136,FULL,1.75,0.1861749646568467,0.22501420974731445,0.3037714958190918,0.22621774673461914
B136,FULL,2.0,0.2126081171511629,0.1943678855895996,0.24605894088745117,0.19515752792358398
B136,OOS,0.75,0.0784728360555127,,,
B136,OOS,1.0,0.10473004292318344,,inf,
B136,OOS,1.25,0.1309648077057044,0.8019118309020996,inf,0.737952709197998
B136,OOS,1.5,0.1571289622550105,0.3247370719909668,0.49325990676879883,0.31161928176879883
B136,OOS,1.75,0.18317533383686713,0.23291444778442383,0.31456422805786133,0.22655916213989258
B136,OOS,2.0,0.20905691870752108,0.19767045974731445,0.2503476142883301,0.19357061386108398
