panel,book,p,mult,keep4b,keep4b_incumbent,fail,fail_incumbent,margin,margin_incumbent
U56,N=5,0.9,0.5,False,False,DD,DD,-0.06210910175594642,-0.08994961179425837
U56,N=5,0.9,0.6,False,False,DD,DD,-0.05076960050651111,-0.05623234408579603
U56,N=5,0.9,0.75,False,False,DD,DD,-0.03376034863235812,-0.0056564425231024895
U56,N=5,0.9,1.0,False,True,DD,-,-0.005411595508769823,0.07863672674805333
U56,N=5,0.95,0.5,False,False,DD,DD,-0.08349514989028833,-0.08994961179425837
U56,N=5,0.95,0.6,False,False,DD,DD,-0.06826983389080901,-0.05623234408579603
U56,N=5,0.95,0.75,False,False,DD,DD,-0.045431859891590015,-0.0056564425231024895
U56,N=5,0.95,1.0,False,True,DD,-,-0.0073685698928916965,0.07863672674805333
U56,N=5,0.975,0.5,False,False,DD,DD,-0.0912521278543622,-0.08994961179425837
U56,N=5,0.975,0.6,False,False,DD,DD,-0.07351713136392259,-0.05623234408579603
U56,N=5,0.975,0.75,False,False,DD,DD,-0.04691463662826317,-0.0056564425231024895
U56,N=5,0.975,1.0,False,True,DD,-,-0.002577145402164166,0.07863672674805333
U56,N=5,0.99,0.5,False,False,DD,DD,-0.09533772025354863,-0.08994961179425837
U56,N=5,0.99,0.6,False,False,DD,DD,-0.07439764263164009,-0.05623234408579603
U56,N=5,0.99,0.75,False,False,DD,DD,-0.04298752619877727,-0.0056564425231024895
U56,N=5,0.99,1.0,True,True,-,-,0.0093626678559941,0.07863672674805333
U56,N=5,0.995,0.5,False,False,DD,DD,-0.10508453548492973,-0.08994961179425837
U56,N=5,0.995,0.6,False,False,DD,DD,-0.08211014559780308,-0.05623234408579603
U56,N=5,0.995,0.75,False,False,DD,DD,-0.047648560767113074,-0.0056564425231024895
U56,N=5,0.995,1.0,True,True,-,-,0.009787413950703566,0.07863672674805333
U56,N=5,0.999,0.5,False,False,DD,DD,-0.09747687508296021,-0.08994961179425837
U56,N=5,0.999,0.6,False,False,DD,DD,-0.06909866206715032,-0.05623234408579603
U56,N=5,0.999,0.75,False,False,DD,DD,-0.02653134254343545,-0.0056564425231024895
U56,N=5,0.999,1.0,True,True,-,-,0.04441418999608929,0.07863672674805333
U56,N=5,1.0,0.5,False,False,DD,DD,-0.08994961179425837,-0.08994961179425837
U56,N=5,1.0,0.6,False,False,DD,DD,-0.05623234408579603,-0.05623234408579603
U56,N=5,1.0,0.75,False,False,DD,DD,-0.0056564425231024895,-0.0056564425231024895
U56,N=5,1.0,1.0,True,True,-,-,0.07863672674805333,0.07863672674805333
U56,N=10,0.9,0.5,False,False,DD,DD,-0.03772468899626063,-0.03912421664959648
U56,N=10,0.9,0.6,False,False,DD,DD,-0.026385187746825314,-0.005406948941134138
U56,N=10,0.9,0.75,False,True,DD,-,-0.009375935872672325,0.0451689526215594
U56,N=10,0.9,1.0,True,True,-,-,0.01897281725091597,0.12946212189271522
U56,N=10,0.95,0.5,False,False,DD,DD,-0.04078629651968417,-0.03912421664959648
U56,N=10,0.95,0.6,False,False,DD,DD,-0.02556098052020485,-0.005406948941134138
U56,N=10,0.95,0.75,False,True,DD,-,-0.0027230065209858517,0.0451689526215594
U56,N=10,0.95,1.0,True,True,-,-,0.03534028347771247,0.12946212189271522
U56,N=10,0.975,0.5,False,False,DD,DD,-0.04375217166051863,-0.03912421664959648
U56,N=10,0.975,0.6,False,False,DD,DD,-0.026017175170079024,-0.005406948941134138
U56,N=10,0.975,0.75,True,True,-,-,0.0005853195655803889,0.0451689526215594
U56,N=10,0.975,1.0,True,True,-,-,0.044922810791679396,0.12946212189271522
U56,N=10,0.99,0.5,False,False,DD,DD,-0.04703916719383587,-0.03912421664959648
U56,N=10,0.99,0.6,False,False,DD,DD,-0.02609908957192733,-0.005406948941134138
U56,N=10,0.99,0.75,True,True,-,-,0.005311026860935486,0.0451689526215594
U56,N=10,0.99,1.0,True,True,-,-,0.05766122091570686,0.12946212189271522
U56,N=10,0.995,0.5,False,False,DD,DD,-0.04673039833984881,-0.03912421664959648
U56,N=10,0.995,0.6,False,False,DD,DD,-0.02375600845272216,-0.005406948941134138
U56,N=10,0.995,0.75,True,True,-,-,0.010705576377967846,0.0451689526215594
U56,N=10,0.995,1.0,True,True,-,-,0.06814155109578449,0.12946212189271522
U56,N=10,0.999,0.5,False,False,DD,DD,-0.03708978179124167,-0.03912421664959648
U56,N=10,0.999,0.6,False,False,DD,DD,-0.008711568775431777,-0.005406948941134138
U56,N=10,0.999,0.75,True,True,-,-,0.03385575074828309,0.0451689526215594
U56,N=10,0.999,1.0,True,True,-,-,0.10480128328780783,0.12946212189271522
U56,N=10,1.0,0.5,False,False,DD,DD,-0.03912421664959648,-0.03912421664959648
U56,N=10,1.0,0.6,False,False,DD,DD,-0.005406948941134138,-0.005406948941134138
U56,N=10,1.0,0.75,True,True,-,-,0.0451689526215594,0.0451689526215594
U56,N=10,1.0,1.0,True,True,-,-,0.12946212189271522,0.12946212189271522
U56,N=15,0.9,0.5,False,False,DD,DD,-0.02685608273611185,-0.0328594104156838
U56,N=15,0.9,0.6,False,True,DD,-,-0.015516581486676534,0.0008578572927785411
U56,N=15,0.9,0.75,True,True,-,-,0.0014926703874764552,0.05143375885547208
