stat,K,D_blocks,D_pairs_per_cfg,D_disagree,D_rep_sd,P_pairs_per_cfg,P_disagree,P_rep_sd,E_err,E_rep_sd,E_implied_disagree,cfg_with_error
MAX,20,48,1128,0.10220533924237629,0.0015278353448322719,200,0.10113541666666667,0.0009918581136617696,0.17678125,0.0016571445913525589,0.10006929253472223,0.40555555555555556
MAX,50,19,171,0.08546896792189679,0.00171097101734083,200,0.0879513888888889,0.0007142030375432302,0.11032986111111112,0.001013515097437478,0.08452856336805556,0.3111111111111111
MAX,100,9,36,0.06679166666666667,0.00333184490578275,200,0.07092361111111112,0.0013300016244304556,0.06677777777777778,0.00048591265790377174,0.06508294270833333,0.25555555555555554
MAX,200,4,6,0.040740740740740744,0.006121924055770442,200,0.04284027777777778,0.0006063577764706415,0.031885416666666666,0.0006397402023126464,0.0378807421875,0.18888888888888888
MAX,400,2,1,0.02222222222222222,0.007273929674533079,200,0.018215277777777775,0.0004079106439827566,0.010288194444444444,0.00046692583034199805,0.014322000868055556,0.12777777777777777
Q95,20,48,1128,0.07647660124511976,0.0016949573435015674,200,0.07493402777777777,0.0013432942656495563,0.06759375,0.0010491595590868315,0.07354415364583335,0.40555555555555556
Q95,50,19,171,0.05651150627615063,0.0025291904666470324,200,0.053451388888888896,0.0006682768253829517,0.04298958333333333,0.0009577652445502672,0.05190436197916667,0.29444444444444445
Q95,100,9,36,0.043708333333333335,0.0021133551148043803,200,0.04242708333333334,0.0009436197963723627,0.03412152777777777,0.0009663584506811208,0.04031275607638889,0.22777777777777777
Q95,200,4,6,0.03587962962962963,0.0026995147661320845,200,0.03648263888888889,0.0006715984085735971,0.026729166666666665,0.00046806056000339117,0.031906267361111115,0.15
Q95,400,2,1,0.04027777777777777,0.011404847510476122,200,0.034819444444444445,0.0004136131498665207,0.02015277777777778,0.0003437525052017101,0.025645008680555557,0.08333333333333333
