ceiling_x_yr,admitted,admit_share,precision,recall,lift,slice
0.25,168,0.0009138977740061362,0.0,0.0,0.0,all
0.5,10260,0.05581304262680332,0.03684210526315789,0.01382943694435298,0.2477814556146705,all
0.75,13318,0.07244815806079596,0.04602793212194023,0.02242710276954597,0.3095607034029206,all
1.0,16274,0.08852840698914202,0.04694604891237557,0.027951560384882744,0.315735494803504,all
1.5,24218,0.13174271601714646,0.05173837641423734,0.045842022463688584,0.3479662773744712,all
2.0,33077,0.1799345039928629,0.050034767361006136,0.06054951889657191,0.33650866038996946,all
3.0,45758,0.24891746632721892,0.06422920582193278,0.10752570153294552,0.4319733087416039,all
4.0,62139,0.3380279391605196,0.06852379343085663,0.15578238759009255,0.46085654332885195,all
6.0,76246,0.414768152838523,0.08906696744747265,0.24845424944206637,0.5990195914072367,all
8.0,89093,0.4846541332114803,0.11216369411738296,0.36560201953682364,0.7543565493070747,all
12.0,127590,0.6940727201514459,0.18684066149384748,0.8721691727947902,1.2565962434087363,all
20.0,170166,0.9256805274495724,0.1589741781554482,0.9897193868217905,1.0691803030022218,all
0.25,42,0.0037583892617449664,0.0,0.0,0.0,0bps
0.5,1029,0.09208053691275168,0.119533527696793,0.03720508166969147,0.40404935632536654,0bps
0.75,1221,0.10926174496644295,0.14250614250614252,0.05263157894736842,0.48170179749127123,0bps
1.0,1341,0.12,0.1342281879194631,0.0544464609800363,0.4537205081669691,0bps
1.5,1497,0.13395973154362417,0.14829659318637275,0.06715063520871144,0.5012747818686375,0bps
2.0,1698,0.15194630872483222,0.1501766784452297,0.07713248638838476,0.5076298794995286,0bps
3.0,2190,0.1959731543624161,0.13013698630136986,0.08620689655172414,0.439891355692017,0bps
4.0,2928,0.2620134228187919,0.11782786885245902,0.10435571687840291,0.39828385796316684,0bps
6.0,3705,0.3315436241610738,0.1417004048582996,0.1588021778584392,0.47897822876330853,0bps
8.0,4209,0.37664429530201343,0.150392017106201,0.19147005444646098,0.5083577710713237,0bps
12.0,7275,0.6510067114093959,0.342680412371134,0.7540834845735027,1.158334424757236,0bps
20.0,10284,0.9202684563758389,0.31330221703617267,0.9745916515426497,1.0590297263700028,0bps
0.25,54,0.0006962980155506556,0.0,0.0,0.0,10bps
0.5,2841,0.03663301226258172,0.010559662090813094,0.002467308166790032,0.06735204162585968,10bps
0.75,4353,0.05612935669800008,0.022742935906271536,0.008142116950407105,0.1450598658063226,10bps
1.0,5886,0.07589648369502147,0.02854230377166157,0.013816925734024179,0.18204961628453573,10bps
1.5,11157,0.1438629066573827,0.03764452809895133,0.03454231433506045,0.24010577248605744,10bps
2.0,15939,0.20552396425670186,0.03764351590438547,0.04934616333580064,0.24009931646786797,10bps
3.0,23409,0.3018451897412092,0.05792643854927592,0.11152232913890944,0.36946863136869773,10bps
4.0,30903,0.39847588101040576,0.06222696825550918,0.15815445349124105,0.39689843483177095,10bps
6.0,37389,0.48210900932265677,0.08264462809917356,0.2541327411793733,0.5271271356999101,10bps
8.0,42630,0.5496886000541565,0.11583391977480648,0.40611892425363927,0.7388163484082216,10bps
12.0,56427,0.727592743027349,0.19416236907863257,0.9010609425117198,1.2384138670248535,10bps
20.0,72405,0.9336195891841709,0.16735032111042056,0.9965457685664939,1.067400234647294,10bps
