channel,n,flips,rate,med_dOOS,mean_dOOS,worst_dOOS
BOOK,40,36,0.9,0.0025503754510384224,0.007653094976542258,-0.24763529696321518
ROUND,40,20,0.5,0.0,-0.01999309568087202,-0.461660298466291
WINDOW,30,22,0.7333333333333333,0.0,-0.02696694860652479,-0.24763529696321518
