cad,target_pct,n_IS,n_OOS,m_chosen_IS,cov_IS_at_m,cov_OOS_at_m,holds_OOS
D,50.0,27,27,1.5,0.5185185185185185,0.5925925925925926,True
D,66.7,27,27,2.0,0.7777777777777778,0.8518518518518519,True
D,80.0,27,27,3.0,0.9259259259259259,1.0,True
D,90.0,27,27,3.0,0.9259259259259259,1.0,True
D,95.0,27,27,,,,False
W,50.0,27,27,2.0,0.5925925925925926,0.9259259259259259,True
W,66.7,27,27,3.0,0.9629629629629629,0.9629629629629629,True
W,80.0,27,27,3.0,0.9629629629629629,0.9629629629629629,True
W,90.0,27,27,3.0,0.9629629629629629,0.9629629629629629,True
W,95.0,27,27,3.0,0.9629629629629629,0.9629629629629629,True
M,50.0,27,27,2.0,0.7037037037037037,0.9259259259259259,True
M,66.7,27,27,2.0,0.7037037037037037,0.9259259259259259,True
M,80.0,27,27,3.0,0.8888888888888888,1.0,True
M,90.0,27,27,,,,False
M,95.0,27,27,,,,False
Q,50.0,27,27,1.0,0.5555555555555556,0.3333333333333333,False
Q,66.7,27,27,2.0,0.8888888888888888,0.6666666666666666,False
Q,80.0,27,27,2.0,0.8888888888888888,0.6666666666666666,False
Q,90.0,27,27,3.0,1.0,0.8888888888888888,False
Q,95.0,27,27,3.0,1.0,0.8888888888888888,False
A,50.0,27,27,1.5,0.5925925925925926,0.3333333333333333,False
A,66.7,27,27,2.0,0.8148148148148148,0.5555555555555556,False
A,80.0,27,27,2.0,0.8148148148148148,0.5555555555555556,False
A,90.0,27,27,3.0,0.9259259259259259,0.7777777777777778,False
A,95.0,27,27,,,,False
POOLED,50.0,135,135,1.5,0.5333333333333333,0.6,True
POOLED,66.7,135,135,2.0,0.7555555555555555,0.7851851851851852,True
POOLED,80.0,135,135,3.0,0.9407407407407408,0.9259259259259259,True
POOLED,90.0,135,135,3.0,0.9407407407407408,0.9259259259259259,True
POOLED,95.0,135,135,,,,False
