grid,fallback,floor,n_slots,n_declined,n_scored,OOS_4b,OOS_4a,med_OOS_Sharpe,mean_OOS_Sharpe,med_OOS_CAGR,mean_OOS_CAGR,med_OOS_MaxDD,mean_OOS_MaxDD,med_FULL_Sharpe,med_FULL_MaxDD
MQ18,FB_NONE,0.0,18,0,18,0,0,0.8312,0.7523,0.1181,0.1403,-0.3414,-0.3235,1.0132,-0.3414
MQ18,FB_NONE,0.1,18,6,12,0,0,1.0166,0.9892,0.1362,0.1396,-0.2383,-0.2443,1.0847,-0.2383
MQ18,FB_NONE,0.25,18,6,12,0,0,1.0166,1.0259,0.1353,0.1384,-0.2383,-0.2399,1.0847,-0.2383
MQ18,FB_NONE,0.4,18,6,12,3,0,1.059,1.0829,0.1128,0.1191,-0.2135,-0.2155,1.0814,-0.2135
MQ18,FB_NONE,0.5,18,6,12,3,0,1.059,1.0829,0.1128,0.1191,-0.2135,-0.2155,1.0814,-0.2135
MQ18,FB_NONE,0.75,18,12,6,0,0,1.0274,1.0274,0.11,0.11,-0.2247,-0.2247,1.0601,-0.2247
MQ18,FB_NONE,0.9,18,18,0,0,0,,,,,,,,
MQ18,FB_CASH,0.0,18,0,18,0,0,0.8312,0.7523,0.1181,0.1403,-0.3414,-0.3235,1.0132,-0.3414
MQ18,FB_CASH,0.1,18,6,18,0,0,0.9849,0.6594,0.1152,0.093,-0.2271,-0.1629,1.0538,-0.2271
MQ18,FB_CASH,0.25,18,6,18,0,0,0.9849,0.6839,0.1124,0.0922,-0.2271,-0.1599,1.0538,-0.2271
MQ18,FB_CASH,0.4,18,6,18,3,0,1.0011,0.7219,0.11,0.0794,-0.2,-0.1436,1.0538,-0.2
MQ18,FB_CASH,0.5,18,6,18,3,0,1.0011,0.7219,0.11,0.0794,-0.2,-0.1436,1.0538,-0.2
MQ18,FB_CASH,0.75,18,12,18,0,0,0.0,0.3425,0.0,0.0367,0.0,-0.0749,0.0,0.0
MQ18,FB_CASH,0.9,18,18,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
