panel,T_trade,cost,family,chooser,legal,target,h,R_refresh,cell,is_Sharpe,is_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,turn_py,gross_mean,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos,bind,base_oos_Sharpe,base_oos_CAGR,base_oos_MaxDD,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD
B136,M,0,CAL,C_ISSHARPE,True,0.2,,M,R=M,1.2720140416503243,-0.15883416535368322,0.1638526848332753,1.0891891323404919,-0.29657590879004503,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,CAL,C_ISCALMAR,True,0.08,,M,R=M,1.2157382167026836,-0.09401276773322098,0.11386864015680742,1.2047519437347791,-0.16122742553839842,2.29170473939595,0.6797388672441897,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,CAL,C_ISLEGS,True,0.1,,M,R=M,1.2233858037667336,-0.1165768142203294,0.13250888734004218,1.216698932796685,-0.19836465430812722,1.9991079023564786,0.7840688869173739,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,CAL,C_ISDD,False,0.08,,W,R=W,1.111132381559809,-0.09227560265911505,0.11361364594863232,1.2886804425414544,-0.10814585012423228,3.689160794265325,0.6751143468507363,True,True,True,True,True,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM,C_ISSHARPE,True,0.2,0.16,h,SYM h=0.16,1.2545578112938514,-0.1616007008850321,0.16751455459196785,1.2035409541922621,-0.19369783083622982,0.9738355926245921,0.9517312618658845,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM,C_ISCALMAR,True,0.16,0.25,h,SYM h=0.25,1.248912197132632,-0.1270262156969334,0.141498129178673,1.2012576320727517,-0.17813634480042928,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM,C_ISLEGS,True,0.16,0.25,h,SYM h=0.25,1.248912197132632,-0.1270262156969334,0.141498129178673,1.2012576320727517,-0.17813634480042928,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM,C_ISDD,False,0.08,0.12,h,SYM h=0.12,1.1083860358997983,-0.09223165137266665,0.11573258738906156,1.309366936396339,-0.10610498413758795,3.0968707422441404,0.6767699189082574,True,True,True,True,True,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM_TD,C_ISSHARPE,True,0.16,0.2,h,SYM_TD h=0.20,1.271633395719816,-0.14669664135350358,0.15480277612558058,1.1891296071667738,-0.18223032579538034,1.248403158716509,0.9239857668740405,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM_TD,C_ISCALMAR,True,0.16,0.2,h,SYM_TD h=0.20,1.271633395719816,-0.14669664135350358,0.15480277612558058,1.1891296071667738,-0.18223032579538034,1.248403158716509,0.9239857668740405,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
