panel,book,cost,instr,regime,on_days,off_days,d_on,d_off,L_per_armed,armed_frac,d_cond_on,d_cond_off,L_always,total,CONC,ACT,LEAK,ident
u56,V1u,10.0,g200-dg,spy200,757,3682,-0.5367475647121944,-0.06138776494996101,-0.8570425541379172,0.17053390403243973,-0.5934944900911967,-0.054184107681523194,-0.14245272742349258,-0.7145898267144246,-0.39429483728870096,-0.05674692537900228,-0.2635480640467218,4.440892098500626e-16
u56,V1u,10.0,g200-dg,breadth20,384,4055,-0.15347399868345377,-0.14140903613771674,-0.9478137340631201,0.08650596981302094,-0.1297733362203436,-0.07746671091778795,-0.14245272742349258,-0.8053610066396275,-0.011021271259960268,0.023700662463110173,-0.8180403978427869,9.43689570931383e-15
u56,V1u,10.0,g200-dg,hivol80,482,3957,-0.1427678475463845,-0.14241434281413454,-0.7222243382125368,0.10858301419238567,-0.39111459111231384,-0.0403322967152664,-0.14245272742349258,-0.5797716107890443,-0.0003151201228909867,-0.24834674356592934,-0.3311097471002264,2.4980018054066022e-15
u56,V1u,10.0,band3-dg,spy200,757,3682,-0.5420672968064458,0.011097845515575808,-0.6013401037744002,0.17053390403243973,-0.5118852456384201,-0.018391452365272953,-0.08323556577925917,-0.518104537995141,-0.4588317310271871,0.030182051168025748,-0.08945485813597757,2.067790383364354e-15
u56,V1u,10.0,band3-dg,breadth20,384,4055,0.30636442014417764,-0.12012986777546082,0.027281018839291613,0.08650596981302094,0.2966011228300308,-0.02550404930516619,-0.08323556577925917,0.11051658461855078,0.38959998592343636,-0.009763297314146824,-0.26932010399075235,1.3600232051658168e-14
u56,V1u,10.0,band3-dg,hivol80,482,3957,-0.061920605275820335,-0.08583192942915946,-0.39591115866305415,0.10858301419238567,-0.03631807995693988,-0.04380183571805564,-0.08323556577925917,-0.312675592883795,0.021314960503438368,0.025602525318880458,-0.35959307870611235,1.4988010832439613e-15
u56,V1u,10.0,abs12-dg,spy200,757,3682,-0.14770931497832962,-0.14924975556731532,-0.9653140701381243,0.17053390403243973,-0.5257461347398215,-0.0903728753657054,-0.14898705821974456,-0.8163270119183798,0.0012777432414159357,-0.37803681976149184,-0.4395679353983188,1.4932499681208355e-14
u56,V1u,10.0,abs12-dg,breadth20,384,4055,1.4908347776700843,-0.3042747487207801,-0.8799024840089655,0.08650596981302094,0.8304757344862838,-0.16196923203506283,-0.14898705821974456,-0.730915425789221,1.6398218358898298,-0.6603590431838006,-1.71037821849526,9.769962616701378e-15
u56,V1u,10.0,abs12-dg,hivol80,482,3957,0.29559108772359644,-0.20314087837256106,-0.2723407311155161,0.10858301419238567,0.14982987192363084,-0.05142436963984673,-0.14898705821974456,-0.12335367289577154,0.444578145943342,-0.1457612157999656,-0.4221706030391566,8.604228440844963e-15
u56,V1u,10.0,vol60-dg,spy200,757,3682,0.0,0.0,0.0,0.17053390403243973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,10.0,vol60-dg,breadth20,384,4055,0.0,0.0,0.0,0.08650596981302094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,10.0,vol60-dg,hivol80,482,3957,0.0,0.0,0.0,0.10858301419238567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,10.0,stop15,spy200,757,3682,-0.208511861037169,0.02757160974633699,-0.208511861037168,0.17053390403243973,-0.208511861037169,0.0,-0.012688626203902764,-0.19582323483326525,-0.1958232348332663,0.0,0.0,1.0547118733938987e-15
u56,V1u,10.0,stop15,breadth20,384,4055,-0.41105072605504417,0.025035429614306482,-0.4110507260550421,0.08650596981302094,-0.41105072605504417,0.0,-0.012688626203902764,-0.39836209985113935,-0.39836209985114146,0.0,0.0,2.1094237467877974e-15
u56,V1u,10.0,stop15,hivol80,482,3957,-0.3851455276641398,0.032680144709373575,-0.385145527664146,0.10858301419238567,-0.3851455276641398,0.0,-0.012688626203902764,-0.37245690146024324,-0.3724569014602371,0.0,0.0,6.161737786669619e-15
u56,V1u,10.0,stop25,spy200,757,3682,0.0,0.0,0.0,0.17053390403243973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,10.0,stop25,breadth20,384,4055,0.0,0.0,0.0,0.08650596981302094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,10.0,stop25,hivol80,482,3957,0.0,0.0,0.0,0.10858301419238567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,10.0,ddctl8,spy200,757,3682,0.6014134847340726,-2.5835622239595697,-1.5742110131084688,0.17053390403243973,-0.7562846925010162,-0.16816138639322153,-2.040415882107557,0.4662048689990883,2.6418293668416286,-1.357698177235089,-0.8179263206074529,1.2212453270876722e-15
u56,V1u,10.0,ddctl8,breadth20,384,4055,1.882687177851889,-2.4119255183651207,-2.950135768323067,0.08650596981302094,-0.6640732662351445,-0.21648532695481287,-2.040415882107557,-0.9097198862155098,3.923103059959445,-2.5467604440870337,-2.286062502087933,1.1102230246251565e-14
u56,V1u,10.0,ddctl8,hivol80,482,3957,-4.052225812215922,-1.7953584177880633,-2.855818343296206,0.10858301419238567,-2.738127700695174,-0.014335832634241851,-2.040415882107557,-0.8154024611886488,-2.0118099301083663,1.3140981115207482,-0.11769064260102698,3.70536934468646e-15
u56,V1u,10.0,gross50,spy200,757,3682,5.397687629358453,-5.085133445705474,-1.8555717699031633,0.17053390403243973,0.15719138113187398,-0.4138136081840106,-3.297457042501285,1.4418852725981215,8.695144671859738,-5.240496248226579,-2.0127631510350423,3.9968028886505635e-15
u56,V1u,10.0,gross50,breadth20,384,4055,6.644240554282943,-4.238914965353355,-3.9498284968976605,0.08650596981302094,-1.0676800622072773,-0.27293341527030945,-3.297457042501285,-0.6523714543963757,9.941697596784227,-7.71192061649022,-2.8821484346903774,4.884981308350689e-15
u56,V1u,10.0,gross50,hivol80,482,3957,-5.3933229138074825,-3.0421607700803635,-8.910989212985065,0.10858301419238567,-7.0111445922855165,-0.23141903138164782,-3.297457042501285,-5.61353217048378,-2.0958658713061973,-1.617821678478034,-1.8998446206995443,4.6629367034256575e-15
u56,V1u,25.0,g200-dg,spy200,757,3682,-0.310671082622167,-0.038174111556504124,-0.6236234960109132,0.17053390403243973,-0.390018061792649,-0.048028059126351184,-0.08464408386934696,-0.5389794121415662,-0.22602699875282065,-0.07934697917048195,-0.233605434218263,6.38378239159465e-16
u56,V1u,25.0,g200-dg,breadth20,384,4055,0.2579230003984603,-0.11708446866807336,-0.49148021969365063,0.08650596981302094,0.23736675380005937,-0.06902028059718365,-0.08464408386934696,-0.40683613582430367,0.3425670842678067,-0.020556246598400912,-0.7288469734936972,1.2212453270876722e-14
u56,V1u,25.0,g200-dg,hivol80,482,3957,0.0655210058140813,-0.10293561109386304,-0.5947825626404563,0.10858301419238567,-0.22979934007980127,-0.04445840618504813,-0.08464408386934696,-0.5101384787711093,0.15016508968342773,-0.29532034589388256,-0.3649832225606544,1.1102230246251565e-16
u56,V1u,25.0,band3-dg,spy200,757,3682,-0.23020223903899079,0.027985071578692865,-0.34201036326909945,0.17053390403243973,-0.22273898351050894,-0.024521573730920097,-0.016044618472577543,-0.3259657447965219,-0.21415762056641385,0.007463255528481844,-0.11927137975858364,6.25888230132432e-15
u56,V1u,25.0,band3-dg,breadth20,384,4055,0.8591540686921296,-0.0989240995752273,0.5064838898384787,0.08650596981302094,0.7903682373164714,-0.02688325263416609,-0.016044618472577543,0.5225285083110562,0.8751986871647065,-0.06878583137565819,-0.28388434747797786,1.4210854715202004e-14
u56,V1u,25.0,band3-dg,hivol80,482,3957,0.189670381822373,-0.041102649845376,-0.13229102013922464,0.10858301419238567,0.19147811362888728,-0.039438140630838905,-0.016044618472577543,-0.1162464016666471,0.20571500029494993,0.001807731806514279,-0.32376913376811106,2.7755575615628914e-16
u56,V1u,25.0,abs12-dg,spy200,757,3682,0.25809580002043564,-0.06407362117005638,-0.6123015311475478,0.17053390403243973,-0.143151192088642,-0.0964548632991815,-0.009132812014570835,-0.603168719132977,0.267228612035006,-0.40124699210907766,-0.46915033905889875,6.494804694057166e-15
u56,V1u,25.0,abs12-dg,breadth20,384,4055,2.061896162504312,-0.205254914657049,-0.42640596589606944,0.08650596981302094,1.282987007143091,-0.1618759313556192,-0.009132812014570835,-0.4172731538814986,2.0710289745188826,-0.7789091553612211,-1.709392973039156,3.9968028886505635e-15
u56,V1u,25.0,abs12-dg,hivol80,482,3957,0.6307310062183463,-0.08707427281524409,-0.053991005600620624,0.10858301419238567,0.4026595455559325,-0.05562435321138698,-0.009132812014570835,-0.04485819358604979,0.6398638182329166,-0.22807146066241385,-0.4566505511565524,1.6653345369377348e-16
u56,V1u,25.0,vol60-dg,spy200,757,3682,0.0,0.0,0.0,0.17053390403243973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,25.0,vol60-dg,breadth20,384,4055,0.0,0.0,0.0,0.08650596981302094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,25.0,vol60-dg,hivol80,482,3957,0.0,0.0,0.0,0.10858301419238567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,25.0,stop15,spy200,757,3682,-0.20823706492010124,0.024794653329872938,-0.20823706492010405,0.17053390403243973,-0.20823706492010124,0.0,-0.014945155346683059,-0.193291909573421,-0.19329190957341855,0.0,0.0,2.4424906541753444e-15
u56,V1u,25.0,stop15,breadth20,384,4055,-0.4105090055846788,0.022513912098789685,-0.4105090055846843,0.08650596981302094,-0.4105090055846788,0.0,-0.014945155346683059,-0.3955638502380012,-0.39556385023799606,0.0,0.0,5.162537064506978e-15
u56,V1u,25.0,stop15,hivol80,482,3957,-0.40573874983539937,0.03265719808863735,-0.4057387498354064,0.10858301419238567,-0.40573874983539937,0.0,-0.014945155346683059,-0.39079359448872336,-0.3907935944887167,0.0,0.0,6.661338147750939e-15
u56,V1u,25.0,stop25,spy200,757,3682,0.0,0.0,0.0,0.17053390403243973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,25.0,stop25,breadth20,384,4055,0.0,0.0,0.0,0.08650596981302094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,25.0,stop25,hivol80,482,3957,0.0,0.0,0.0,0.10858301419238567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,V1u,25.0,ddctl8,spy200,757,3682,5.24299282133711,-3.3597755312173287,-1.399389071432537,0.17053390403243973,-0.07812114289357502,-0.2716457962802795,-1.892711858569502,0.493322787136965,7.13570467990661,-5.321113964230685,-1.3212679285389555,4.6629367034256575e-15
u56,V1u,25.0,ddctl8,breadth20,384,4055,7.039651358054858,-2.738587931364507,-2.531600791289928,0.08650596981302094,-0.6350862028841723,-0.17959595609070403,-1.892711858569502,-0.6388889327204259,8.932363216624358,-7.67473756093903,-1.896514588405742,1.1324274851176597e-14
u56,V1u,25.0,ddctl8,hivol80,482,3957,-2.213715421745792,-1.8536105905758258,-3.1074901199135474,0.10858301419238567,-2.6561395302696895,-0.05497876780599858,-1.892711858569502,-1.2147782613440454,-0.32100356317629125,-0.44242410852389735,-0.45135058964385133,5.440092820663267e-15
u56,V1u,25.0,gross50,spy200,757,3682,6.555150815504697,-3.2258374322847936,-1.3190341539452655,0.17053390403243973,0.7853320780030207,-0.4326467239502584,-1.5578473210938404,0.23881316714857492,8.112998136598536,-5.7698187375016765,-2.1043662319482848,4.440892098500626e-16
u56,V1u,25.0,gross50,breadth20,384,4055,8.018059531384338,-2.4646656272224754,-3.4389160275045847,0.08650596981302094,-0.4925933011523282,-0.2790105861699787,-1.5578473210938404,-1.8810687064107443,9.575906852478177,-8.510652832536666,-2.9463227263522493,5.773159728050814e-15
u56,V1u,25.0,gross50,hivol80,482,3957,-4.0992649675985575,-1.2482786312744627,-8.404005656502433,0.10858301419238567,-6.349478125336396,-0.25026087187819757,-1.5578473210938404,-6.846158335408592,-2.541417646504718,-2.2502131577378384,-2.0545275311660327,3.9968028886505635e-15
u56,TOP20,10.0,g200-dg,spy200,757,3682,-4.7405480376006865,-0.5741225414370996,-6.806885878685682,0.17053390403243973,-5.128411084504511,-0.34508566518064565,-1.2846393471581763,-5.5222465315275056,-3.4559086904425156,-0.3878630469038242,-1.678474794181159,6.661338147750939e-15
u56,TOP20,10.0,g200-dg,breadth20,384,4055,-2.0767162454124826,-1.2096313252273065,-7.064431971428044,0.08650596981302094,-3.283478942997365,-0.3580483262434937,-1.2846393471581763,-5.779792624269867,-0.7920768982543115,-1.2067626975848826,-3.7809530284306434,2.9753977059954195e-14
u56,TOP20,10.0,g200-dg,hivol80,482,3957,-4.370882786249084,-0.9087057263237459,-4.385229234544605,0.10858301419238567,-4.092252452812876,-0.03568734111566031,-1.2846393471581763,-3.1005898873864286,-3.0862434390909135,0.27863033343620813,-0.292976781731676,4.723998969780041e-14
u56,TOP20,10.0,band3-dg,spy200,757,3682,-3.8047115859874934,-0.516888338579714,-6.639782899912213,0.17053390403243973,-4.76346244804874,-0.3857617007226002,-1.0775736727287804,-5.562209227183432,-2.727137913258717,-0.9587508620612466,-1.8763204518634269,4.1744385725905886e-14
u56,TOP20,10.0,band3-dg,breadth20,384,4055,-0.5692999665907961,-1.125706127268107,-6.121562597071608,0.08650596981302094,-2.191276483416143,-0.372189856385619,-1.0775736727287804,-5.043988924342828,0.5082737061379806,-1.6219765168253468,-3.93028611365543,3.1530333899354446e-14
u56,TOP20,10.0,band3-dg,hivol80,482,3957,-3.15981758305436,-0.8239366839046854,-3.816726133610477,0.10858301419238567,-3.380626977127295,-0.05312099909650721,-1.0775736727287804,-2.7391524608816966,-2.0822439103255825,-0.2208093940729352,-0.43609915648315145,2.7422508708241367e-14
u56,TOP20,10.0,abs12-dg,spy200,757,3682,-3.279038194797299,-1.452391137868193,-6.379680745590869,0.17053390403243973,-4.351325809717934,-0.41701919784241875,-1.7638963917756865,-4.615784353815182,-1.5151418030216193,-1.0722876149206346,-2.028354935872901,2.708944180085382e-14
u56,TOP20,10.0,abs12-dg,breadth20,384,4055,0.6209218978016744,-1.9897336847960752,-5.545955756776107,0.08650596981302094,-1.6667725331998975,-0.36735051981584294,-1.7638963917756865,-3.7820593650004204,2.384818289577354,-2.287694431001572,-3.8791832235761543,4.8405723873656825e-14
u56,TOP20,10.0,abs12-dg,hivol80,482,3957,-3.129477523037917,-1.5975557030548309,-3.865472469239271,0.10858301419238567,-3.473277563825715,-0.04777304635059668,-1.7638963917756865,-2.1015760774635845,-1.3655811312622375,-0.3438000407877979,-0.39219490541350843,4.0745185003743245e-14
u56,TOP20,10.0,vol60-dg,spy200,757,3682,-1.6647290747659416,-2.7644491964522024,-4.947282441287577,0.17053390403243973,-3.089942638623726,-0.38185937822284344,-2.576909630758019,-2.370372810529558,0.9121805559920731,-1.4252135638577845,-1.8573398026638173,2.90878432451791e-14
u56,TOP20,10.0,vol60-dg,breadth20,384,4055,0.27418365046799736,-2.8469021880923644,-7.114319984363866,0.08650596981302094,-3.754402527852448,-0.318177140148057,-2.576909630758019,-4.537410353605847,2.851093281226012,-4.028586178320445,-3.359917456511383,3.064215547965432e-14
u56,TOP20,10.0,vol60-dg,hivol80,482,3957,-5.4537360802035915,-2.2264849785890055,-6.704198378250209,0.10858301419238567,-6.132017254317909,-0.06969706892477795,-2.576909630758019,-4.12728874749219,-2.876826449445577,-0.6782811741143178,-0.5721811239322537,4.141131881851834e-14
u56,TOP20,10.0,stop15,spy200,757,3682,-2.687852595322356,-0.6161124004790725,-4.094326558739792,0.17053390403243973,-3.3568729160797166,-0.15161662343662574,-0.9694143440466299,-3.124912214693162,-1.7184382512757312,-0.6690203207573604,-0.7374536426600476,2.275957200481571e-14
