family,level,U56_Sharpe,U56_MaxDD,U56_ddmargin,U56_f4b,B136_Sharpe,B136_MaxDD,B136_ddmargin,B136_f4b,both_4b,both_margin,A1
MA-THRESH,-0.4,1.1223052871983321,-0.22106416279511143,-1.8760427591068607,DD,1.1222595169783958,-0.2508160193074085,-4.852029946305045,DD,False,False,False
MA-THRESH,-0.25,1.1317612136759623,-0.21655300598900373,-1.424927078496091,DD,1.112297017899087,-0.2480848115986235,-4.578909175426546,DD,False,False,False
MA-THRESH,-0.12,1.1367702270768454,-0.20099753682503962,0.13061983790031984,-,1.068286434896108,-0.22927185581588738,-2.6976135971529343,DD,False,False,False
MA-THRESH,-0.06,1.1340913539815376,-0.1881372910245287,1.4166444179514126,-,1.0574885323599612,-0.2156255225837591,-1.332980273940107,DD,False,False,False
MA-THRESH,0.0,1.094826438332281,-0.1862302793212386,1.6073455882804233,-,1.0585329145142401,-0.20116704846935807,0.11286713749999733,-,True,False,False
MA-THRESH,0.06,1.0546645552467766,-0.2212198188449409,-1.8916083640898085,DD,1.0132925482374968,-0.2163132240335488,-1.4017504189190761,DD,False,False,False
MA-THRESH,0.12,1.0811919707435262,-0.24206779716748417,-3.9764061963441346,DD,0.9731734267742771,-0.23200586064735862,-2.971014080300058,DD,False,False,False
MA-THRESH,0.2,0.8860804079704144,-0.4853317488789488,-28.3028013674906,"H2,OOS,DD",0.8501412729928773,-0.3494276269192955,-14.713190707493748,"H1,H2,OOS,DD",False,False,False
MA-THRESH,0.3,0.9835931857769409,-0.6142703608481989,-41.196662564415604,"H2,OOS,DD",0.9738847785990128,-0.5133537413413114,-31.10580214969534,DD,False,False,False
QUANTILE,0.2,1.0943359555070329,-0.20929247346169566,-0.6988738257652838,DD,1.0467823739199058,-0.21432937422627818,-1.203365438192014,DD,False,False,False
QUANTILE,0.3,1.108862684854253,-0.2087882420403151,-0.6484506836272275,DD,1.0260041431064857,-0.22315964856143988,-2.0863928717081843,DD,False,False,False
QUANTILE,0.4,1.1480676908919354,-0.21183091193692194,-0.9527176732879117,DD,1.046282328222921,-0.23060957096912604,-2.8313851124768004,DD,False,False,False
QUANTILE,0.5,1.19420588134956,-0.2093037286196493,-0.6999993415606476,DD,1.049226276064095,-0.23594809550982054,-3.3652375665462504,DD,False,False,False
QUANTILE,0.6,1.2069298452507284,-0.20267064792152545,-0.03669127174826259,DD,1.0787310424392276,-0.2358688643188307,-3.3573144474472656,DD,False,False,False
QUANTILE,0.7,1.1471608177603978,-0.20406546780434187,-0.17617326002990485,DD,1.080611444580136,-0.23940537498542191,-3.7109655141063875,DD,False,False,False
QUANTILE,0.8,1.1359548792240393,-0.21356039048339293,-1.1256655279350103,DD,1.0785224526652493,-0.24385844634759968,-4.156272650324164,DD,False,False,False
QUANTILE,0.9,1.152518786472889,-0.21203425202489468,-0.9730516820851853,DD,1.1134926066961872,-0.2436956352932148,-4.139991544885676,DD,False,False,False
QUANTILE,0.95,1.1472337153594736,-0.22213770804944832,-1.98339728454055,DD,1.12793893117248,-0.2474350716832674,-4.513935183890935,DD,False,False,False
QUANTxMA,0.2,1.0962071312593353,-0.2092924734616961,-0.6988738257653282,DD,1.0603329355177744,-0.21425120705139544,-1.1955487207037403,DD,False,False,False
QUANTxMA,0.3,1.095249462345462,-0.20831566377934807,-0.6011928575305248,DD,1.0302788625253052,-0.21373703911241093,-1.1441319268052892,DD,False,False,False
QUANTxMA,0.4,1.1094877685290534,-0.20967195343251632,-0.73682182284735,DD,1.036048041013943,-0.21036107983022767,-0.806535998586963,DD,False,False,False
QUANTxMA,0.5,1.1140278602780394,-0.20414591629521073,-0.18421810911679048,DD,1.0295761228767448,-0.20911962691574482,-0.6823907071386776,DD,False,False,False
QUANTxMA,0.6,1.1103797643878464,-0.19885631941791826,0.34474157861245636,-,1.0428919992403602,-0.20874859954052905,-0.6452879696171004,DD,False,False,False
QUANTxMA,0.7,1.076579561111259,-0.1957248283101376,0.6578906893905223,-,1.0443052255501761,-0.2072107651614684,-0.49150453171103725,DD,False,False,False
QUANTxMA,0.8,1.0805281377613687,-0.1924901568888131,0.9813578315229721,-,1.0454378137164009,-0.20475475947281507,-0.24590396284570326,DD,False,False,False
QUANTxMA,0.9,1.093143809223344,-0.18623027932123914,1.6073455882803678,-,1.0585028909209935,-0.20116704846935796,0.11286713750000843,-,True,False,False
QUANTxMA,0.95,1.0948825438746304,-0.1862302793212386,1.6073455882804233,-,1.058292165845502,-0.20116704846935818,0.11286713749998623,-,True,False,False
