window,claimset,q,families,agg_pass,percell_pass,flips,flip_rate,cells_failing,cells,cell_fail_share
FULL,CS_STEPS,0.5,24,24,23,1,0.041666666666666664,1,138,0.007246376811594203
FULL,CS_STEPS,0.6,24,23,13,10,0.4166666666666667,19,138,0.13768115942028986
FULL,CS_STEPS,0.7,24,17,10,7,0.2916666666666667,38,138,0.2753623188405797
FULL,CS_STEPS,0.8,24,10,6,4,0.16666666666666666,57,138,0.41304347826086957
FULL,CS_STEPS,0.9,24,5,4,1,0.041666666666666664,92,138,0.6666666666666666
FULL,CS_STEPS,0.95,24,3,3,0,0.0,103,138,0.7463768115942029
FULL,CS_ENDS,0.5,24,24,24,0,0.0,0,24,0.0
FULL,CS_ENDS,0.6,24,18,18,0,0.0,6,24,0.25
FULL,CS_ENDS,0.7,24,15,15,0,0.0,9,24,0.375
FULL,CS_ENDS,0.8,24,11,11,0,0.0,13,24,0.5416666666666666
FULL,CS_ENDS,0.9,24,8,8,0,0.0,16,24,0.6666666666666666
FULL,CS_ENDS,0.95,24,4,4,0,0.0,20,24,0.8333333333333334
FULL,CS_VSANCHOR,0.5,24,24,24,0,0.0,0,138,0.0
FULL,CS_VSANCHOR,0.6,24,23,13,10,0.4166666666666667,18,138,0.13043478260869565
FULL,CS_VSANCHOR,0.7,24,16,7,9,0.375,40,138,0.2898550724637681
FULL,CS_VSANCHOR,0.8,24,9,5,4,0.16666666666666666,60,138,0.43478260869565216
FULL,CS_VSANCHOR,0.9,24,3,3,0,0.0,96,138,0.6956521739130435
FULL,CS_VSANCHOR,0.95,24,3,3,0,0.0,106,138,0.7681159420289855
FULL,CS_VSBEST,0.5,24,24,22,2,0.08333333333333333,2,138,0.014492753623188406
FULL,CS_VSBEST,0.6,24,22,13,9,0.375,19,138,0.13768115942028986
FULL,CS_VSBEST,0.7,24,19,10,9,0.375,34,138,0.2463768115942029
FULL,CS_VSBEST,0.8,24,10,6,4,0.16666666666666666,57,138,0.41304347826086957
FULL,CS_VSBEST,0.9,24,6,4,2,0.08333333333333333,89,138,0.644927536231884
FULL,CS_VSBEST,0.95,24,4,3,1,0.041666666666666664,100,138,0.7246376811594203
