pairset,claim_set,denom_set,n,band_lo,band_hi,sig_at_1p96,ambiguous,share_ambiguous,share_amb_of_sig,lost_at_strictest,gained_at_loosest
P_1219,C_1219,D_PAIR,210,0.9218715086647907,2.4753787490002153,126,54,0.2571428571428571,0.42857142857142855,15,39
P_1219,C_1219,D_VOL3,210,0.9218715086647907,2.4753787490002153,126,54,0.2571428571428571,0.42857142857142855,15,39
P_1219,C_1219,D_VOL4,210,0.9218715086647907,2.487710870962001,126,55,0.2619047619047619,0.4365079365079365,16,39
P_1219,C_1219,D_ALL5,210,0.9218715086647907,4.072135538999179,126,95,0.4523809523809524,0.753968253968254,56,39
P_1219,C_HEAD,D_PAIR,211,0.9218715086647907,2.4753787490002153,126,55,0.26066350710900477,0.4365079365079365,15,40
P_1219,C_HEAD,D_VOL3,211,0.9218715086647907,2.4753787490002153,126,55,0.26066350710900477,0.4365079365079365,15,40
P_1219,C_HEAD,D_VOL4,211,0.9218715086647907,2.487710870962001,126,56,0.26540284360189575,0.4444444444444444,16,40
P_1219,C_HEAD,D_ALL5,211,0.9218715086647907,4.072135538999179,126,96,0.4549763033175355,0.7619047619047619,56,40
P_1219,C_MEMO,D_PAIR,359,0.9218715086647907,2.4753787490002153,191,95,0.2646239554317549,0.4973821989528796,24,71
P_1219,C_MEMO,D_VOL3,359,0.9218715086647907,2.4753787490002153,191,95,0.2646239554317549,0.4973821989528796,24,71
P_1219,C_MEMO,D_VOL4,359,0.9218715086647907,2.487710870962001,191,96,0.26740947075208915,0.5026178010471204,25,71
P_1219,C_MEMO,D_ALL5,359,0.9218715086647907,4.072135538999179,191,165,0.4596100278551532,0.8638743455497382,94,71
P_1219,C_ALL,D_PAIR,482,0.9218715086647907,2.4753787490002153,263,131,0.2717842323651452,0.49809885931558934,39,92
P_1219,C_ALL,D_VOL3,482,0.9218715086647907,2.4753787490002153,263,131,0.2717842323651452,0.49809885931558934,39,92
P_1219,C_ALL,D_VOL4,482,0.9218715086647907,2.487710870962001,263,132,0.27385892116182575,0.5019011406844106,40,92
P_1219,C_ALL,D_ALL5,482,0.9218715086647907,4.072135538999179,263,220,0.45643153526970953,0.8365019011406845,128,92
P_OWN,C_1219,D_PAIR,210,0.7652236719183394,2.0718345506592915,126,44,0.20952380952380953,0.3492063492063492,3,41
P_OWN,C_1219,D_VOL3,210,0.7652236719183394,2.0755796091296967,126,44,0.20952380952380953,0.3492063492063492,3,41
P_OWN,C_1219,D_VOL4,210,0.7652236719183394,2.076983743375902,126,44,0.20952380952380953,0.3492063492063492,3,41
P_OWN,C_1219,D_ALL5,210,0.7652236719183394,3.466427305541604,126,83,0.3952380952380952,0.6587301587301587,42,41
P_OWN,C_HEAD,D_PAIR,211,0.7652236719183394,2.0718345506592915,126,45,0.2132701421800948,0.35714285714285715,3,42
P_OWN,C_HEAD,D_VOL3,211,0.7652236719183394,2.0755796091296967,126,45,0.2132701421800948,0.35714285714285715,3,42
P_OWN,C_HEAD,D_VOL4,211,0.7652236719183394,2.076983743375902,126,45,0.2132701421800948,0.35714285714285715,3,42
P_OWN,C_HEAD,D_ALL5,211,0.7652236719183394,3.466427305541604,126,84,0.3981042654028436,0.6666666666666666,42,42
P_OWN,C_MEMO,D_PAIR,359,0.7652236719183394,2.0718345506592915,191,78,0.21727019498607242,0.4083769633507853,4,74
P_OWN,C_MEMO,D_VOL3,359,0.7652236719183394,2.0755796091296967,191,78,0.21727019498607242,0.4083769633507853,4,74
P_OWN,C_MEMO,D_VOL4,359,0.7652236719183394,2.076983743375902,191,78,0.21727019498607242,0.4083769633507853,4,74
P_OWN,C_MEMO,D_ALL5,359,0.7652236719183394,3.466427305541604,191,146,0.40668523676880225,0.7643979057591623,72,74
P_OWN,C_ALL,D_PAIR,482,0.7652236719183394,2.0718345506592915,263,102,0.21161825726141079,0.38783269961977185,5,97
P_OWN,C_ALL,D_VOL3,482,0.7652236719183394,2.0755796091296967,263,102,0.21161825726141079,0.38783269961977185,5,97
P_OWN,C_ALL,D_VOL4,482,0.7652236719183394,2.076983743375902,263,102,0.21161825726141079,0.38783269961977185,5,97
P_OWN,C_ALL,D_ALL5,482,0.7652236719183394,3.466427305541604,263,196,0.4066390041493776,0.7452471482889734,99,97
