axis_subset,K,PR,B_TIGHT,B_MID,B_LOOSE
N,9,1.1697298304945403,8.0,5.0,3.0
H,4,1.154700480811288,4.0,4.0,3.0
GROSS,10,1.0000289635417081,1.0,1.0,1.0
CADENCE,4,1.1295235349406152,4.0,3.0,2.0
H|N,13,1.1851603384242175,8.0,5.0,4.0
GROSS|N,19,1.0963937569513926,8.0,5.0,3.0
GROSS|H,14,1.0701167276421808,4.0,4.0,3.0
CADENCE|N,13,1.1757593187888835,9.0,6.0,4.0
CADENCE|GROSS,14,1.0647746502690312,4.0,3.0,2.0
CADENCE|H,8,1.1674136155628827,5.0,5.0,3.0
GROSS|H|N,23,1.112602290145812,8.0,5.0,4.0
CADENCE|H|N,17,1.1929224482771665,10.0,7.0,4.0
CADENCE|GROSS|N,23,1.1085217115533998,9.0,6.0,4.0
CADENCE|GROSS|H,18,1.101900771788593,5.0,5.0,3.0
CADENCE|GROSS|H|N,27,1.130159864258239,10.0,7.0,4.0
