panel,arm,window,cagr_viol_proto,cagr_viol_full,dd_viol_full,sharpe_spread,mono
U56,BAND03,FULL,0,0,0,0.0002993133301645301,True
U56,BAND03,IS,0,0,0,0.0025687634412647764,True
U56,BAND03,OOS,0,0,0,0.0019314667450758272,True
U56,BAND08,FULL,0,0,0,0.0009388394250176013,True
U56,BAND08,IS,0,0,0,0.0021863796588277307,True
U56,BAND08,OOS,0,0,0,0.003207299403597208,True
U56,BAND03_M,FULL,0,0,0,0.006237053115681679,True
U56,BAND03_M,IS,0,0,0,0.008944311561813079,True
U56,BAND03_M,OOS,0,0,0,0.004150943568613341,True
U56,CAND20_VS,FULL,0,0,0,0.0004627040920175407,True
U56,CAND20_VS,IS,0,0,0,0.002353473828360708,True
U56,CAND20_VS,OOS,0,0,0,0.0015703461549011477,True
U56,CAND20,FULL,0,0,0,0.002193179036438675,True
U56,CAND20,IS,0,0,0,0.0009858470613732795,True
U56,CAND20,OOS,0,0,0,0.003138248233097718,True
U56,CAND10,FULL,0,0,0,0.007228505859608325,True
U56,CAND10,IS,0,0,0,0.006090812141123503,True
U56,CAND10,OOS,0,0,0,0.00807370536954033,True
U56,CAND05,FULL,0,0,0,0.012473877242542009,True
U56,CAND05,IS,0,0,0,0.008425694362325875,True
U56,CAND05,OOS,0,0,0,0.01532853185227634,True
U56,CAND20_NOCAP,FULL,0,0,0,0.0016626636173935339,True
U56,CAND20_NOCAP,IS,0,0,0,0.0010848965106615704,True
U56,CAND20_NOCAP,OOS,0,0,0,0.002288904616997378,True
U56,EWELIG,FULL,0,0,0,0.000965409934417627,True
U56,EWELIG,IS,0,0,0,0.001535718525248031,True
U56,EWELIG,OOS,0,0,0,0.00044203079875959617,True
U56,SPYBH,FULL,0,0,0,0.008380990666680521,True
U56,SPYBH,IS,0,0,0,0.013078337093716752,True
U56,SPYBH,OOS,0,0,0,0.004897384489042311,True
B136,BAND03,FULL,0,0,0,0.00048044280930747973,True
B136,BAND03,IS,0,0,0,0.004820864516277945,True
B136,BAND03,OOS,0,0,0,0.0035057195496683846,True
