panel,k,n,bps,leg,selector,pick,scored_Sharpe,median_Sharpe,edge,percentile,beats_median
B136,20,5,10,IS1->IS2,S1 IS Sharpe,366,1.325430986129831,0.9975499125189604,0.3278810736108706,0.898,True
B136,20,5,10,IS1->IS2,S2 IS sd,366,1.325430986129831,0.9975499125189604,0.3278810736108706,0.898,True
B136,20,5,10,IS1->IS2,S3 pred sd,366,1.325430986129831,0.9975499125189604,0.3278810736108706,0.898,True
B136,20,5,10,IS1->IS2,S4 pred M,19,1.391685946200342,0.9975499125189604,0.3941360336813815,0.934,True
B136,20,5,10,IS1->IS2,S5 pred M+sd,253,1.7317922284876426,0.9975499125189604,0.7342423159686822,0.996,True
B136,20,5,10,IS->OOS,S1 IS Sharpe,253,1.0558987026637858,0.814339282260989,0.24155942040279688,0.948,True
B136,20,5,10,IS->OOS,S2 IS sd,366,0.814160322865163,0.814339282260989,-0.00017895939582590614,0.498,False
B136,20,5,10,IS->OOS,S3 pred sd,366,0.814160322865163,0.814339282260989,-0.00017895939582590614,0.498,False
B136,20,5,10,IS->OOS,S4 pred M,253,1.0558987026637858,0.814339282260989,0.24155942040279688,0.948,True
B136,20,5,10,IS->OOS,S5 pred M+sd,253,1.0558987026637858,0.814339282260989,0.24155942040279688,0.948,True
B136,20,5,25,IS1->IS2,S1 IS Sharpe,366,1.192033243565876,0.8441680454862437,0.34786519807963234,0.904,True
B136,20,5,25,IS1->IS2,S2 IS sd,366,1.192033243565876,0.8441680454862437,0.34786519807963234,0.904,True
B136,20,5,25,IS1->IS2,S3 pred sd,366,1.192033243565876,0.8441680454862437,0.34786519807963234,0.904,True
B136,20,5,25,IS1->IS2,S4 pred M,19,1.2531769335904803,0.8441680454862437,0.40900888810423663,0.932,True
B136,20,5,25,IS1->IS2,S5 pred M+sd,253,1.605075058982154,0.8441680454862437,0.7609070134959104,0.996,True
B136,20,5,25,IS->OOS,S1 IS Sharpe,253,0.9207685731970796,0.6775428426715113,0.24322573052556828,0.942,True
B136,20,5,25,IS->OOS,S2 IS sd,366,0.687328930938851,0.6775428426715113,0.009786088267339621,0.52,True
