file,rc2,secs2,capped,secs,date,rank,worst_all,worst_move,worst_meta,structural,is_census,cause
2026-09-06_dispersion-as-a-survivorship-detector_B.py,0,332.1,0,6.0,2026-09-06,1,0.3824626865671642,0.3808630393996248,0.3824626865671642,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.py,0,6.0,0,7.0,2026-09-08,2,0.16666666666666666,0.015503875968992262,0.16666666666666666,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-07_two-same-day-runs-disagree-on-D3_B.py,0,8.0,0,7.0,2026-09-07,3,1.5,0.02258359270885346,1.5,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-05_the-margin-column-instead-of-two_cloud.py,0,12.0,0,10.0,2026-09-05,4,0.07081700769119141,0.07081700769119141,0.0,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-05_the-on-share-column_cloud.py,0,10.0,0,11.0,2026-09-05,5,4.1600000000000025e-17,4.1600000000000025e-17,0.0,0,0,REPRODUCES
2026-09-08_why-the-035-045-share-window-dips_B.py,0,10.0,0,11.0,2026-09-08,6,0.4444444444444444,0.4444444444444444,0.0,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-05_pin-m-or-let-the-screen-choose_cloud.py,0,14.0,0,15.0,2026-09-05,7,0.2,0.2,0.0,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-07_does-the-B136-drawdown-cap-admit-any-top-n-book_C.py,0,16.0,0,18.0,2026-09-07,8,3.0,3.0,1.5,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B.py,0,22.0,0,24.0,2026-09-05,9,1.5,1.0,1.5,0,0,PANEL DRIFT (recomputed on a moved price cache)
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,0,28.0,0,29.0,2026-09-08,10,1.5,0.9166666666666666,1.5,0,1,PANEL DRIFT (recomputed on a moved price cache)
