claim_set,boundary_def,n_picks,n_files,n_ladders,n_suppressed,frac_suppressed,frac_short_ladder,mean_OOS_Sharpe_kept,mean_OOS_Sharpe_suppressed,mean_OOS_MaxDD_kept,mean_OOS_MaxDD_suppressed
C_LADRUNG,B_NONE,35381,19,7,0,0.0,0.0,1.3573164130205944,,-0.09645178567400335,
C_LADRUNG,B_STRICT,35381,19,7,16551,0.46779344846103843,0.0,1.320722970710548,1.40333799618268,-0.10170927189271171,-0.08949564682169847
C_LADRUNG,B_WIDE,35381,19,7,29690,0.8391509567281874,0.37000084791272153,1.0522120134740862,1.4164438414934193,-0.11797941748794165,-0.09193738980591618
C_PICK,B_NONE,5607,52,77,0,0.0,0.0,0.8655741231326469,,-0.24418484689365438,
C_PICK,B_STRICT,5607,52,77,2762,0.4925985375423578,0.0,0.8139940482690801,0.924805811750809,-0.24636638907231492,-0.24167968521299393
C_PICK,B_WIDE,5607,52,77,4411,0.7866952024255395,0.5485999643303014,0.7019183809320646,0.9174973851410613,-0.25662003060761385,-0.24023952060433104
C_ALL,B_NONE,40988,71,82,0,0.0,0.0,1.2920867975966994,,-0.1344269085421926,
C_ALL,B_STRICT,40988,71,82,19313,0.471186688786962,0.0,1.2558766274254185,1.3370783435516622,-0.13716805634131674,-0.1309305364666419
C_ALL,B_WIDE,40988,71,82,34101,0.831975212257246,0.3944325168341954,0.9874267621975754,1.3557073948524907,-0.16298961099936984,-0.12769640228433293
