panel,chooser,device,freq,gross,gross_real,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a_oos,keep4b_oos,keep4b_oos_pu,o_SH,o_DD,o_CAGR
B136,C_SHARPE,NOBAND,Q,1.0,1.0,1.1511513509436186,0.18523054830864538,1.1077011044947265,-0.32136720004242014,False,False,False,True,False,True
B136,C_CALMAR,BAND,M,1.0,0.7088121661941582,1.0904028119717557,0.10974494092365039,1.0802317302043447,-0.20501142132896133,False,False,False,True,False,True
B136,C_FLOOR,NOBAND,W,1.0,1.0,1.1481125914446146,0.1826875549224829,1.0854301380904503,-0.3272153855796248,False,False,False,True,False,True
B136,C_FLOORPU,NOBAND,W,1.0,1.0,1.1481125914446146,0.1826875549224829,1.0854301380904503,-0.3272153855796248,False,False,False,True,False,True
SMALL,C_SHARPE,NOBAND,D,0.85,0.849999999999999,1.0436370566700626,0.10363369578361592,0.6079415057368996,-0.3923274196285004,False,False,False,False,False,False
SMALL,C_CALMAR,BAND,M,1.0,0.5520415864754382,1.0052218662862091,0.052319961986785124,0.5779338996631376,-0.22277199251811597,False,False,False,False,False,False
SMALL,C_FLOOR,NOBAND,D,1.0,0.9999999999999991,1.0435876202912513,0.11861657222961997,0.6079100148270349,-0.4467900084689258,False,False,False,False,False,True
SMALL,C_FLOORPU,NOBAND,D,0.5,0.49999999999999956,1.0431972953087676,0.0644805581479504,0.6073856373015574,-0.24895100327458097,False,False,False,False,False,False
U56,C_SHARPE,NOBAND,Q,1.0,1.0,1.135275210735819,0.18842913296977093,1.1633459326778584,-0.2855836370086211,False,False,False,True,False,True
U56,C_CALMAR,NOBAND,Q,1.0,1.0,1.135275210735819,0.18842913296977093,1.1633459326778584,-0.2855836370086211,False,False,False,True,False,True
U56,C_FLOOR,NOBAND,Q,1.0,1.0,1.135275210735819,0.18842913296977093,1.1633459326778584,-0.2855836370086211,False,False,False,True,False,True
U56,C_FLOORPU,NOBAND,Q,1.0,1.0,1.135275210735819,0.18842913296977093,1.1633459326778584,-0.2855836370086211,False,False,False,True,False,True
