panel,floor,n_star,D_at_20,D_at_40,mono
U56,0.0,30,-0.1339999999999999,0.0040000000000000036,False
U56,0.4,30,-0.1339999999999999,0.0030000000000000027,False
U56,0.55,30,-0.126,0.0,False
U56,0.7,30,0.54,0.0,False
U56,0.85,3,0.029,0.0,False
U56,1.0,3,0.0,0.0,False
U56,1.15,3,0.0,0.0,True
U56,1.3,3,0.0,0.0,True
B136,0.0,30,-0.127,-0.0020000000000000018,False
B136,0.4,30,-0.127,-0.0010000000000000009,False
B136,0.55,30,-0.125,0.0009999999999999974,False
B136,0.7,30,0.191,0.0,False
B136,0.85,3,0.026,0.0,False
B136,1.0,3,0.0,0.0,False
B136,1.15,3,0.0,0.0,False
B136,1.3,3,0.0,0.0,True
SMALL,0.0,3,0.0,0.0,True
SMALL,0.4,3,0.0,0.0,True
SMALL,0.55,3,0.0,0.0,True
SMALL,0.7,3,0.0,0.0,True
SMALL,0.85,3,0.0,0.0,True
SMALL,1.0,3,0.0,0.0,True
SMALL,1.15,3,0.0,0.0,True
SMALL,1.3,3,0.0,0.0,True
