panel,rows,published_pass,pass_v1,pass_v2,survive,survive_rate
broad136,51641,33028,33030,1167,1167,0.03533365629163134
small439,30011,9795,10491,2236,2140,0.2184788157223073
u56,55990,14342,14324,46,46,0.0032073629898201087
ALL,137642,57165,57845,3449,3353,0.0586547712761305
