panel,cost,grid,basis,n_books,n_ends,n_rows,L4_bind,L5_bind,L4_const,L5_const,L4_flip,L5_flip
U56,0.0,LEGAL,FULL,24,16,384,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0
U56,0.0,LEGAL,OOSWIN,24,16,384,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0
U56,0.0,POST2020,FULL,24,16,384,0.041666666666666664,0.1484375,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666
U56,0.0,POST2020,OOSWIN,24,16,384,0.1171875,0.18489583333333334,0.4166666666666667,0.75,0.5833333333333334,0.25
U56,0.0,POSTCRASH,FULL,24,11,264,0.0,0.15151515151515152,1.0,0.8333333333333334,0.0,0.16666666666666666
U56,0.0,POSTCRASH,OOSWIN,24,11,264,0.10984848484848485,0.19318181818181818,0.5833333333333334,0.75,0.4166666666666667,0.25
U56,10.0,LEGAL,FULL,24,16,384,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0
U56,10.0,LEGAL,OOSWIN,24,16,384,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0
U56,10.0,POST2020,FULL,24,16,384,0.041666666666666664,0.15885416666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333
U56,10.0,POST2020,OOSWIN,24,16,384,0.14322916666666666,0.19791666666666666,0.4166666666666667,0.75,0.5833333333333334,0.25
U56,10.0,POSTCRASH,FULL,24,11,264,0.0,0.16666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333
U56,10.0,POSTCRASH,OOSWIN,24,11,264,0.14393939393939395,0.21212121212121213,0.5833333333333334,0.75,0.4166666666666667,0.25
U56,25.0,LEGAL,FULL,24,16,384,0.16666666666666666,0.17708333333333334,1.0,0.9583333333333334,0.0,0.041666666666666664
U56,25.0,LEGAL,OOSWIN,24,16,384,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0
U56,25.0,POST2020,FULL,24,16,384,0.041666666666666664,0.21354166666666666,0.8333333333333334,0.4583333333333333,0.16666666666666666,0.5416666666666666
U56,25.0,POST2020,OOSWIN,24,16,384,0.1640625,0.2578125,0.2916666666666667,0.4166666666666667,0.7083333333333334,0.5833333333333334
U56,25.0,POSTCRASH,FULL,24,11,264,0.0,0.24242424242424243,1.0,0.4583333333333333,0.0,0.5416666666666666
U56,25.0,POSTCRASH,OOSWIN,24,11,264,0.17424242424242425,0.29924242424242425,0.5,0.4166666666666667,0.5,0.5833333333333334
B136,0.0,LEGAL,FULL,20,16,320,0.1,0.25625,1.0,0.9,0.0,0.1
B136,0.0,LEGAL,OOSWIN,20,16,320,0.1,0.246875,1.0,0.9,0.0,0.1
B136,0.0,POST2020,FULL,20,16,320,0.025,0.259375,0.9,0.8,0.1,0.2
B136,0.0,POST2020,OOSWIN,20,16,320,0.146875,0.321875,0.5,0.75,0.5,0.25
B136,0.0,POSTCRASH,FULL,20,11,220,0.0,0.2772727272727273,1.0,0.8,0.0,0.2
B136,0.0,POSTCRASH,OOSWIN,20,11,220,0.16818181818181818,0.33181818181818185,0.6,0.75,0.4,0.25
B136,10.0,LEGAL,FULL,20,16,320,0.1,0.2875,1.0,0.75,0.0,0.25
B136,10.0,LEGAL,OOSWIN,20,16,320,0.1,0.278125,1.0,0.9,0.0,0.1
B136,10.0,POST2020,FULL,20,16,320,0.025,0.31875,0.9,0.45,0.1,0.55
B136,10.0,POST2020,OOSWIN,20,16,320,0.2,0.375,0.45,0.5,0.55,0.5
B136,10.0,POSTCRASH,FULL,20,11,220,0.0,0.35454545454545455,1.0,0.45,0.0,0.55
B136,10.0,POSTCRASH,OOSWIN,20,11,220,0.23636363636363636,0.4,0.5,0.5,0.5,0.5
B136,25.0,LEGAL,FULL,20,16,320,0.103125,0.48125,0.95,0.5,0.05,0.5
B136,25.0,LEGAL,OOSWIN,20,16,320,0.103125,0.453125,0.95,0.65,0.05,0.35
B136,25.0,POST2020,FULL,20,16,320,0.025,0.465625,0.9,0.25,0.1,0.75
B136,25.0,POST2020,OOSWIN,20,16,320,0.325,0.571875,0.5,0.35,0.5,0.65
B136,25.0,POSTCRASH,FULL,20,11,220,0.0,0.5318181818181819,1.0,0.25,0.0,0.75
B136,25.0,POSTCRASH,OOSWIN,20,11,220,0.4,0.6181818181818182,0.65,0.35,0.35,0.65
ALL,0.0,LEGAL,FULL,44,16,704,0.13636363636363635,0.20738636363636365,1.0,0.9545454545454546,0.0,0.045454545454545456
ALL,0.0,LEGAL,OOSWIN,44,16,704,0.13636363636363635,0.203125,1.0,0.9545454545454546,0.0,0.045454545454545456
ALL,0.0,POST2020,FULL,44,16,704,0.03409090909090909,0.19886363636363635,0.8636363636363636,0.8181818181818182,0.13636363636363635,0.18181818181818182
ALL,0.0,POST2020,OOSWIN,44,16,704,0.13068181818181818,0.2471590909090909,0.45454545454545453,0.75,0.5454545454545454,0.25
ALL,0.0,POSTCRASH,FULL,44,11,484,0.0,0.20867768595041322,1.0,0.8181818181818182,0.0,0.18181818181818182
ALL,0.0,POSTCRASH,OOSWIN,44,11,484,0.13636363636363635,0.256198347107438,0.5909090909090909,0.75,0.4090909090909091,0.25
ALL,10.0,LEGAL,FULL,44,16,704,0.13636363636363635,0.2215909090909091,1.0,0.8863636363636364,0.0,0.11363636363636363
ALL,10.0,LEGAL,OOSWIN,44,16,704,0.13636363636363635,0.21732954545454544,1.0,0.9545454545454546,0.0,0.045454545454545456
ALL,10.0,POST2020,FULL,44,16,704,0.03409090909090909,0.2315340909090909,0.8636363636363636,0.5681818181818182,0.13636363636363635,0.4318181818181818
ALL,10.0,POST2020,OOSWIN,44,16,704,0.1690340909090909,0.2784090909090909,0.4318181818181818,0.6363636363636364,0.5681818181818182,0.36363636363636365
ALL,10.0,POSTCRASH,FULL,44,11,484,0.0,0.25206611570247933,1.0,0.5681818181818182,0.0,0.4318181818181818
ALL,10.0,POSTCRASH,OOSWIN,44,11,484,0.1859504132231405,0.2975206611570248,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.36363636363636365
ALL,25.0,LEGAL,FULL,44,16,704,0.1377840909090909,0.3153409090909091,0.9772727272727273,0.75,0.022727272727272728,0.25
ALL,25.0,LEGAL,OOSWIN,44,16,704,0.1377840909090909,0.296875,0.9772727272727273,0.8409090909090909,0.022727272727272728,0.1590909090909091
ALL,25.0,POST2020,FULL,44,16,704,0.03409090909090909,0.328125,0.8636363636363636,0.36363636363636365,0.13636363636363635,0.6363636363636364
ALL,25.0,POST2020,OOSWIN,44,16,704,0.2372159090909091,0.4005681818181818,0.38636363636363635,0.38636363636363635,0.6136363636363636,0.6136363636363636
ALL,25.0,POSTCRASH,FULL,44,11,484,0.0,0.3739669421487603,1.0,0.36363636363636365,0.0,0.6363636363636364
ALL,25.0,POSTCRASH,OOSWIN,44,11,484,0.2768595041322314,0.44421487603305787,0.5681818181818182,0.38636363636363635,0.4318181818181818,0.6136363636363636
