panel,rungset,window,leg,legkey,direction,ref,ref_wrongway,book_monotone_share
U56,FINE,FULL,full_cagr,cagr,1,0.0000|0.0000|0.0125|0.4125|0.8688|0.9625|1.0000,0,1.0
U56,FINE,FULL,full_dd,dd,-1,1.0000|1.0000|0.9938|0.8438|0.2062|0.0125|0.0000,0,1.0
U56,FINE,FULL,full_4b,4b,0,0.0000|0.0000|0.0125|0.3187|0.1562|0.0125|0.0000,3,0.575
U56,FINE,IS,is_cagr,cagr,1,0.0000|0.0000|0.0250|0.3438|0.7438|0.9375|0.9812,0,1.0
U56,FINE,IS,is_dd,dd,-1,1.0000|1.0000|1.0000|0.9187|0.4062|0.1000|0.0125,0,1.0
U56,FINE,IS,is_4b,4b,0,0.0000|0.0000|0.0250|0.3125|0.2125|0.0625|0.0063,3,0.5875
U56,FINE,OOS,oos_cagr,cagr,1,0.0000|0.0000|0.0187|0.4688|0.8875|0.9875|1.0000,0,1.0
U56,FINE,OOS,oos_dd,dd,-1,1.0000|1.0000|0.9938|0.8438|0.2062|0.0125|0.0000,0,1.0
U56,FINE,OOS,oos_4b,4b,0,0.0000|0.0000|0.0187|0.3688|0.1625|0.0125|0.0000,3,0.5125
U56,COARSE,FULL,full_cagr,cagr,1,0.0000|0.0125|0.8688|1.0000,0,1.0
U56,COARSE,FULL,full_dd,dd,-1,1.0000|0.9938|0.2062|0.0000,0,1.0
U56,COARSE,FULL,full_4b,4b,0,0.0000|0.0125|0.1562|0.0000,1,0.83125
U56,COARSE,IS,is_cagr,cagr,1,0.0000|0.0250|0.7438|0.9812,0,1.0
U56,COARSE,IS,is_dd,dd,-1,1.0000|1.0000|0.4062|0.0125,0,1.0
U56,COARSE,IS,is_4b,4b,0,0.0000|0.0250|0.2125|0.0063,1,0.775
U56,COARSE,OOS,oos_cagr,cagr,1,0.0000|0.0187|0.8875|1.0000,0,1.0
U56,COARSE,OOS,oos_dd,dd,-1,1.0000|0.9938|0.2062|0.0000,0,1.0
U56,COARSE,OOS,oos_4b,4b,0,0.0000|0.0187|0.1625|0.0000,1,0.825
B136,FINE,FULL,full_cagr,cagr,1,0.0000|0.0000|0.0437|0.7312|0.9750|1.0000|1.0000,0,1.0
B136,FINE,FULL,full_dd,dd,-1,1.0000|1.0000|0.9625|0.3063|0.0312|0.0000|0.0000,0,1.0
B136,FINE,FULL,full_4b,4b,0,0.0000|0.0000|0.0437|0.1688|0.0312|0.0000|0.0000,2,0.7875
B136,FINE,IS,is_cagr,cagr,1,0.0000|0.0000|0.1875|0.8438|0.9812|1.0000|1.0000,0,1.0
B136,FINE,IS,is_dd,dd,-1,1.0000|1.0000|0.9375|0.5625|0.1375|0.0125|0.0000,0,1.0
B136,FINE,IS,is_4b,4b,0,0.0000|0.0000|0.1812|0.3937|0.1000|0.0063|0.0000,3,0.4875
B136,FINE,OOS,oos_cagr,cagr,1,0.0000|0.0000|0.0312|0.5250|0.9187|1.0000|1.0000,0,1.0
B136,FINE,OOS,oos_dd,dd,-1,1.0000|1.0000|0.9625|0.3063|0.0312|0.0000|0.0000,0,1.0
B136,FINE,OOS,oos_4b,4b,0,0.0000|0.0000|0.0312|0.1125|0.0250|0.0000|0.0000,2,0.85
B136,COARSE,FULL,full_cagr,cagr,1,0.0000|0.0437|0.9750|1.0000,0,1.0
B136,COARSE,FULL,full_dd,dd,-1,1.0000|0.9625|0.0312|0.0000,0,1.0
B136,COARSE,FULL,full_4b,4b,0,0.0000|0.0437|0.0312|0.0000,2,0.925
B136,COARSE,IS,is_cagr,cagr,1,0.0000|0.1875|0.9812|1.0000,0,1.0
B136,COARSE,IS,is_dd,dd,-1,1.0000|0.9375|0.1375|0.0000,0,1.0
B136,COARSE,IS,is_4b,4b,0,0.0000|0.1812|0.1000|0.0000,2,0.725
B136,COARSE,OOS,oos_cagr,cagr,1,0.0000|0.0312|0.9187|1.0000,0,1.0
B136,COARSE,OOS,oos_dd,dd,-1,1.0000|0.9625|0.0312|0.0000,0,1.0
B136,COARSE,OOS,oos_4b,4b,0,0.0000|0.0312|0.0250|0.0000,2,0.94375
SMALL664,FINE,FULL,full_cagr,cagr,1,0.0000|0.0000|0.0125|0.1875|0.5875|0.8438|0.9313,0,1.0
SMALL664,FINE,FULL,full_dd,dd,-1,1.0000|0.6375|0.0563|0.0000|0.0000|0.0000|0.0000,0,1.0
SMALL664,FINE,FULL,full_4b,4b,0,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000,0,1.0
SMALL664,FINE,IS,is_cagr,cagr,1,0.0000|0.0187|0.3937|0.7312|0.9437|0.9750|0.9938,0,1.0
SMALL664,FINE,IS,is_dd,dd,-1,0.9812|0.6750|0.1437|0.0375|0.0063|0.0000|0.0000,0,1.0
SMALL664,FINE,IS,is_4b,4b,0,0.0000|0.0187|0.0938|0.0187|0.0063|0.0000|0.0000,3,0.9
SMALL664,FINE,OOS,oos_cagr,cagr,1,0.0000|0.0000|0.0125|0.0750|0.2313|0.5000|0.6312,0,1.0
SMALL664,FINE,OOS,oos_dd,dd,-1,1.0000|0.6375|0.0563|0.0000|0.0000|0.0000|0.0000,0,1.0
SMALL664,FINE,OOS,oos_4b,4b,0,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000,0,1.0
SMALL664,COARSE,FULL,full_cagr,cagr,1,0.0000|0.0125|0.5875|0.9313,0,1.0
SMALL664,COARSE,FULL,full_dd,dd,-1,1.0000|0.0563|0.0000|0.0000,0,1.0
SMALL664,COARSE,FULL,full_4b,4b,0,0.0000|0.0000|0.0000|0.0000,0,1.0
SMALL664,COARSE,IS,is_cagr,cagr,1,0.0000|0.3937|0.9437|0.9938,0,1.0
SMALL664,COARSE,IS,is_dd,dd,-1,0.9812|0.1437|0.0063|0.0000,0,1.0
SMALL664,COARSE,IS,is_4b,4b,0,0.0000|0.0938|0.0063|0.0000,2,0.90625
SMALL664,COARSE,OOS,oos_cagr,cagr,1,0.0000|0.0125|0.2313|0.6312,0,1.0
SMALL664,COARSE,OOS,oos_dd,dd,-1,1.0000|0.0563|0.0000|0.0000,0,1.0
SMALL664,COARSE,OOS,oos_4b,4b,0,0.0000|0.0000|0.0000|0.0000,0,1.0
