panel,theta,con,cad,arm,hnd,bps,CAGR,Sharpe,MaxDD,pass4a,pass4b
U56,0.2,RESPREAD,D,MA-THRESH,DRIFT,0,0.2102275803705691,0.949803904064003,-0.5636638914636957,False,False
U56,0.2,RESPREAD,D,MA-THRESH,DRIFT,25,0.07079473865151376,0.4134422650327542,-0.6524595707186849,False,False
U56,0.2,RESPREAD,D,MA-THRESH,RTT,0,0.2102275803705691,0.949803904064003,-0.5636638914636957,False,False
U56,0.2,RESPREAD,D,MA-THRESH,RTT,25,0.07079473865151376,0.4134422650327542,-0.6524595707186849,False,False
U56,0.2,RESPREAD,D,MOM-D,DRIFT,0,0.2276324050372054,0.9782207542589777,-0.49546351468842953,False,False
U56,0.2,RESPREAD,D,MOM-D,DRIFT,25,0.05756284977246873,0.3539511539746805,-0.5986519766846216,False,False
U56,0.2,RESPREAD,D,MOM-D,RTT,0,0.2276324050372054,0.9782207542589777,-0.49546351468842953,False,False
U56,0.2,RESPREAD,D,MOM-D,RTT,25,0.05756284977246873,0.3539511539746805,-0.5986519766846216,False,False
U56,0.2,RESPREAD,W,MA-THRESH,DRIFT,0,0.2189006288328692,0.9751740715957573,-0.46720365618380566,False,False
U56,0.2,RESPREAD,W,MA-THRESH,DRIFT,25,0.15861274006103532,0.7547403735555014,-0.511398537570987,False,False
U56,0.2,RESPREAD,W,MA-THRESH,RTT,0,0.2238472539096641,0.9922439183745212,-0.4633493991514297,False,False
U56,0.2,RESPREAD,W,MA-THRESH,RTT,25,0.15833925099145207,0.7533356833977684,-0.5105087132926273,False,False
U56,0.2,RESPREAD,W,MOM-D,DRIFT,0,0.2256005625496733,0.971082688017998,-0.4219242107137996,False,False
U56,0.2,RESPREAD,W,MOM-D,DRIFT,25,0.15946152747403342,0.7387932752683745,-0.4702801032177877,False,False
U56,0.2,RESPREAD,W,MOM-D,RTT,0,0.22854158900258748,0.9793689760584847,-0.4242688212940323,False,False
U56,0.2,RESPREAD,W,MOM-D,RTT,25,0.15783079353184482,0.731724619567329,-0.47458176460727186,False,False
U56,0.2,RESPREAD,M,MA-THRESH,DRIFT,0,0.29790802714436926,1.2003502349547484,-0.3216656214832897,False,False
U56,0.2,RESPREAD,M,MA-THRESH,DRIFT,25,0.2717499503250935,1.1157279497516353,-0.32613962049212564,False,False
U56,0.2,RESPREAD,M,MA-THRESH,RTT,0,0.3003522168736894,1.2103050679997833,-0.3227856155837683,False,False
U56,0.2,RESPREAD,M,MA-THRESH,RTT,25,0.2671349866905879,1.1025998217862327,-0.3272309708328396,False,False
U56,0.2,RESPREAD,M,MOM-D,DRIFT,0,0.2889021067837101,1.1624570995560979,-0.2745252349594689,False,False
U56,0.2,RESPREAD,M,MOM-D,DRIFT,25,0.2645808749934315,1.0848895357926627,-0.27626964602353865,False,False
U56,0.2,RESPREAD,M,MOM-D,RTT,0,0.29139184345517366,1.1720340651611636,-0.2807599332457239,False,False
U56,0.2,RESPREAD,M,MOM-D,RTT,25,0.26072364142962523,1.073833670298024,-0.2830477297217263,False,False
U56,0.2,RESPREAD,Q,MA-THRESH,DRIFT,0,0.291202038399464,1.1699625667580011,-0.32510636115067626,False,False
U56,0.2,RESPREAD,Q,MA-THRESH,DRIFT,25,0.27960319218693463,1.1325690328880582,-0.32964420447072773,False,False
U56,0.2,RESPREAD,Q,MA-THRESH,RTT,0,0.2883698428928487,1.1754917534546707,-0.3465813225181419,False,False
U56,0.2,RESPREAD,Q,MA-THRESH,RTT,25,0.2694638569588892,1.1134857277559478,-0.35361609462296995,False,False
U56,0.2,RESPREAD,Q,MOM-D,DRIFT,0,0.24531745824516427,1.0199695777150593,-0.3413254403762632,False,False
U56,0.2,RESPREAD,Q,MOM-D,DRIFT,25,0.23523967179223604,0.9867674115681524,-0.34516874477373705,False,False
U56,0.2,RESPREAD,Q,MOM-D,RTT,0,0.2359103380503671,1.0028937352560223,-0.3513412450526755,False,False
U56,0.2,RESPREAD,Q,MOM-D,RTT,25,0.21948315937159313,0.9471843016636767,-0.35774768320242223,False,False
U56,0.2,DEGROSS,D,MA-THRESH,DRIFT,0,0.018807829202363013,0.8194772424660296,-0.03806134974816555,False,False
U56,0.2,DEGROSS,D,MA-THRESH,DRIFT,25,0.011076554621206602,0.4889296023761552,-0.048458572061995775,False,False
U56,0.2,DEGROSS,D,MA-THRESH,RTT,0,0.018807829202363013,0.8194772424660296,-0.03806134974816555,False,False
U56,0.2,DEGROSS,D,MA-THRESH,RTT,25,0.011076554621206602,0.4889296023761552,-0.048458572061995775,False,False
U56,0.2,DEGROSS,D,MOM-D,DRIFT,0,0.01884098530621925,0.8330718932595983,-0.031097381621567277,False,False
U56,0.2,DEGROSS,D,MOM-D,DRIFT,25,0.008685120948440872,0.39198550079288275,-0.039768004654727185,False,False
U56,0.2,DEGROSS,D,MOM-D,RTT,0,0.01884098530621925,0.8330718932595983,-0.031097381621567277,False,False
U56,0.2,DEGROSS,D,MOM-D,RTT,25,0.008685120948440872,0.39198550079288275,-0.039768004654727185,False,False
U56,0.2,DEGROSS,W,MA-THRESH,DRIFT,0,0.01957811403561105,0.8354254495855981,-0.03386152251924002,False,False
U56,0.2,DEGROSS,W,MA-THRESH,DRIFT,25,0.016036575979982093,0.688693231843399,-0.03529373703944816,False,False
U56,0.2,DEGROSS,W,MA-THRESH,RTT,0,0.020066232976232667,0.857366010298428,-0.03302936801503631,False,False
U56,0.2,DEGROSS,W,MA-THRESH,RTT,25,0.016008366956852926,0.6887258535082588,-0.03471009576577955,False,False
U56,0.2,DEGROSS,W,MOM-D,DRIFT,0,0.019302511614321505,0.8420878985043265,-0.03287957550488385,False,False
U56,0.2,DEGROSS,W,MOM-D,DRIFT,25,0.015317289492836395,0.6727226048854912,-0.036425236488034085,False,False
U56,0.2,DEGROSS,W,MOM-D,RTT,0,0.01974305278405275,0.8603341921406759,-0.0320046091042675,False,False
U56,0.2,DEGROSS,W,MOM-D,RTT,25,0.015294768434916284,0.6712766828910908,-0.03590731821535065,False,False
U56,0.2,DEGROSS,M,MA-THRESH,DRIFT,0,0.02344224791111582,0.9801455171396883,-0.030305651359259778,False,False
U56,0.2,DEGROSS,M,MA-THRESH,DRIFT,25,0.021846598832315323,0.915148545886873,-0.030305651359259667,False,False
U56,0.2,DEGROSS,M,MA-THRESH,RTT,0,0.023930417813206706,1.0066918963802347,-0.03017239438521535,False,False
U56,0.2,DEGROSS,M,MA-THRESH,RTT,25,0.0216569293334119,0.9133633468118584,-0.030332100678798546,False,False
U56,0.2,DEGROSS,M,MOM-D,DRIFT,0,0.023540992668602767,1.0173559956590608,-0.027878917394388747,False,False
