panel,arm,Vmin_at_CMAX,solvent
U56,BAND03,0.7456514052357898,True
U56,BAND08,0.6526579916307454,True
U56,BAND03_M,0.7017623552998794,True
U56,CAND20_VS,0.6220497349039602,True
U56,CAND20,0.5903658752882694,True
U56,CAND10,0.6190242851948254,True
U56,CAND05,0.5961311433840109,True
U56,CAND20_NOCAP,0.5499916549477574,True
U56,EWELIG,0.6078443079993194,True
U56,SPYBH,0.4660102360094093,True
B136,BAND03,0.7418289451792712,True
B136,BAND08,0.6629963794645567,True
B136,BAND03_M,0.6645538112005135,True
B136,CAND20_VS,0.584138420414591,True
B136,CAND20,0.5310061158650144,True
B136,CAND10,0.4842901870512816,True
B136,CAND05,0.473123026422285,True
B136,CAND20_NOCAP,0.5057323215800629,True
B136,EWELIG,0.5533125786025734,True
B136,SPYBH,0.4660571142284565,True
SMALL,BAND03,0.8336648312955673,True
SMALL,BAND08,0.8030843972579762,True
SMALL,BAND03_M,0.6937140888947987,True
SMALL,CAND20_VS,0.5050590339011061,True
SMALL,CAND20,0.42347222472124857,True
SMALL,CAND10,0.4147498165590081,True
SMALL,CAND05,0.36538143376546817,True
SMALL,CAND20_NOCAP,0.3894952755362261,True
SMALL,EWELIG,0.42256724949923596,True
SMALL,SPYBH,0.5022868217769014,True
