panel,bps,mixed_wins,n,mean_dSharpe
U56,0,6,15,-0.005659355483164275
U56,10,6,15,0.008774582224419831
U56,25,9,15,0.03048855773382447
U56,50,12,15,0.06676382532914413
B136,0,12,15,0.0010130331988659276
B136,10,12,15,0.014661771593075246
B136,25,12,15,0.035184965263551714
B136,50,13,15,0.06944521944092483
SMALL,0,3,15,-0.022329986834715713
SMALL,10,3,15,-0.011001010481262504
SMALL,25,9,15,0.0059928156172302256
SMALL,50,12,15,0.03425201255154881
