scope,subset,n,pass4a,pass4b_full,pass4b_oos,both
arms,all,369,3,38,41,0
arms,10 bps,123,1,14,14,0
arms,CORE,207,3,18,20,0
arms,EXT,162,0,20,21,0
R(tau*) picks,sd>0.0000,63,0,13,12,0
R(tau*) picks,10 bps,21,0,5,4,0
