alpha,pub_KEY,pub_EXACT,flips_COUNT,flips_PERM
0.01,1,1,0,0
0.02,1,1,0,0
0.05,1,1,0,0
0.1,4,4,0,0
0.15,4,6,2,0
0.2,6,8,2,0
0.25,10,13,3,0
0.3,13,14,1,2
0.4,19,19,0,3
0.5,25,26,1,4
