pool,panel,anchor,ladder,window,fold,chooser,rung,oos_sharpe,oos_cagr,oos_dd
CELL,U56,A,N,W09,0,CH_ISSHARPE,40,1.0944875184055334,0.13939367595266128,-0.22984197733835132
CELL,U56,A,N,W09,0,CH_ISCAGR,5,0.8977370957234518,0.17000779023074863,-0.2585359705801554
CELL,U56,A,N,W09,0,CH_ISDD,40,1.0944875184055334,0.13939367595266128,-0.22984197733835132
FOLD,U56,A,N,W09,2017,CH_ISSHARPE,40,2.754970582561274,0.18356159638654357,-0.018668082175036904
FOLD,U56,A,N,W09,2017,CH_ISCAGR,5,1.9205774239270008,0.2447377420204646,-0.04798480967810326
FOLD,U56,A,N,W09,2017,CH_ISDD,40,2.754970582561274,0.18356159638654357,-0.018668082175036904
FOLD,U56,A,N,W09,2018,CH_ISSHARPE,40,0.032925913394586726,-0.004346270072939196,-0.14776090993331592
FOLD,U56,A,N,W09,2018,CH_ISCAGR,5,0.7006476280506084,0.13837690522946877,-0.19739542702131208
FOLD,U56,A,N,W09,2018,CH_ISDD,40,0.032925913394586726,-0.004346270072939196,-0.14776090993331592
FOLD,U56,A,N,W09,2019,CH_ISSHARPE,10,1.7653306211836126,0.19680642894203704,-0.03513544924058676
FOLD,U56,A,N,W09,2019,CH_ISCAGR,5,0.8453355439712011,0.10689031873753829,-0.07362815353495689
FOLD,U56,A,N,W09,2019,CH_ISDD,40,2.366727649788902,0.19952879255994138,-0.04849702306103476
FOLD,U56,A,N,W09,2020,CH_ISSHARPE,40,1.079614436522651,0.24351939535899403,-0.22984197733835132
FOLD,U56,A,N,W09,2020,CH_ISCAGR,5,0.2249947340148738,0.02254612755770724,-0.12860606429532007
FOLD,U56,A,N,W09,2020,CH_ISDD,40,1.079614436522651,0.24351939535899403,-0.22984197733835132
FOLD,U56,A,N,W09,2021,CH_ISSHARPE,15,1.2256676046847763,0.18205859277845216,-0.08936859034796574
FOLD,U56,A,N,W09,2021,CH_ISCAGR,5,0.6513440655616916,0.10168971868591359,-0.10407365205380281
FOLD,U56,A,N,W09,2021,CH_ISDD,10,1.2226571672810684,0.19961348598283202,-0.09847870416093585
FOLD,U56,A,N,W09,2022,CH_ISSHARPE,40,-0.6584103451998883,-0.1066711064550736,-0.16907052705400416
FOLD,U56,A,N,W09,2022,CH_ISCAGR,12,-0.08394311600902946,-0.028736029988739142,-0.13004357390814725
FOLD,U56,A,N,W09,2022,CH_ISDD,10,-0.024261707029034435,-0.01837084513512488,-0.12705417350496195
FOLD,U56,A,N,W09,2023,CH_ISSHARPE,15,1.74582686967613,0.2279698110743824,-0.07630294334391119
FOLD,U56,A,N,W09,2023,CH_ISCAGR,5,1.2678989953957198,0.23067505259816845,-0.11559179976924061
FOLD,U56,A,N,W09,2023,CH_ISDD,10,1.5601622710347924,0.22737361800908018,-0.0758513466415891
FOLD,U56,A,N,W09,2024,CH_ISSHARPE,15,2.1949120122458403,0.3936003035397362,-0.10580843665454831
FOLD,U56,A,N,W09,2024,CH_ISCAGR,5,2.8630232576290284,0.9364302274171321,-0.1250792598899796
FOLD,U56,A,N,W09,2024,CH_ISDD,10,2.5961717713222168,0.5549462633624329,-0.12050645318622344
FOLD,U56,A,N,W09,2025,CH_ISSHARPE,15,0.9032847315925342,0.1662497043341571,-0.19273573088775597
FOLD,U56,A,N,W09,2025,CH_ISCAGR,5,0.12310487423670038,-0.0037909576841694825,-0.25853597058015576
FOLD,U56,A,N,W09,2025,CH_ISDD,10,0.7141610342583464,0.12898793043110612,-0.20771054445737913
FOLD,U56,A,N,W09,2026,CH_ISSHARPE,12,1.3966688387327666,0.2532191135625541,-0.1261827667982297
FOLD,U56,A,N,W09,2026,CH_ISCAGR,5,0.5852952854902458,0.11941646645079929,-0.15045477029843723
FOLD,U56,A,N,W09,2026,CH_ISDD,20,1.2088578744886287,0.1613295437127118,-0.09346835945961474
CELL,U56,A,N,W11,0,CH_ISSHARPE,5,0.8977370957234518,0.17000779023074863,-0.2585359705801554
CELL,U56,A,N,W11,0,CH_ISCAGR,5,0.8977370957234518,0.17000779023074863,-0.2585359705801554
CELL,U56,A,N,W11,0,CH_ISDD,40,1.0944875184055334,0.13939367595266128,-0.22984197733835132
FOLD,U56,A,N,W11,2017,CH_ISSHARPE,5,1.9205774239270008,0.2447377420204646,-0.04798480967810326
FOLD,U56,A,N,W11,2017,CH_ISCAGR,5,1.9205774239270008,0.2447377420204646,-0.04798480967810326
