vintage_arm,panel,cells,rms_rest,max_d,sd_samp,share,flip
REST_COMMON,U56,27,9.837225085014677e-05,0.0002688712840932528,0.07029631568941619,3.525098880647977e-06,0.0
REST_COMMON,B136,27,0.0,0.0,0.053373189186441544,0.0,0.0
REST_EX_UNH,U56,27,6.002309511823042e-07,3.629628676948826e-06,0.07029631568941619,7.29074057391505e-11,0.0
REST_EX_UNH,B136,27,0.0,0.0,0.053373189186441544,0.0,0.0
REST_UNH_ONLY,U56,27,9.839914035031909e-05,0.0002694945256580539,0.07029631568941619,3.5338015473865284e-06,0.0
REST_UNH_ONLY,B136,27,0.0,0.0,0.053373189186441544,0.0,0.0
LIVE_SELFCHECK,U56,27,0.0,0.0,0.07029631568941619,0.0,0.0
LIVE_SELFCHECK,B136,27,0.0,0.0,0.053373189186441544,0.0,0.0
REST_PLUS_LENGTH,U56,27,0.0019756492984182262,0.004833878117949775,0.07032101721692083,0.0006637378404295009,0.0
REST_PLUS_LENGTH,B136,27,0.0,0.0,0.053373189186441544,0.0,0.0
