m,null_p50,predicted,dev
0,24.0,24.0,0.0
1,24.0,23.694915254237287,0.30508474576271283
2,23.0,23.389830508474578,-0.3898305084745779
5,23.0,22.47457627118644,0.5254237288135606
6,22.0,22.16949152542373,-0.16949152542373014
8,22.0,21.559322033898304,0.4406779661016955
9,21.0,21.25423728813559,-0.25423728813559165
13,20.0,20.033898305084747,-0.03389830508474745
18,18.0,18.508474576271187,-0.5084745762711869
19,18.0,18.203389830508474,-0.20338983050847403
24,17.0,16.677966101694913,0.32203389830508655
28,15.0,15.457627118644067,-0.45762711864406747
29,15.0,15.152542372881355,-0.15254237288135464
39,12.0,12.101694915254237,-0.10169491525423702
41,12.0,11.491525423728813,0.5084745762711869
47,9.0,9.661016949152541,-0.6610169491525415
59,6.0,6.0,0.0
