panel,k,band,n,Ebar,sd_Ebar,breadth,CAGR,Sharpe,sd_Sharpe,MaxDD,H1,H2,oosC,oosS,oosD,p4a,p4b
B136,20,0.0,8,13.411631016042781,0.5335731496105304,0.6705815508021391,0.07709373295293226,0.9972172996258686,0.12640940720774485,-0.13627656981756864,1.148271554867102,0.8498892347152943,0.0753542275156002,0.9798768370873476,-0.1362765698175688,0,0
B136,20,0.03,8,13.411631016042781,0.5335731496105304,0.6705815508021391,0.0796467632731076,1.015445069538432,0.0940624265167862,-0.1306850227091297,1.166721832414939,0.8670916844258654,0.07718124292312098,0.9950983201491371,-0.13068502270912974,0,0
B136,20,0.08,8,13.411631016042781,0.5335731496105304,0.6705815508021391,0.08625656934290746,1.0523736075252978,0.09149198747697392,-0.1556453274839273,1.2250108976693417,0.8876561806806891,0.08224817881391616,1.0102708090301424,-0.15564532748392726,0,1
B136,36,0.0,8,23.781417112299465,0.5990019431065979,0.6605949197860963,0.07821270447650666,1.0714405093435793,0.052810784978618075,-0.11993407583732818,1.1936048634338075,0.9520551190609827,0.0787845506615561,1.0938591116272691,-0.11993407583732821,0,0
B136,36,0.03,8,23.781417112299465,0.5990019431065979,0.6605949197860963,0.08028265713875862,1.0806553602316482,0.0515091056843015,-0.11572522358539689,1.2272746624473878,0.9372033853961302,0.07894209827842918,1.0778128516061782,-0.11572522358539693,0,0
B136,36,0.08,8,23.781417112299465,0.5990019431065979,0.6605949197860963,0.08584863239155058,1.101408549450802,0.030550720801622997,-0.1419406297285133,1.2549270296041044,0.9554220527705599,0.08426834823639492,1.0881121747726288,-0.14194062972851335,0,0
B136,55,0.0,8,35.988502673796795,0.8735959647772505,0.6543364122508508,0.07471292752585029,1.0635623697083247,0.08890707399142576,-0.12360277604956398,1.1407572734763458,0.9884403987929987,0.07828856064569398,1.1218616672866881,-0.12360277604956396,0,0
B136,55,0.03,8,35.988502673796795,0.8735959647772505,0.6543364122508508,0.0770206758458872,1.0759828246768703,0.07851627919657626,-0.11858659350963915,1.1703426647660689,0.9841559684447972,0.07932883156090181,1.1167361619210159,-0.11858659350963915,0,0
B136,55,0.08,8,35.988502673796795,0.8735959647772505,0.6543364122508508,0.0821839654211653,1.0982396789454865,0.06894949982377194,-0.13923341032545217,1.1880580111306003,1.0126525894081282,0.08471484890492706,1.1343149024085097,-0.13923341032545225,0,0
SMALL439,20,0.0,8,6.770933734939759,1.0609734673310363,0.33854668674698796,0.040232900583988235,0.47633606799262296,0.12675979671635138,-0.21961026126877442,0.520974600205613,0.4260396746625884,0.03463659750394635,0.41458639214934045,-0.21727934986308717,0,0
