panel,k,draw,n_keep,pick_t,pick_h,is_minleg,is_candidate_cell,n_cells_4b,n_cells_4a_fix,live_fix_oos_Sharpe,live_fix_oos_CAGR,live_fix_oos_MaxDD,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,oos_CAGR,oos_Sharpe,oos_MaxDD,bind,keep4b_full,keep4b_oos,keep4b,keep4a_fix,keep4a_oos_fix,keep4a_mat
U56,0,0,56,0.12,0.25,0.016086010749937596,False,35,2,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.1333788139948211,1.1971563323437384,-0.1648862883019303,1.3019354380323267,1.100346271450611,0.1355317341335891,1.2113170176639778,-0.16488628830193053,none,True,True,True,False,False,False
U56,5,0,51,0.16,0.25,0.023778251210224643,False,32,0,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.14966924713664032,1.2224991669604177,-0.19685311258188753,1.303401325511573,1.1651217487283108,0.16027933957861817,1.2427657920119413,-0.19685311258188753,none,True,True,True,False,False,False
U56,5,1,51,0.12,0.25,0.016670082374761697,False,44,2,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.13715348419769802,1.2138083302426617,-0.16366724553568412,1.2793479496394844,1.150951633561313,0.1404235479443825,1.2521672257247292,-0.16366724553568401,none,True,True,True,False,False,False
U56,5,2,51,0.12,0.25,0.01290246264377587,False,30,1,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.13864048884428826,1.2036093551200358,-0.17192639013695965,1.2533640323545419,1.1590494276804282,0.14674987754471402,1.259012735920447,-0.17192639013695876,none,True,True,True,False,False,False
U56,5,3,51,0.16,0.25,0.012097424108124588,False,37,0,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.15301695626348266,1.1990924929667248,-0.20624706338545085,1.2631556653023275,1.156792912725352,0.16576329413202373,1.2285714050230705,-0.2062470633854513,L4_DD,False,False,False,False,False,False
U56,5,4,51,0.12,0.25,0.013392081916706655,False,36,0,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.12818693663816294,1.1641036154161437,-0.163008156362898,1.275306419192764,1.0525509099886412,0.12476121185454225,1.1666253943512277,-0.16300815636289823,none,True,True,True,False,False,False
U56,5,5,51,0.2,0.2,0.012361915012841285,False,39,0,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.12960096551323175,1.073614177409041,-0.2007289708708413,1.1352497381155546,1.029243084081489,0.1373764279833518,1.0914037379323445,-0.2007289708708413,none,True,True,True,False,False,False
U56,5,6,51,0.12,0.2,0.014149964086539513,False,33,1,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.1389173795897396,1.2352496026061495,-0.16657222996470755,1.3127460192127853,1.167416589515805,0.14617484549015214,1.276858822587129,-0.16657222996470755,none,True,True,True,False,False,False
U56,5,7,51,0.12,0.25,0.018017463362350605,False,28,1,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.14342313354925706,1.2373344815550777,-0.17005618933500777,1.324002279605573,1.1577280727744597,0.14811332051849857,1.2690079685349371,-0.1700561893350081,none,True,True,True,False,False,False
U56,5,8,51,0.12,0.12,0.009509171883783696,False,38,0,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,0.13915208054303507,1.2438032272254904,-0.15132980136561935,1.2295814167200483,1.2582820026257602,0.1522847811735657,1.3458328186990332,-0.1513298013656199,none,True,True,True,False,False,False
