panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b,r,Ebar_IS,n_over_Ebar,r_level,in_A,in_B
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND2,2.0,10.867469879518072,0.27168674698795187,0.20478220138026693,0.8126603460963202,-0.38981246709510886,0.4781512981360395,1.0794571458611923,0.2989735648176468,1.0226993442283934,-0.38981246709510753,0.3931759351903928,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.05,8.910769230769231,0.2244475138121547,0.05,False,True
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND4,4.0,10.867469879518072,0.27168674698795187,0.1391530062080888,0.7263564092434169,-0.2888823052495314,0.609444618374431,0.8268605018885741,0.18986812979036505,0.8731962355988687,-0.2888823052495322,0.43141490069067817,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.1,8.910769230769231,0.4488950276243094,0.1,False,True
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND5,5.0,10.867469879518072,0.27168674698795187,0.10423214617005616,0.613347879765607,-0.3331245963955266,0.5092285275662136,0.7022607586436245,0.14477603813596285,0.7547564728914542,-0.3331245963955247,0.33257690728840283,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.125,8.910769230769231,0.5611187845303867,,True,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND10,10.0,10.867469879518072,0.27168674698795187,0.05410484052468223,0.4411915547971265,-0.3290206322688298,0.2301499915106063,0.6035315794238785,0.07450539371143794,0.5393234409493254,-0.32084910498961783,0.2427750077724656,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.25,8.910769230769231,1.1222375690607733,0.25,True,True
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND15,15.0,10.867469879518072,0.27168674698795187,0.03471032236441007,0.36286738305729915,-0.27271614470183925,0.22649577786192826,0.46382675767341786,0.042975792243929334,0.3985984402106087,-0.25732442347611495,0.2973695110041246,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.375,8.910769230769231,1.6833563535911602,,True,False
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND20,20.0,10.867469879518072,0.27168674698795187,0.028406322651064686,0.3604116402773532,-0.2142694557242184,0.22482540017620017,0.45877798535704534,0.03576076246199822,0.3968119600335208,-0.20370398316970495,0.29570972119005473,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.5,8.910769230769231,2.2444751381215466,0.5,True,True
MIX q=1.00 k=40 d0,mix,1.0,40.0,0,CAND30,30.0,10.867469879518072,0.27168674698795187,0.019261765966543498,0.3501570225366185,-0.14627527616657598,0.22311128407668895,0.44285903415198474,0.024143679074838387,0.38316157946901136,-0.13997850001487444,0.2940053464012912,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.4414452351892587,-0.011155415221475411,0.8582457263535503,-0.20628458803883976,0.7808524144316686,False,False,0.75,8.910769230769231,3.3667127071823204,,True,False
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND2,2.0,13.337349397590362,0.33343373493975903,0.03782146145144494,0.27255924048988084,-0.6088312843325077,0.20205177715323325,0.33413684547807276,0.04416352786769662,0.29445729243589797,-0.5135517369061441,0.23421141171542098,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False,0.05,12.436923076923076,0.16081147946561108,0.05,False,True
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND4,4.0,13.337349397590362,0.33343373493975903,0.032664350966424394,0.2588405183722279,-0.4437989074338856,0.24536138554615466,0.271992243166657,0.038085274079523224,0.28142433483163987,-0.4437989074338864,0.21915144728663707,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False,0.1,12.436923076923076,0.32162295893122217,0.1,False,True
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,CAND5,5.0,13.337349397590362,0.33343373493975903,0.031001632066684826,0.25665071239265647,-0.4524385397027809,0.167500250244952,0.3329915460288163,0.04939853726036558,0.3446986041139457,-0.45243853970278114,0.09825349277855945,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False,0.125,12.436923076923076,0.40202869866402774,,True,False
