k,dial,observed,null,excess,ratio
2,N,1.0,1.0,0.0,1.0
2,H,1.0,1.0,0.0,1.0
2,GROSS,1.0,1.0,0.0,1.0
3,N,0.4593253968253968,0.3333333333333333,0.1259920634920635,1.3779761904761905
3,H,0.4384920634920635,0.3333333333333333,0.10515873015873017,1.3154761904761905
3,GROSS,0.9801587301587301,0.3333333333333333,0.6468253968253967,2.9404761904761907
4,N,0.2390873015873016,0.08333333333333333,0.15575396825396826,2.8690476190476195
4,H,0.12202380952380952,0.08333333333333333,0.03869047619047619,1.4642857142857144
4,GROSS,0.9692460317460317,0.08333333333333333,0.8859126984126984,11.630952380952381
6,N,0.041666666666666664,0.002777777777777778,0.03888888888888889,14.999999999999998
6,H,0.00992063492063492,0.002777777777777778,0.007142857142857142,3.571428571428571
6,GROSS,0.9523809523809523,0.002777777777777778,0.9496031746031746,342.85714285714283
8,N,0.000992063492063492,4.96031746031746e-05,0.0009424603174603174,20.0
8,H,0.0,4.96031746031746e-05,-4.96031746031746e-05,0.0
8,GROSS,0.9523809523809523,4.96031746031746e-05,0.9523313492063491,19200.0
10,N,0.0,5.511463844797178e-07,-5.511463844797178e-07,0.0
10,H,0.0,5.511463844797178e-07,-5.511463844797178e-07,0.0
10,GROSS,0.9523809523809523,5.511463844797178e-07,0.9523804012345678,1728000.0
