panel,form,pick_excision,pick_n,gross,cad,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_CAGR,base_Sharpe,base_MaxDD,spy_CAGR,spy_Sharpe,spy_MaxDD,pass4a,pass4b_NONE,fails_NONE,ddmrg_NONE,pass4b_COVID_BARONLY,pass4b_COVID_MATCHED,pass4b_CY2020_BARONLY,pass4b_CY2020_MATCHED,pass4b_GFC+COVID_BARONLY,pass4b_GFC+COVID_MATCHED
U56,EWELIG,GFC+COVID,0,1.0,W,1.1613277637331132,0.12670148748914545,1.2760185412281244,-0.15910987917823627,0.09455896847608769,1.2767122316543114,-0.12054941914043871,0.15286966214114894,0.8750760816641813,-0.33717256724185307,False,True,-,4.319366116687556,False,True,False,True,False,True
U56,TOP,GFC+COVID,10,1.0,M,1.385117475865578,0.24720498515271894,1.058344462749519,-0.32112931664126665,0.09455896847608769,1.2767122316543114,-0.12054941914043871,0.15286966214114894,0.8750760816641813,-0.33717256724185307,False,False,DD,-11.882577629615481,False,False,False,False,False,False
U56,MOM,GFC+COVID,20,1.0,M,1.2817679813619607,0.2273407752092973,1.0885493663074013,-0.31298415658746237,0.09455896847608769,1.2767122316543114,-0.12054941914043871,0.15286966214114894,0.8750760816641813,-0.33717256724185307,False,False,DD,-11.068061624235053,False,False,False,False,False,False
B136,EWELIG,GFC+COVID,0,1.0,W,1.1526842269138797,0.10473004292318344,1.1006130604666327,-0.16158091944280473,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,CAGR,4.071480040155332,False,True,False,False,False,True
B136,TOP,GFC+COVID,20,1.0,M,1.3997373463879055,0.21946170858419567,0.9901482726426949,-0.3284799533049315,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,DD,-12.618423346057348,False,False,False,False,False,False
B136,MOM,GFC+COVID,10,1.0,M,1.4245558312631097,0.29810197880070466,1.0176955396765184,-0.35131456266062233,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,DD,-14.90188428162643,False,False,False,False,False,False
SMALL,EWELIG,NONE,0,1.0,M,1.004708415365858,0.05241170769935666,0.5788671348977175,-0.22270128391206545,0.036354056040183824,0.5457546255041629,-0.14158634495022804,0.15286966214114894,0.8750760816641813,-0.33717256724185307,False,False,"H1,H2,DD,CAGR",-2.0397743566953617,False,False,False,False,False,False
SMALL,TOP,NONE,10,0.75,W,0.8487203606250495,0.16329079397746193,0.6797961211701699,-0.414100535260418,0.036354056040183824,0.5457546255041629,-0.14158634495022804,0.15286966214114894,0.8750760816641813,-0.33717256724185307,False,False,"H2,DD",-21.179699491530616,False,False,False,False,False,False
SMALL,MOM,NONE,20,1.0,W,0.882203910839711,0.22827156585119512,0.7817861551272206,-0.46691054585139935,0.036354056040183824,0.5457546255041629,-0.14158634495022804,0.15286966214114894,0.8750760816641813,-0.33717256724185307,False,False,"H2,DD",-26.46070055062875,False,False,False,False,False,False
