panel,cost,arm,key,share,n,g,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b_fail,v1_OOS_Sharpe,v1_OOS_CAGR,v1_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
u56,10.0,W_STATIC,R6,0.1,4,0.75,0.19456982136218604,0.9693042815881965,-0.22447420667903906,H1,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10.0,W_VMIS,R6,0.1,4,0.7286585063460537,0.1892356317099142,0.9693042815881965,-0.2187150964213438,H1,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10.0,W_CFIS,R6,0.1,4,0.3921949373226198,0.10322189000377557,0.9693042815881967,-0.12318099412183003,H1,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10.0,W_4bIS,R6,0.1,4,0.3921949373226198,0.10322189000377557,0.9693042815881967,-0.12318099412183003,H1,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,W_STATIC,R6,0.1,4,0.75,0.16116604699751913,0.8310185837327501,-0.2307733992234331,H1,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,W_VMIS,R6,0.1,4,0.7288134266309284,0.1569448619311251,0.8310185837327501,-0.22492381436569908,H1,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,W_CFIS,R6,0.1,4,0.4584773650614079,0.10115084692214937,0.8310185837327497,-0.1469802525241879,H1,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,W_4bIS,R6,0.1,4,0.4584773650614079,0.10115084692214937,0.8310185837327497,-0.1469802525241879,H1,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
broad,10.0,W_STATIC,R6,0.15,14,0.75,0.13244829804930025,0.8704740668013373,-0.21051221603418213,H1,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,10.0,W_VMIS,R6,0.15,14,0.8967566860352435,0.1569714955562933,0.8704740668013372,-0.247741728486366,H1|DD,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,10.0,W_CFIS,R6,0.15,14,0.46613844646235525,0.08353693349243607,0.8704740668013373,-0.13486647270827268,H1|CAGR,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,10.0,W_4bIS,R6,0.15,14,0.46613844646235525,0.08353693349243607,0.8704740668013373,-0.13486647270827268,H1|CAGR,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,W_STATIC,R6,0.15,14,0.75,0.10516692231514213,0.7152246226217537,-0.2119407242793646,H1|H2,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,W_VMIS,R6,0.15,14,0.8963831792856769,0.12367982636200181,0.7152246226217535,-0.24928083572516357,H1|H2|DD,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,W_CFIS,R6,0.15,14,0.5420463539783305,0.07762695086229088,0.7152246226217536,-0.1566686954886819,H1|H2|CAGR,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,W_4bIS,R6,0.15,14,0.5420463539783305,0.07762695086229088,0.7152246226217536,-0.1566686954886819,H1|H2|CAGR,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301
small,10.0,W_STATIC,INV,0.15,21,0.75,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,10.0,W_VMIS,INV,0.15,21,0.94279227180682,0.04331668433018887,0.33371363470480764,-0.41568540424799105,H1|H2|DD|CAGR,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,10.0,W_CFIS,INV,0.15,21,0.6759077950739267,0.03396836110887014,0.3337136347048078,-0.3156105443108167,H1|H2|DD|CAGR,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,10.0,W_4bIS,INV,0.15,21,0.75,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,W_STATIC,RND,0.05,7,0.75,0.019430980852180868,0.196542402562728,-0.42884591383649284,H1|H2|DD|CAGR,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,W_VMIS,RND,0.05,7,0.5792744921033354,0.01872657666814459,0.19654240256272804,-0.33936320680736154,H1|H2|DD|CAGR,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,W_CFIS,RND,0.05,7,0.694690253230474,0.01944622565704046,0.19654240256272792,-0.40056862229329404,H1|H2|DD|CAGR,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,W_4bIS,RND,0.05,7,0.75,0.019430980852180868,0.196542402562728,-0.42884591383649284,H1|H2|DD|CAGR,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
