diststat,stat,n,rho_dist_adj,rho_dist_all,rho_rungcount,dist_beats_count,dist_negative
RETCORR,S_FULL,8,0.7325886315065459,0.7325886315065459,-0.8081220356417685,False,False
RETCORR,S_OOS,8,0.5455447255899809,0.0,-0.6481812160876685,False,False
RETCORR,CAGR,8,0.7910398521054723,0.4637130167514838,-0.8838834764831843,False,False
RETCORR,DD,8,0.9132233209773138,0.48197897496024894,-0.9863939238321436,False,False
OVERLAP,S_FULL,8,0.7526692113578767,0.7526692113578767,-0.8081220356417685,False,False
OVERLAP,S_OOS,8,0.6174239624420081,0.23324905247809197,-0.6481812160876685,False,False
OVERLAP,CAGR,8,0.7820703524265437,0.6174239624420081,-0.8838834764831843,False,False
OVERLAP,DD,8,0.9314680310852852,0.6252319660709448,-0.9863939238321436,False,False
TURNGAP,S_FULL,8,0.23380488239570615,0.23380488239570615,-0.8081220356417685,False,False
TURNGAP,S_OOS,8,0.6546536707079771,0.6546536707079771,-0.6481812160876685,True,False
TURNGAP,CAGR,8,0.4637130167514838,0.4637130167514838,-0.8838834764831843,False,False
TURNGAP,DD,8,0.7102848052045775,0.7102848052045775,-0.9863939238321436,False,False
