panel,arm,dTurn,dCAGR,dSharpe,dGross,rate,turn,clears_bar
U56,K001,-0.18831690736976125,-0.06851003523286375,-0.7221512455019214,-0.15632331460674165,-0.36380182846962295,2.846071750376028,False
U56,K002,0.043417256371778734,0.01738448265337683,-0.41525130387664033,-0.10424747191011252,,3.6586204692172855,False
U56,K004,0.1095185815278128,0.0035425744573050755,-0.35670118875901824,-0.04754831460674169,,3.8903970281934996,False
U56,K008,0.0009624895493052232,-0.021890647913143046,-0.2682116576628861,-0.009273595505618015,,3.509757799020843,False
U56,K016,0.08325494119827925,-0.007877031989886707,-0.1738016325766618,-0.007273033707865251,,3.7983066477450147,False
U56,K032,0.016775770895872233,-0.0069552020946413995,-0.04557357357670955,-0.0019331460674156808,,3.5652052189928085,False
U56,SPYONLY,-0.43237877804437475,-0.03786585883616622,-0.4312135200710955,-0.05846516853932593,-0.08757566457685875,1.9902973702296411,True
B136,K001,-0.3138416400309193,-0.04397185826938574,-0.5641674050548825,-0.2169958408273378,-0.14010842622748748,3.207876395253632,False
B136,K002,-0.04773984633395867,-0.032836180842848256,-0.5153110079882709,-0.08155575539568305,-0.687814967252858,4.451935656986736,False
B136,K004,0.09471838922256826,-0.009491011003991662,-0.3192554126414723,-0.020475494604316302,,5.1179457762423795,False
B136,K008,0.19556015072423105,-0.026808378789323573,-0.3519248250209682,-0.017877416816546532,,5.589393659485481,False
B136,K016,0.0956971912276221,0.0004332660820214884,-0.12281540619593923,-0.007177102068344987,,5.122521798383654,False
B136,K032,0.017984584081261135,-0.0002733245098572312,-0.03235357627961255,-0.0032830766636687825,,4.759205612759008,False
B136,SPYONLY,-0.5740938470297616,-0.040633573308428206,-0.2880286908812706,-0.12219199640287737,-0.0707786253391455,1.9911646850270481,True
