label,n,mean,t,wins,losses,ties,sign_p,scope,file,screen,subset,metric,comparison
POOLED-DISTINCT|S1|ALL|OOS_MaxDD,600,-0.019951660362749177,-9.3124617983518,83,250,267,1.378343154923077e-20,POOLED-DISTINCT,pooled,S1,ALL,OOS_MaxDD,S_minus_U
POOLED-DISTINCT|S1|ALL|OOS_Sharpe,600,0.019756734093478136,6.8717796043200154,239,112,249,1.0496608601775585e-11,POOLED-DISTINCT,pooled,S1,ALL,OOS_Sharpe,S_minus_U
POOLED-DISTINCT|S1|ALL|OOS_CAGR,600,0.012257977288928438,11.2656803456326,275,76,249,1.3671417343970544e-27,POOLED-DISTINCT,pooled,S1,ALL,OOS_CAGR,S_minus_U
POOLED-DISTINCT|S1|MOVED|OOS_MaxDD,363,-0.03297795101280856,-9.781136368360634,83,250,30,1.378343154923077e-20,POOLED-DISTINCT,pooled,S1,MOVED,OOS_MaxDD,S_minus_U
POOLED-DISTINCT|S1|MOVED|OOS_Sharpe,363,0.032655758832195264,7.051911458858738,239,112,12,1.0496608601775585e-11,POOLED-DISTINCT,pooled,S1,MOVED,OOS_Sharpe,S_minus_U
POOLED-DISTINCT|S1|MOVED|OOS_CAGR,363,0.020261119485832133,12.1297317893808,275,76,12,1.3671417343970544e-27,POOLED-DISTINCT,pooled,S1,MOVED,OOS_CAGR,S_minus_U
POOLED-DISTINCT|S2|ALL|OOS_MaxDD,216,-0.022626232003527806,-6.777787362589133,10,90,116,3.0632901754377645e-17,POOLED-DISTINCT,pooled,S2,ALL,OOS_MaxDD,S_minus_U
POOLED-DISTINCT|S2|ALL|OOS_Sharpe,216,0.026411315319819648,5.039296955558845,75,26,115,1.1154954264353028e-06,POOLED-DISTINCT,pooled,S2,ALL,OOS_Sharpe,S_minus_U
POOLED-DISTINCT|S2|ALL|OOS_CAGR,216,0.011536494797629514,6.955724543598327,83,18,115,3.728803240027502e-11,POOLED-DISTINCT,pooled,S2,ALL,OOS_CAGR,S_minus_U
POOLED-DISTINCT|S2|MOVED|OOS_MaxDD,107,-0.04567538423142064,-7.644675794864292,10,90,7,3.0632901754377645e-17,POOLED-DISTINCT,pooled,S2,MOVED,OOS_MaxDD,S_minus_U
POOLED-DISTINCT|S2|MOVED|OOS_Sharpe,107,0.053316300084869574,5.360147183457783,75,26,6,1.1154954264353028e-06,POOLED-DISTINCT,pooled,S2,MOVED,OOS_Sharpe,S_minus_U
POOLED-DISTINCT|S2|MOVED|OOS_CAGR,107,0.023288625012037142,7.904079026420082,83,18,6,3.728803240027502e-11,POOLED-DISTINCT,pooled,S2,MOVED,OOS_CAGR,S_minus_U
FILE 132|S1|ALL|OOS_MaxDD,72,-0.035859312241302406,-4.822054481815666,3,38,31,1.0479197953827618e-08,FILE 132,132,S1,ALL,OOS_MaxDD,S_minus_U
FILE 132|S1|ALL|OOS_Sharpe,72,0.05013461434153679,3.6087585812421663,28,13,31,0.027533155829587513,FILE 132,132,S1,ALL,OOS_Sharpe,S_minus_U
FILE 132|S1|ALL|OOS_CAGR,72,0.012955041036092062,4.486781179957129,31,10,31,0.0014504910141113225,FILE 132,132,S1,ALL,OOS_CAGR,S_minus_U
FILE 132|S1|MOVED|OOS_MaxDD,41,-0.06297245076521399,-5.529531073075918,3,38,0,1.0479197953827618e-08,FILE 132,132,S1,MOVED,OOS_MaxDD,S_minus_U
FILE 132|S1|MOVED|OOS_Sharpe,41,0.08804127396562558,3.867696797522715,28,13,0,0.027533155829587513,FILE 132,132,S1,MOVED,OOS_Sharpe,S_minus_U
FILE 132|S1|MOVED|OOS_CAGR,41,0.0227503159658202,5.035057650505087,31,10,0,0.0014504910141113225,FILE 132,132,S1,MOVED,OOS_CAGR,S_minus_U
FILE 132|S2|ALL|OOS_MaxDD,72,-0.03264022131476243,-4.371562957803915,3,34,35,1.2331292964518076e-07,FILE 132,132,S2,ALL,OOS_MaxDD,S_minus_U
FILE 132|S2|ALL|OOS_Sharpe,72,0.052652252512027466,3.859311432999721,27,10,35,0.007632078602910086,FILE 132,132,S2,ALL,OOS_Sharpe,S_minus_U
FILE 132|S2|ALL|OOS_CAGR,72,0.010912524696771585,3.872948822629993,27,10,35,0.007632078602910086,FILE 132,132,S2,ALL,OOS_CAGR,S_minus_U
FILE 132|S2|MOVED|OOS_MaxDD,37,-0.0635161063422404,-5.029599931681228,3,34,0,1.2331292964518076e-07,FILE 132,132,S2,MOVED,OOS_MaxDD,S_minus_U
