panel,family,state,side,level,w,prior,on_D,on_W,armed
U56,BREADTH-LO,BREADTH,LO,0.07,252,True,0.1109610623452622,0.11568759846950259,1.0
U56,BREADTH-LO,BREADTH,LO,0.07,504,True,0.10623452622102184,0.10555930677470178,0.9453072248480756
U56,BREADTH-LO,BREADTH,LO,0.07,1008,True,0.05964438442493811,0.0591942381273914,0.8318703578663066
U56,BREADTH-LO,BREADTH,LO,0.07,2016,True,0.04478955660589692,0.0420886788206167,0.6049966239027684
U56,BREADTH-LO,BREADTH,LO,0.12,252,True,0.16115237452171957,0.1573261309925726,1.0
U56,BREADTH-LO,BREADTH,LO,0.12,504,True,0.1406707179833446,0.141571010578438,0.9453072248480756
U56,BREADTH-LO,BREADTH,LO,0.12,1008,True,0.09655638082376772,0.09520594193112762,0.8318703578663066
U56,BREADTH-LO,BREADTH,LO,0.12,2016,True,0.06774701778077875,0.06684672518568535,0.6049966239027684
U56,BREADTH-LO,BREADTH,LO,0.17,252,True,0.19671393202790907,0.1976142246230025,1.0
U56,BREADTH-LO,BREADTH,LO,0.17,504,True,0.17398154400180058,0.1766824217870808,0.9453072248480756
U56,BREADTH-LO,BREADTH,LO,0.17,1008,True,0.12221471978392978,0.12334008552779653,0.8318703578663066
U56,BREADTH-LO,BREADTH,LO,0.17,2016,True,0.091604771550754,0.09610623452622102,0.6049966239027684
U56,BREADTH-HI,BREADTH,HI,0.07,252,False,0.12018906144496962,0.12379023182534324,1.0
U56,BREADTH-HI,BREADTH,HI,0.07,504,False,0.06932252982219221,0.0688723835246455,0.9453072248480756
U56,BREADTH-HI,BREADTH,HI,0.07,1008,False,0.061670042763898265,0.06009453072248481,0.8318703578663066
U56,BREADTH-HI,BREADTH,HI,0.07,2016,False,0.06482106684672519,0.0688723835246455,0.6049966239027684
U56,BREADTH-HI,BREADTH,HI,0.12,252,False,0.17060544677020031,0.17645734863830745,1.0
U56,BREADTH-HI,BREADTH,HI,0.12,504,False,0.11613774476704929,0.11343686698176908,0.9453072248480756
U56,BREADTH-HI,BREADTH,HI,0.12,1008,False,0.10173306324555481,0.10668467251856853,0.8318703578663066
U56,BREADTH-HI,BREADTH,HI,0.12,2016,False,0.10150799009678145,0.10443394103083502,0.6049966239027684
U56,BREADTH-HI,BREADTH,HI,0.17,252,False,0.21674544226873735,0.22079675894665765,1.0
U56,BREADTH-HI,BREADTH,HI,0.17,504,False,0.1534998874634256,0.1573261309925726,0.9453072248480756
U56,BREADTH-HI,BREADTH,HI,0.17,1008,False,0.1345937429664641,0.13391852352014405,0.8318703578663066
U56,BREADTH-HI,BREADTH,HI,0.17,2016,False,0.13954535223947784,0.1406707179833446,0.6049966239027684
U56,VOL20-LO,VOL20,LO,0.07,252,False,0.13121764573486383,0.1345937429664641,0.9975241953634931
U56,VOL20-LO,VOL20,LO,0.07,504,False,0.0855277965338735,0.08822867431915372,0.9408057618726086
U56,VOL20-LO,VOL20,LO,0.07,1008,False,0.06234526221021832,0.06031960387125816,0.8273688948908395
U56,VOL20-LO,VOL20,LO,0.07,2016,False,0.046365068647310374,0.046365068647310374,0.6004951609273014
U56,VOL20-LO,VOL20,LO,0.12,252,False,0.19963988296196264,0.20841773576412334,0.9975241953634931
U56,VOL20-LO,VOL20,LO,0.12,504,False,0.14202115687598468,0.14832320504163854,0.9408057618726086
U56,VOL20-LO,VOL20,LO,0.12,1008,False,0.12243979293270313,0.12784154850326357,0.8273688948908395
U56,VOL20-LO,VOL20,LO,0.12,2016,False,0.07427413909520594,0.07765023632680622,0.6004951609273014
U56,VOL20-LO,VOL20,LO,0.17,252,False,0.2489309025433266,0.24825568309700652,0.9975241953634931
U56,VOL20-LO,VOL20,LO,0.17,504,False,0.20504163853252308,0.21719558856628404,0.9408057618726086
U56,VOL20-LO,VOL20,LO,0.17,1008,False,0.1683547152824668,0.17690749493585414,0.8273688948908395
U56,VOL20-LO,VOL20,LO,0.17,2016,False,0.09475579563358091,0.09520594193112762,0.6004951609273014
U56,VOL20-HI,VOL20,HI,0.07,252,True,0.08237677245104659,0.08080126040963313,0.9975241953634931
U56,VOL20-HI,VOL20,HI,0.07,504,True,0.0846275039387801,0.08080126040963313,0.9408057618726086
U56,VOL20-HI,VOL20,HI,0.07,1008,True,0.06279540850776502,0.06257033535899167,0.8273688948908395
U56,VOL20-HI,VOL20,HI,0.07,2016,True,0.05941931127616475,0.06031960387125816,0.6004951609273014
U56,VOL20-HI,VOL20,HI,0.12,252,True,0.1305424262885438,0.12739140220571685,0.9975241953634931
U56,VOL20-HI,VOL20,HI,0.12,504,True,0.12784154850326357,0.1285167679495836,0.9408057618726086
U56,VOL20-HI,VOL20,HI,0.12,1008,True,0.10285842898942156,0.10330857528696827,0.8273688948908395
U56,VOL20-HI,VOL20,HI,0.12,2016,True,0.09610623452622102,0.09678145397254108,0.6004951609273014
U56,VOL20-HI,VOL20,HI,0.17,252,True,0.1656538374971866,0.16340310600945307,0.9975241953634931
U56,VOL20-HI,VOL20,HI,0.17,504,True,0.1692550078775602,0.1656538374971866,0.9408057618726086
U56,VOL20-HI,VOL20,HI,0.17,1008,True,0.13999549853702453,0.13796984019806438,0.8273688948908395
U56,VOL20-HI,VOL20,HI,0.17,2016,True,0.1327931577762773,0.13639432815665092,0.6004951609273014
U56,DISP-LO,DISP,LO,0.07,252,False,0.12108935404006302,0.12198964663515642,0.9975241953634931
U56,DISP-LO,DISP,LO,0.07,504,False,0.07697501688048616,0.0740490659464326,0.9408057618726086
U56,DISP-LO,DISP,LO,0.07,1008,False,0.05896916497861805,0.06099482331757821,0.8273688948908395
U56,DISP-LO,DISP,LO,0.07,2016,False,0.03218546027458924,0.03241053342336259,0.6004951609273014
U56,DISP-LO,DISP,LO,0.12,252,False,0.1798334458699077,0.17735764123340086,0.9975241953634931
U56,DISP-LO,DISP,LO,0.12,504,False,0.12649110961062346,0.1289669142471303,0.9408057618726086
U56,DISP-LO,DISP,LO,0.12,1008,False,0.0943056493360342,0.09273013729462075,0.8273688948908395
U56,DISP-LO,DISP,LO,0.12,2016,False,0.0652712131442719,0.06864731037587216,0.6004951609273014
