chooser,n_inst,same_cell_as_MAXGROSS,beats_MAXGROSS_oosSharpe,beats_RANDCELL_oosSharpe,mean_oos_Sharpe,mean_oos_CAGR,n_4b_oos,n_4b_full_and_oos,n_4a_full
IS_SHARPE,8,0,2,2,1.1089116452784675,0.1128380755257973,7,7,0
IS_MINMARG,8,0,2,2,1.1089116452784675,0.1128380755257973,7,7,0
IS_CALMAR,8,2,4,4,1.1433732181821445,0.11325152226589077,6,6,0
IS_CAGRSLACK,8,0,2,2,1.1089116452784675,0.1128380755257973,7,7,0
IS_LEGS,8,0,2,2,1.1089116452784675,0.1128380755257973,7,7,0
IS_DD,8,0,6,8,1.157075299905946,0.05543557749450587,0,0,0
CELL_ALPHA,8,0,2,4,1.1299472599436746,0.05313555807192746,0,0,0
MAXGROSS (0 params),8,8,0,6,1.1579368349161647,0.11249746088066134,5,4,0
RANDCELL (25-cell mean),8,0,2,0,1.1360558037156043,0.08184253105424255,-1,-1,-1
